000004,0.779,Susah,Tunisia,36.17N,9.94E
1931-04-01,16.185,0.315,Susah,Tunisia,36.17N,9.94E
1931-05-01,20.584,0.373,Susah,Tunisia,36.17N,9.94E
1931-06-01,27.625,0.498,Susah,Tunisia,36.17N,9.94E
1931-07-01,29.382,0.451,Susah,Tunisia,36.17N,9.94E
1931-08-01,29.604,0.3,Susah,Tunisia,36.17N,9.94E
1931-09-01,24.055999999999997,0.48200000000000004,Susah,Tunisia,36.17N,9.94E
1931-10-01,20.023,0.46399999999999997,Susah,Tunisia,36.17N,9.94E
1931-11-01,16.404,0.40299999999999997,Susah,Tunisia,36.17N,9.94E
1931-12-01,10.16,0.433,Susah,Tunisia,36.17N,9.94E
1932-01-01,10.231,0.639,Susah,Tunisia,36.17N,9.94E
1932-02-01,9.876,0.322,Susah,Tunisia,36.17N,9.94E
1932-03-01,14.042,0.489,Susah,Tunisia,36.17N,9.94E
1932-04-01,15.86,0.261,Susah,Tunisia,36.17N,9.94E
1932-05-01,20.568,0.295,Susah,Tunisia,36.17N,9.94E
1932-06-01,24.121,0.284,Susah,Tunisia,36.17N,9.94E
1932-07-01,26.828000000000003,0.33299999999999996,Susah,Tunisia,36.17N,9.94E
1932-08-01,27.327,0.258,Susah,Tunisia,36.17N,9.94E
1932-09-01,26.380000000000006,0.27399999999999997,Susah,Tunisia,36.17N,9.94E
1932-10-01,21.052,0.332,Susah,Tunisia,36.17N,9.94E
1932-11-01,15.377,0.5489999999999999,Susah,Tunisia,36.17N,9.94E
1932-12-01,13.504000000000001,0.27699999999999997,Susah,Tunisia,36.17N,9.94E
1933-01-01,9.718,0.449,Susah,Tunisia,36.17N,9.94E
1933-02-01,11.384,0.22899999999999998,Susah,Tunisia,36.17N,9.94E
1933-03-01,13.189,0.34,Susah,Tunisia,36.17N,9.94E
1933-04-01,16.171,0.33799999999999997,Susah,Tunisia,36.17N,9.94E
1933-05-01,20.102,0.33799999999999997,Susah,Tunisia,36.17N,9.94E
1933-06-01,23.229,0.366,Susah,Tunisia,36.17N,9.94E
