9999998,5.912000000000001,Cluj Napoca,Romania,47.42N,22.50E
1803-12-01,-1.999,3.5069999999999997,Cluj Napoca,Romania,47.42N,22.50E
1804-01-01,0.28600000000000003,4.744,Cluj Napoca,Romania,47.42N,22.50E
1804-02-01,-2.521,2.331,Cluj Napoca,Romania,47.42N,22.50E
1804-03-01,0.5599999999999996,4.098,Cluj Napoca,Romania,47.42N,22.50E
1804-04-01,10.111,2.6639999999999997,Cluj Napoca,Romania,47.42N,22.50E
1804-05-01,15.315999999999999,1.795,Cluj Napoca,Romania,47.42N,22.50E
1804-06-01,18.205,1.9340000000000002,Cluj Napoca,Romania,47.42N,22.50E
1804-07-01,21.141,2.775,Cluj Napoca,Romania,47.42N,22.50E
1804-08-01,19.250999999999998,1.886,Cluj Napoca,Romania,47.42N,22.50E
1804-09-01,16.596,3.8169999999999997,Cluj Napoca,Romania,47.42N,22.50E
1804-10-01,9.621,1.58,Cluj Napoca,Romania,47.42N,22.50E
1804-11-01,0.8250000000000002,4.558,Cluj Napoca,Romania,47.42N,22.50E
1804-12-01,-4.441,4.468999999999999,Cluj Napoca,Romania,47.42N,22.50E
1805-01-01,-4.851,2.1,Cluj Napoca,Romania,47.42N,22.50E
1805-02-01,-2.2840000000000003,3.011,Cluj Napoca,Romania,47.42N,22.50E
1805-03-01,2.329,2.097,Cluj Napoca,Romania,47.42N,22.50E
1805-04-01,7.205,3.406,Cluj Napoca,Romania,47.42N,22.50E
1805-05-01,13.638,1.3430000000000002,Cluj Napoca,Romania,47.42N,22.50E
1805-06-01,17.543,2.593,Cluj Napoca,Romania,47.42N,22.50E
1805-07-01,19.537,1.7630000000000001,Cluj Napoca,Romania,47.42N,22.50E
1805-08-01,18.367,2.112,Cluj Napoca,Romania,47.42N,22.50E
1805-09-01,15.932,2.85,Cluj Napoca,Romania,47.42N,22.50E
1805-10-01,5.547999999999999,1.8019999999999998,Cluj Napoca,Romania,47.42N,22.50E
1805-11-01,0.4779999999999998,2.911,Cluj Napoca,Romania,47.42N,22.50E
1805-12-01,-0.43,1.8019999999999998,Cluj Napoca,Romania,47.42N,22.50E
1806-01-01,0.5529999999999999,2.426,Cluj Napoca,Romania,47.42N,22.50E
1806-02-01,0.19799999999999995,3.97,Cluj Napoca,Romania,47.42N,22.50E
1806-03-01,3.884,2.898,Cluj Napoca,Romania,47.42N,22.50E
1806-04-01,8.465,3.945,Cluj Napoca,Romania,47.42N,22.50E
1806-05-01,16.765,2.171,Cluj Napoca,Romania,47.42N,22.50E
1806-06-01,17.284000000000002,2.026,Cluj Napoca,Romania,47.42N,22.50E
1806-07-01,19.659000000000002,1.659,Cluj Napoca,Romania,47.42N,22.50E
1806-08-01,19.099,2.408,Cluj Napoca,Romania,47.42N,22.50E
1806-09-01,16.758,2.8289999999999997,Cluj Napoca,Romania,47.42N,22.50E
1806-10-01,8.533999999999999,1.272,Cluj Napoca,Romania,47.42N,22.50E
1806-11-01,4.619,1.9369999999999998,Cluj Napoca,Romania,47.42N,22.50E
1806-12-01,2.277,2.873,Cluj Napoca,Romania,47.42N,22.50E
1807-01-01,-2.567,3.075,Cluj Napoca,Romania,47.42N,22.50E
1807-02-01,0.338,4.635,Cluj Napoca,Romania,47.42N,22.50E
1807-03-01,1.891,4.696000000000001,Cluj Napoca,Romania,47.42N,22.50E
1807-04-01,8.147,2.525,Cluj Napoca,Romania,47.42N,22.50E
1807-05-01,15.427,1.871,Cluj Napoca,Romania,47.42N,22.50E
1807-06-01,17.91,1.401,Cluj Napoca,Romania,47.42N,22.50E
1807-07-01,20.955,3.075,Cluj Napoca,Romania,47.42N,22.50E
1807-08-01,22.814,1.9480000000000002,Cluj Napoca,Romania,47.42N,22.50E
1807-09-01,15.734000000000002,1.25,Cluj Napoca,Romania,47.42N,22.50E
1807-10-01,10.638,1.726,Cluj Napoca,Romania,47.42N,22.50E
1807-11-01,6.401,2.804,Cluj Napoca,Romania,47.42N,22.50E
1807-12-01,0.201,2.048,Cluj Napoca,Romania,47.42N,22.50E
1808-01-01,-2.176,2.958,Cluj Napoca,Romania,47.42N,22.50E
1808-02-01,-3.0500000000000003,2.347,Cluj Napoca,Romania,47.42N,22.50E
1808-03-01,-2.7120000000000006,5.132000000000001,Cluj Napoca,Romania,47.42N,22.50E
1808-04-01,7.912999999999999,1.891,Cluj Napoca,Romania,47.42N,22.50E
1808-05-01,15.484000000000002,4.189,Cluj Napoca,Romania,47.42N,22.50E
1808-06-01,18.58,1.693,Cluj Napoca,Romania,47.42N,22.50E
1808-07-01,20.995,1.8419999999999999,Cluj Napoca,Romania,47.42N,22.50E
1808-08-01,21.052,2.017,Cluj Napoca,Romania,47.42N,22.50E
1808-09-01,16.897000000000002,3.9960000000000004,Cluj Napoca,Romania,47.42N,22.50E
1808-10-01,9.006,1.742,Cluj Napoca,Romania,47.42N,22.50E
1808-11-01,2.766,2.509,Cluj Napoca,Romania,47.42N,22.50E
1808-12-01,-5.768,1.9,Cluj Napoca,Romania,47.42N,22.50E
1809-01-01,-5.7639999999999985,4.493,Cluj Napoca,Romania,47.42N,22.50E
1809-02-01,0.07699999999999996,3.9010000000000002,Cluj Napoca,Romania,47.42N,22.50E
1809-03-01,0.4849999999999999,3.383,Cluj Napoca,Romania,47.42N,22.50E
1809-04-01,7.367999999999999,4.931,Cluj Napoca,Romania,47.42N,22.50E
1809-05-01,15.527,3.298,Cluj Napoca,Romania,47.42N,22.50E
1809-06-01,18.643,1.819,Cluj Napoca,Romania,47.42N,22.50E
1809-07-01,19.755,1.8219999999999998,Cluj Napoca,Romania,47.42N,22.50E
1809-08-01,20.067999999999998,1.4140000000000001,Cluj Napoca,Romania,47.42N,22.50E
1809-09-01,15.373,2.719,Cluj Napoca,Romania,47.42N,22.50E
1809-10-01,8.09,5.87,Cluj Napoca,Romania,47.42N,22.50E
1809-11-01,2.286,3.8110000000000004,Cluj Napoca,Romania,47.42N,22.50E
1809-12-01,0.711,3.972,Cluj Napoca,Romania,47.42N,22.50E
1810-01-01,-3.19,5.6339999999999995,Cluj Napoca,Romania,47.42N,22.50E
1810-02-01,-1.139,4.623,Cluj Napoca,Romania,47.42N,22.50E
1810-03-01,3.959,2.892,Cluj Napoca,Romania,47.42N,22.50E
1810-04-01,7.826,4.114,Cluj Napoca,Romania,47.42N,22.50E
1810-05-01,14.838,3.0669999999999997,Cluj Napoca,Romania,47.42N,22.50E
1810-06-01,15.821,3.594,Cluj Napoca,Romania,47.42N,22.50E
1810-07-01,19.923,3.525,Cluj Napoca,Romania,47.42N,22.50E
1810-08-01,19.124,2.4819999999999998,Cluj Napoca,Romania,47.42N,22.50E
1810-09-01,16.15,2.306,Cluj Napoca,Romania,47.42N,22.50E
1810-10-01,8.18,4.346,Cluj Napoca,Romania,47.42N,22.50E
1810-11-01,3.6839999999999997,3.362,Cluj Napoca,Romania,47.42N,22.50E
1810-12-01,0.509,3.872,Cluj Napoca,Romania,47.42N,22.50E
1811-01-01,-6.55,2.722,Cluj Napoca,Romania,47.42N,22.50E
1811-02-01,-2.576,5.13,Cluj Napoca,Romania,47.42N,22.50E
1811-03-01,4.706,2.7539999999999996,Cluj Napoca,Romania,47.42N,22.50E
1811-04-01,9.006,1.123,Cluj Napoca,Romania,47.42N,22.50E
1811-05-01,17.96,3.667,Cluj Napoca,Romania,47.42N,22.50E
1811-06-01,21.660999999999998,2.875,Cluj Napoca,Romania,47.42N,22.50E
1811-07-01,22.293000000000003,3.313,Cluj Napoca,Romania,47.42N,22.50E
1811-08-01,20.888,4.606,Cluj Napoca,Romania,47.42N,22.50E
1811-09-01,14.594000000000001,3.3760000000000003,Cluj Napoca,Romania,47.42N,22.50E
1811-10-01,11.731,6.023,Cluj Napoca,Romania,47.42N,22.50E
1811-11-01,3.574,5.525,Cluj Napoca,Romania,47.42N,22.50E
1811-12-01,-0.387,3.0839999999999996,Cluj Napoca,Romania,47.42N,22.50E
1812-01-01,-6.5760000000000005,2.6289999999999996,Cluj Napoca,Romania,47.42N,22.50E
1812-02-01,-1.4409999999999998,1.1840000000000002,Cluj Napoca,Romania,47.42N,22.50E
1812-03-01,3.655,3.449,Cluj Napoca,Romania,47.42N,22.50E
1812-04-01,6.327000000000001,3.452,Cluj Napoca,Romania,47.42N,22.50E
1812-05-01,14.989,3.293,Cluj Napoca,Romania,47.42N,22.50E
1812-06-01,18.914,1.8780000000000001,Cluj Napoca,Romania,47.42N,22.50E
1812-07-01,19.97,2.051,Cluj Napoca,Romania,47.42N,22.50E
1812-08-01,19.226,5.234,Cluj Napoca,Romania,47.42N,22.50E
1812-09-01,13.341,1.6,Cluj Napoca,Romania,47.42N,22.50E
1812-10-01,11.335999999999999,3.8489999999999998,Cluj Napoca,Romania,47.42N,22.50E
1812-11-01,2.698,3.739,Cluj Napoca,Romania,47.42N,22.50E
1812-12-01,-7.024,3.911,Cluj Napoca,Romania,47.42N,22.50E
1813-01-01,-7.5310000000000015,4.601,Cluj Napoca,Romania,47.42N,22.50E
1813-02-01,-0.425,1.547,Cluj Napoca,Romania,47.42N,22.50E
1813-03-01,2.137,8.545,Cluj Napoca,Romania,47.42N,22.50E
1813-04-01,10.917000000000002,1.819,Cluj Napoca,Romania,47.42N,22.50E
1813-05-01,15.968,6.681,Cluj Napoca,Romania,47.42N,22.50E
1813-06-01,16.68,3.3989999999999996,Cluj Napoca,Romania,47.42N,22.50E
1813-07-01,18.826,2.8939999999999997,Cluj Napoca,Romania,47.42N,22.50E
1813-08-01,17.85,1.534,Cluj Napoca,Romania,47.42N,22.50E
1813-09-01,13.925999999999998,2.399,Cluj Napoca,Romania,47.42N,22.50E
1813-10-01,8.759,1.7469999999999999,Cluj Napoca,Romania,47.42N,22.50E
1813-11-01,4.441,2.511,Cluj Napoca,Romania,47.42N,22.50E
1813-12-01,0.234,2.638,Cluj Napoca,Romania,47.42N,22.50E
1814-01-01,-3.1860000000000004,3.7960000000000003,Cluj Napoca,Romania,47.42N,22.50E
1814-02-01,-6.346,2.333,Cluj Napoca,Romania,47.42N,22.50E
1814-03-01,2.992,2.9339999999999997,Cluj Napoca,Romania,47.42N,22.50E
1814-04-01,11.113,1.209,Cluj Napoca,Romania,47.42N,22.50E
1814-05-01,12.282,1.795,Cluj Napoca,Romania,47.42N,22.50E
1814-06-01,16.772000000000002,1.729,Cluj Napoca,Romania,47.42N,22.50E
1814-07-01,20.613000000000003,3.611,Cluj Napoca,Romania,47.42N,22.50E
1814-08-01,19.035999999999998,1.591,Cluj Napoca,Romania,47.42N,22.50E
1814-09-01,12.288,2.235,Cluj Napoca,Romania,47.42N,22.50E
1814-10-01,8.097999999999999,5.1739999999999995,Cluj Napoca,Romania,47.42N,22.50E
1814-11-01,3.1239999999999997,7.5089999999999995,Cluj Napoca,Romania,47.42N,22.50E
1814-12-01,1.3030000000000002,8.427999999999999,Cluj Napoca,Romania,47.42N,22.50E
1815-01-01,-5.510999999999999,2.253,Cluj Napoca,Romania,47.42N,22.50E
1815-02-01,-0.2540000000000001,6.834,Cluj Napoca,Romania,47.42N,22.50E
1815-03-01,3.797,4.966,Cluj Napoca,Romania,47.42N,22.50E
1815-04-01,9.56,2.335,Cluj Napoca,Romania,47.42N,22.50E
1815-05-01,15.562999999999999,3.464,Cluj Napoca,Romania,47.42N,22.50E
1815-06-01,18.533,2.909,Cluj Napoca,Romania,47.42N,22.50E
1815-07-01,17.933999999999994,3.153,Cluj Napoca,Romania,47.42N,22.50E
1815-08-01,17.990000000000006,2.407,Cluj Napoca,Romania,47.42N,22.50E
1815-09-01,13.265,1.028,Cluj Napoca,Romania,47.42N,22.50E
1815-10-01,9.452,3.815,Cluj Napoca,Romania,47.42N,22.50E
1815-11-01,3.1439999999999997,2.7,Cluj Napoca,Romania,47.42N,22.50E
1815-12-01,-4.71,2.7460000000000004,Cluj Napoca,Romania,47.42N,22.50E
1816-01-01,-1.749,4.569,Cluj Napoca,Romania,47.42N,22.50E
1816-02-01,-3.373,2.963,Cluj Napoca,Romania,47.42N,22.50E
1816-03-01,3.449,2.911,Cluj Napoca,Romania,47.42N,22.50E
1816-04-01,9.15,4.882,Cluj Napoca,Romania,47.42N,22.50E
1816-05-01,14.421,2.4090000000000003,Cluj Napoca,Romania,47.42N,22.50E
1816-06-01,18.043,1.7180000000000002,Cluj Napoca,Romania,47.42N,22.50E
1816-07-01,18.262,2.245,Cluj Napoca,Romania,47.42N,22.50E
1816-08-01,17.68,1.077,Cluj Napoca,Romania,47.42N,22.50E
1816-09-01,14.133,1.124,Cluj Napoca,Romania,47.42N,22.50E
1816-10-01,7.888999999999999,7.188,Cluj Napoca,Romania,47.42N,22.50E
1816-11-01,3.864,7.935,Cluj Napoca,Romania,47.42N,22.50E
1816-12-01,-3.361,2.553,Cluj Napoca,Romania,47.42N,22.50E
1817-01-01,-1.1769999999999998,5.567,Cluj Napoca,Romania,47.42N,22.50E
1817-02-01,1.7119999999999995,3.0439999999999996,Cluj Napoca,Romania,47.42N,22.50E
1817-03-01,4.1610000000000005,3.3169999999999997,Cluj Napoca,Romania,47.42N,22.50E
