00000002,3.29,Nefteyugansk,Russia,61.88N,73.02E
1884-07-01,15.574000000000002,1.082,Nefteyugansk,Russia,61.88N,73.02E
1884-08-01,11.429,0.8759999999999999,Nefteyugansk,Russia,61.88N,73.02E
1884-09-01,3.7739999999999996,1.6480000000000001,Nefteyugansk,Russia,61.88N,73.02E
1884-10-01,-0.5710000000000002,1.064,Nefteyugansk,Russia,61.88N,73.02E
1884-11-01,-11.696,1.12,Nefteyugansk,Russia,61.88N,73.02E
1884-12-01,-16.622999999999998,2.015,Nefteyugansk,Russia,61.88N,73.02E
1885-01-01,-32.382000000000005,3.822,Nefteyugansk,Russia,61.88N,73.02E
1885-02-01,-19.399,1.205,Nefteyugansk,Russia,61.88N,73.02E
1885-03-01,-9.954,0.647,Nefteyugansk,Russia,61.88N,73.02E
1885-04-01,-6.712999999999999,1.0090000000000001,Nefteyugansk,Russia,61.88N,73.02E
1885-05-01,0.4970000000000003,1.237,Nefteyugansk,Russia,61.88N,73.02E
1885-06-01,11.319,0.7609999999999999,Nefteyugansk,Russia,61.88N,73.02E
1885-07-01,14.276,2.037,Nefteyugansk,Russia,61.88N,73.02E
1885-08-01,11.474,0.7170000000000001,Nefteyugansk,Russia,61.88N,73.02E
1885-09-01,6.507999999999999,0.778,Nefteyugansk,Russia,61.88N,73.02E
1885-10-01,-5.354,0.903,Nefteyugansk,Russia,61.88N,73.02E
1885-11-01,-18.184,2.342,Nefteyugansk,Russia,61.88N,73.02E
1885-12-01,-18.867,2.123,Nefteyugansk,Russia,61.88N,73.02E
1886-01-01,-21.581999999999997,1.807,Nefteyugansk,Russia,61.88N,73.02E
1886-02-01,-20.261,2.224,Nefteyugansk,Russia,61.88N,73.02E
1886-03-01,-16.375999999999998,0.875,Nefteyugansk,Russia,61.88N,73.02E
1886-04-01,-5.199,0.708,Nefteyugansk,Russia,61.88N,73.02E
1886-05-01,0.5790000000000002,1.774,Nefteyugansk,Russia,61.88N,73.02E
1886-06-01,7.184999999999999,2.398,Nefteyugansk,Russia,61.88N,73.02E
1886-07-01,19.378,1.7369999999999999,Nefteyugansk,Russia,61.88N,73.02E
1886-08-01,13.822,0.41,Nefteyugansk,Russia,61.88N,73.02E
1886-09-01,7.982,0.7859999999999999,Nefteyugansk,Russia,61.88N,73.02E
1886-10-01,-5.711,1.081,Nefteyugansk,Russia,61.88N,73.02E
1886-11-01,-15.377,1.411,Nefteyugansk,Russia,61.88N,73.02E
1886-12-01,-13.148,2.8819999999999997,Nefteyugansk,Russia,61.88N,73.02E
1887-01-01,-23.644,2.141,Nefteyugansk,Russia,61.88N,73.02E
1887-02-01,-16.340999999999998,1.507,Nefteyugansk,Russia,61.88N,73.02E
1887-03-01,-13.33,1.795,Nefteyugansk,Russia,61.88N,73.02E
1887-04-01,-5.396,1.084,Nefteyugansk,Russia,61.88N,73.02E
1887-05-01,2.0330000000000004,1.9669999999999999,Nefteyugansk,Russia,61.88N,73.02E
1887-06-01,14.966,1.466,Nefteyugansk,Russia,61.88N,73.02E
1887-07-01,18.619,0.747,Nefteyugansk,Russia,61.88N,73.02E
1887-08-01,12.967,0.8290000000000001,Nefteyugansk,Russia,61.88N,73.02E
1887-09-01,6.968999999999999,0.93,Nefteyugansk,Russia,61.88N,73.02E
1887-10-01,-4.7860000000000005,1.422,Nefteyugansk,Russia,61.88N,73.02E
1887-11-01,-13.880999999999998,1.423,Nefteyugansk,Russia,61.88N,73.02E
1887-12-01,-24.289,2.8360000000000003,Nefteyugansk,Russia,61.88N,73.02E
1888-01-01,-23.289,2.359,Nefteyugansk,Russia,61.88N,73.02E
1888-02-01,-22.36,2.214,Nefteyugansk,Russia,61.88N,73.02E
1888-03-01,-15.788,2.185,Nefteyugansk,Russia,61.88N,73.02E
1888-04-01,-6.456,1.474,Nefteyugansk,Russia,61.88N,73.02E
1888-05-01,5.9079999999999995,0.831,Nefteyugansk,Russia,61.88N,73.02E
1888-06-01,13.813,1.034,Nefteyugansk,Russia,61.88N,73.02E
1888-07-01,18.724,1.188,Nefteyugansk,Russia,61.88N,73.02E
1888-08-01,13.264000000000001,1.051,Nefteyugansk,Russia,61.88N,73.02E
1888-09-01,7.327999999999999,1.047,Nefteyugansk,Russia,61.88N,73.02E
1888-10-01,-3.593,0.8909999999999999,Nefteyugansk,Russia,61.88N,73.02E
1888-11-01,-14.880999999999998,1.146,Nefteyugansk,Russia,61.88N,73.02E
1888-12-01,-28.303,2.6630000000000003,Nefteyugansk,Russia,61.88N,73.02E
1889-01-01,-22.776999999999997,1.2,Nefteyugansk,Russia,61.88N,73.02E
1889-02-01,-17.415,0.755,Nefteyugansk,Russia,61.88N,73.02E
1889-03-01,-13.055,1.511,Nefteyugansk,Russia,61.88N,73.02E
1889-04-01,-2.079,0.64,Nefteyugansk,Russia,61.88N,73.02E
1889-05-01,2.272,2.456,Nefteyugansk,Russia,61.88N,73.02E
1889-06-01,10.847000000000001,0.82,Nefteyugansk,Russia,61.88N,73.02E
1889-07-01,15.652,0.564,Nefteyugansk,Russia,61.88N,73.02E
1889-08-01,14.732000000000001,0.506,Nefteyugansk,Russia,61.88N,73.02E
1889-09-01,8.4,1.107,Nefteyugansk,Russia,61.88N,73.02E
1889-10-01,-6.365,2.529,Nefteyugansk,Russia,61.88N,73.02E
1889-11-01,-17.073999999999998,1.469,Nefteyugansk,Russia,61.88N,73.02E
1889-12-01,-20.484,1.827,Nefteyugansk,Russia,61.88N,73.02E
1890-01-01,-25.111,1.188,Nefteyugansk,Russia,61.88N,73.02E
1890-02-01,-20.255,3.0180000000000002,Nefteyugansk,Russia,61.88N,73.02E
1890-03-01,-13.44,2.6319999999999997,Nefteyugansk,Russia,61.88N,73.02E
1890-04-01,-6.3260000000000005,1.433,Nefteyugansk,Russia,61.88N,73.02E
1890-05-01,-2.886,1.7280000000000002,Nefteyugansk,Russia,61.88N,73.02E
1890-06-01,11.05,2.373,Nefteyugansk,Russia,61.88N,73.02E
1890-07-01,17.488,0.324,Nefteyugansk,Russia,61.88N,73.02E
1890-08-01,13.390999999999998,0.528,Nefteyugansk,Russia,61.88N,73.02E
1890-09-01,5.937,0.7070000000000001,Nefteyugansk,Russia,61.88N,73.02E
1890-10-01,1.023,2.074,Nefteyugansk,Russia,61.88N,73.02E
1890-11-01,-23.061,1.749,Nefteyugansk,Russia,61.88N,73.02E
1890-12-01,-20.584,2.032,Nefteyugansk,Russia,61.88N,73.02E
1891-01-01,-24.494000000000003,1.751,Nefteyugansk,Russia,61.88N,73.02E
1891-02-01,-18.704,1.24,Nefteyugansk,Russia,61.88N,73.02E
1891-03-01,-9.726,0.633,Nefteyugansk,Russia,61.88N,73.02E
1891-04-01,-10.079,2.061,Nefteyugansk,Russia,61.88N,73.02E
1891-05-01,0.5010000000000003,2.54,Nefteyugansk,Russia,61.88N,73.02E
1891-06-01,9.816,1.1909999999999998,Nefteyugansk,Russia,61.88N,73.02E
1891-07-01,14.124,1.219,Nefteyugansk,Russia,61.88N,73.02E
1891-08-01,12.244000000000002,0.743,Nefteyugansk,Russia,61.88N,73.02E
1891-09-01,5.1080000000000005,0.684,Nefteyugansk,Russia,61.88N,73.02E
1891-10-01,-8.029,1.062,Nefteyugansk,Russia,61.88N,73.02E
1891-11-01,-18.229,2.395,Nefteyugansk,Russia,61.88N,73.02E
1891-12-01,-23.447,1.81,Nefteyugansk,Russia,61.88N,73.02E
1892-01-01,-22.634,1.6380000000000001,Nefteyugansk,Russia,61.88N,73.02E
1892-02-01,-22.379,1.0190000000000001,Nefteyugansk,Russia,61.88N,73.02E
1892-03-01,-12.5,1.13,Nefteyugansk,Russia,61.88N,73.02E
1892-04-01,-8.163,0.878,Nefteyugansk,Russia,61.88N,73.02E
1892-05-01,5.9350000000000005,0.963,Nefteyugansk,Russia,61.88N,73.02E
1892-06-01,13.523,0.632,Nefteyugansk,Russia,61.88N,73.02E
1892-07-01,18.597,0.537,Nefteyugansk,Russia,61.88N,73.02E
1892-08-01,15.579,1.26,Nefteyugansk,Russia,61.88N,73.02E
1892-09-01,7.724,0.525,Nefteyugansk,Russia,61.88N,73.02E
1892-10-01,-1.7269999999999999,0.7509999999999999,Nefteyugansk,Russia,61.88N,73.02E
1892-11-01,-15.988,1.4580000000000002,Nefteyugansk,Russia,61.88N,73.02E
1892-12-01,-23.806,0.938,Nefteyugansk,Russia,61.88N,73.02E
1893-01-01,-29.176,1.3419999999999999,Nefteyugansk,Russia,61.88N,73.02E
1893-02-01,-19.955,0.5820000000000001,Nefteyugansk,Russia,61.88N,73.02E
1893-03-01,-7.376,2.006,Nefteyugansk,Russia,61.88N,73.02E
1893-04-01,-0.71,1.775,Nefteyugansk,Russia,61.88N,73.02E
1893-05-01,2.9400000000000004,0.67,Nefteyugansk,Russia,61.88N,73.02E
1893-06-01,10.594000000000001,1.716,Nefteyugansk,Russia,61.88N,73.02E
1893-07-01,16.292,1.204,Nefteyugansk,Russia,61.88N,73.02E
1893-08-01,12.421,1.599,Nefteyugansk,Russia,61.88N,73.02E
1893-09-01,8.042,0.47,Nefteyugansk,Russia,61.88N,73.02E
1893-10-01,-1.989,0.682,Nefteyugansk,Russia,61.88N,73.02E
1893-11-01,-10.376,1.541,Nefteyugansk,Russia,61.88N,73.02E
1893-12-01,-23.747,1.732,Nefteyugansk,Russia,61.88N,73.02E
1894-01-01,-22.776000000000003,2.6460000000000004,Nefteyugansk,Russia,61.88N,73.02E
1894-02-01,-13.674000000000001,1.465,Nefteyugansk,Russia,61.88N,73.02E
1894-03-01,-13.085999999999999,0.685,Nefteyugansk,Russia,61.88N,73.02E
1894-04-01,-10.212,2.066,Nefteyugansk,Russia,61.88N,73.02E
1894-05-01,4.105,1.979,Nefteyugansk,Russia,61.88N,73.02E
1894-06-01,10.614,0.608,Nefteyugansk,Russia,61.88N,73.02E
1894-07-01,16.29,1.327,Nefteyugansk,Russia,61.88N,73.02E
1894-08-01,16.125999999999998,0.5,Nefteyugansk,Russia,61.88N,73.02E
1894-09-01,7.52,0.36200000000000004,Nefteyugansk,Russia,61.88N,73.02E
1894-10-01,-3.1689999999999996,1.4469999999999998,Nefteyugansk,Russia,61.88N,73.02E
1894-11-01,-19.276,1.7409999999999999,Nefteyugansk,Russia,61.88N,73.02E
1894-12-01,-21.344,1.609,Nefteyugansk,Russia,61.88N,73.02E
1895-01-01,-25.776000000000003,1.29,Nefteyugansk,Russia,61.88N,73.02E
1895-02-01,-29.444000000000003,2.873,Nefteyugansk,Russia,61.88N,73.02E
1895-03-01,-10.166,1.8430000000000002,Nefteyugansk,Russia,61.88N,73.02E
1895-04-01,-8.942,1.6,Nefteyugansk,Russia,61.88N,73.02E
1895-05-01,1.7380000000000002,1.032,Nefteyugansk,Russia,61.88N,73.02E
1895-06-01,10.733,0.782,Nefteyugansk,Russia,61.88N,73.02E
1895-07-01,18.155,0.41100000000000003,Nefteyugansk,Russia,61.88N,73.02E
1895-08-01,13.352,0.583,Nefteyugansk,Russia,61.88N,73.02E
1895-09-01,8.67,0.365,Nefteyugansk,Russia,61.88N,73.02E
1895-10-01,-0.002000000000000224,0.774,Nefteyugansk,Russia,61.88N,73.02E
1895-11-01,-11.736,0.688,Nefteyugansk,Russia,61.88N,73.02E
1895-12-01,-21.701,0.7,Nefteyugansk,Russia,61.88N,73.02E
1896-01-01,-25.048,1.516,Nefteyugansk,Russia,61.88N,73.02E
1896-02-01,-20.117,1.834,Nefteyugansk,Russia,61.88N,73.02E
1896-03-01,-13.614,0.9890000000000001,Nefteyugansk,Russia,61.88N,73.02E
1896-04-01,-6.75,0.877,Nefteyugansk,Russia,61.88N,73.02E
1896-05-01,7.042999999999999,1.436,Nefteyugansk,Russia,61.88N,73.02E
1896-06-01,12.902000000000001,0.6759999999999999,Nefteyugansk,Russia,61.88N,73.02E
1896-07-01,16.964000000000002,0.609,Nefteyugansk,Russia,61.88N,73.02E
1896-08-01,14.405999999999999,0.89,Nefteyugansk,Russia,61.88N,73.02E
1896-09-01,6.986000000000001,0.5820000000000001,Nefteyugansk,Russia,61.88N,73.02E
1896-10-01,0.669,0.606,Nefteyugansk,Russia,61.88N,73.02E
1896-11-01,-17.352999999999998,2.806,Nefteyugansk,Russia,61.88N,73.02E
1896-12-01,-21.704,1.105,Nefteyugansk,Russia,61.88N,73.02E
1897-01-01,-24.561,0.998,Nefteyugansk,Russia,61.88N,73.02E
1897-02-01,-20.833000000000002,1.203,Nefteyugansk,Russia,61.88N,73.02E
1897-03-01,-13.632,0.617,Nefteyugansk,Russia,61.88N,73.02E
1897-04-01,-5.459,0.997,Nefteyugansk,Russia,61.88N,73.02E
1897-05-01,6.877999999999999,1.3780000000000001,Nefteyugansk,Russia,61.88N,73.02E
1897-06-01,13.976,0.6729999999999999,Nefteyugansk,Russia,61.88N,73.02E
1897-07-01,16.617,0.631,Nefteyugansk,Russia,61.88N,73.02E
1897-08-01,12.982999999999999,0.42100000000000004,Nefteyugansk,Russia,61.88N,73.02E
1897-09-01,7.846,0.737,Nefteyugansk,Russia,61.88N,73.02E
1897-10-01,-3.755,0.622,Nefteyugansk,Russia,61.88N,73.02E
1897-11-01,-13.540999999999999,0.927,Nefteyugansk,Russia,61.88N,73.02E
1897-12-01,-21.803,0.9540000000000001,Nefteyugansk,Russia,61.88N,73.02E
1898-01-01,-18.599000000000004,1.531,Nefteyugansk,Russia,61.88N,73.02E
1898-02-01,-25.811,1.114,Nefteyugansk,Russia,61.88N,73.02E
1898-03-01,-21.096,1.545,Nefteyugansk,Russia,61.88N,73.02E
1898-04-01,-5.9849999999999985,1.841,Nefteyugansk,Russia,61.88N,73.02E
1898-05-01,0.7510000000000003,1.5119999999999998,Nefteyugansk,Russia,61.88N,73.02E
1898-06-01,12.396,0.69,Nefteyugansk,Russia,61.88N,73.02E
1898-07-01,18.983,0.61,Nefteyugansk,Russia,61.88N,73.02E
1898-08-01,13.45,1.03,Nefteyugansk,Russia,61.88N,73.02E
1898-09-01,9.008,0.599,Nefteyugansk,Russia,61.88N,73.02E
1898-10-01,-5.761,0.68,Nefteyugansk,Russia,61.88N,73.02E
1898-11-01,-13.883,1.274,Nefteyugansk,Russia,61.88N,73.02E
1898-12-01,-17.212999999999994,1.871,Nefteyugansk,Russia,61.88N,73.02E
1899-01-01,-20.488000000000003,1.629,Nefteyugansk,Russia,61.88N,73.02E
1899-02-01,-19.835,0.988,Nefteyugansk,Russia,61.88N,73.02E
1899-03-01,-14.773,1.474,Nefteyugansk,Russia,61.88N,73.02E
1899-04-01,-2.912,0.81,Nefteyugansk,Russia,61.88N,73.02E
1899-05-01,2.4450000000000003,1.765,Nefteyugansk,Russia,61.88N,73.02E
1899-06-01,11.989,0.684,Nefteyugansk,Russia,61.88N,73.02E
1899-07-01,13.703,0.764,Nefteyugansk,Russia,61.88N,73.02E
1899-08-01,14.625,0.659,Nefteyugansk,Russia,61.88N,73.02E
1899-09-01,7.716,0.449,Nefteyugansk,Russia,61.88N,73.02E
1899-10-01,1.998,0.966,Nefteyugansk,Russia,61.88N,73.02E
1899-11-01,-6.4270000000000005,1.1179999999999999,Nefteyugansk,Russia,61.88N,73.02E
1899-12-01,-21.699,0.669,Nefteyugansk,Russia,61.88N,73.02E
1900-01-01,-27.517000000000003,2.6289999999999996,Nefteyugansk,Russia,61.88N,73.02E
1900-02-01,-20.002,1.867,Nefteyugansk,Russia,61.88N,73.02E
1900-03-01,-10.228,0.895,Nefteyugansk,Russia,61.88N,73.02E
