000000000002,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1946-07-01,17.913,0.401,Chimalhuacán,Mexico,20.09N,98.96W
1946-08-01,18.11,0.37,Chimalhuacán,Mexico,20.09N,98.96W
1946-09-01,18.165,0.233,Chimalhuacán,Mexico,20.09N,98.96W
1946-10-01,16.308,0.546,Chimalhuacán,Mexico,20.09N,98.96W
1946-11-01,15.21,0.41,Chimalhuacán,Mexico,20.09N,98.96W
1946-12-01,12.982000000000001,0.499,Chimalhuacán,Mexico,20.09N,98.96W
1947-01-01,13.267000000000001,0.632,Chimalhuacán,Mexico,20.09N,98.96W
1947-02-01,13.753,0.528,Chimalhuacán,Mexico,20.09N,98.96W
1947-03-01,16.69,0.7170000000000001,Chimalhuacán,Mexico,20.09N,98.96W
1947-04-01,18.202,0.243,Chimalhuacán,Mexico,20.09N,98.96W
1947-05-01,18.203,0.17800000000000002,Chimalhuacán,Mexico,20.09N,98.96W
1947-06-01,19.230999999999998,0.204,Chimalhuacán,Mexico,20.09N,98.96W
1947-07-01,18.11,0.418,Chimalhuacán,Mexico,20.09N,98.96W
1947-08-01,17.54,0.426,Chimalhuacán,Mexico,20.09N,98.96W
1947-09-01,16.384999999999998,0.42,Chimalhuacán,Mexico,20.09N,98.96W
1947-10-01,16.487000000000002,0.507,Chimalhuacán,Mexico,20.09N,98.96W
1947-11-01,15.191,0.46399999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1947-12-01,12.892000000000001,0.196,Chimalhuacán,Mexico,20.09N,98.96W
1948-01-01,11.986999999999998,0.38,Chimalhuacán,Mexico,20.09N,98.96W
1948-02-01,15.248,0.534,Chimalhuacán,Mexico,20.09N,98.96W
1948-03-01,17.477999999999998,0.364,Chimalhuacán,Mexico,20.09N,98.96W
1948-04-01,17.177,0.235,Chimalhuacán,Mexico,20.09N,98.96W
1948-05-01,18.923,0.22399999999999998,Chimalhuacán,Mexico,20.09N,98.96W
1948-06-01,18.687,0.28600000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1948-07-01,17.883000000000006,0.253,Chimalhuacán,Mexico,20.09N,98.96W
1948-08-01,18.15,0.413,Chimalhuacán,Mexico,20.09N,98.96W
1948-09-01,17.13,0.18899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1948-10-01,15.857999999999999,0.17800000000000002,Chimalhuacán,Mexico,20.09N,98.96W
1948-11-01,15.618,0.259,Chimalhuacán,Mexico,20.09N,98.96W
1948-12-01,14.646,0.502,Chimalhuacán,Mexico,20.09N,98.96W
1949-01-01,13.502,0.311,Chimalhuacán,Mexico,20.09N,98.96W
1949-02-01,15.488,0.688,Chimalhuacán,Mexico,20.09N,98.96W
1949-03-01,17.31,0.44799999999999995,Chimalhuacán,Mexico,20.09N,98.96W
1949-04-01,17.77,0.379,Chimalhuacán,Mexico,20.09N,98.96W
1949-05-01,19.18,0.33,Chimalhuacán,Mexico,20.09N,98.96W
1949-06-01,19.029,0.488,Chimalhuacán,Mexico,20.09N,98.96W
1949-07-01,17.997,0.409,Chimalhuacán,Mexico,20.09N,98.96W
1949-08-01,18.228,0.446,Chimalhuacán,Mexico,20.09N,98.96W
1949-09-01,17.407,0.303,Chimalhuacán,Mexico,20.09N,98.96W
1949-10-01,17.024,0.247,Chimalhuacán,Mexico,20.09N,98.96W
1949-11-01,12.795,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1949-12-01,13.867,0.552,Chimalhuacán,Mexico,20.09N,98.96W
1950-01-01,14.013,0.442,Chimalhuacán,Mexico,20.09N,98.96W
1950-02-01,14.174000000000001,0.46399999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1950-03-01,16.273,0.507,Chimalhuacán,Mexico,20.09N,98.96W
1950-04-01,17.429000000000002,0.321,Chimalhuacán,Mexico,20.09N,98.96W
1950-05-01,19.592,0.21899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1950-06-01,18.032,0.23199999999999998,Chimalhuacán,Mexico,20.09N,98.96W
1950-07-01,17.149,0.223,Chimalhuacán,Mexico,20.09N,98.96W
1950-08-01,17.903,0.299,Chimalhuacán,Mexico,20.09N,98.96W
1950-09-01,17.892,0.27899999999999997,Chimalhuacán,Mexico,20.09N,98.96W
1950-10-01,15.498,0.569,Chimalhuacán,Mexico,20.09N,98.96W
1950-11-01,13.196,0.28,Chimalhuacán,Mexico,20.09N,98.96W
1950-12-01,12.173,0.738,Chimalhuacán,Mexico,20.09N,98.96W
1951-01-01,13.082999999999998,0.441,Chimalhuacán,Mexico,20.09N,98.96W
1951-02-01,13.603,0.215,Chimalhuacán,Mexico,20.09N,98.96W
1951-03-01,15.743,0.589,Chimalhuacán,Mexico,20.09N,98.96W
1951-04-01,18.219,0.483,Chimalhuacán,Mexico,20.09N,98.96W
1951-05-01,18.384,0.5870000000000001,Chimalhuacán,Mexico,20.09N,98.96W
1951-06-01,18.855,0.71,Chimalhuacán,Mexico,20.09N,98.96W
1951-07-01,17.445999999999998,0.37200000000000005,Chimalhuacán,Mexico,20.09N,98.96W
1951-08-01,17.745,0.307,Chimalhuacán,Mexico,20.09N,98.96W
1951-09-01,17.427,0.292,Chimalhuacán,Mexico,20.09N,98.96W
1951-10-01,16.13,0.25,Chimalhuacán,Mexico,20.09N,98.96W
1951-11-01,15.109000000000002,0.672,Chimalhuacán,Mexico,20.09N,98.96W
1951-12-01,14.535,0.7120000000000001,Chimalhuacán,Mexico,20.09N,98.96W
1952-01-01,14.22,0.353,Chimalhuacán,Mexico,20.09N,98.96W
1952-02-01,14.638,0.273,Chimalhuacán,Mexico,20.09N,98.96W
1952-03-01,17.215,0.42,Chimalhuacán,Mexico,20.09N,98.96W
1952-04-01,17.04,0.32,Chimalhuacán,Mexico,20.09N,98.96W
1952-05-01,17.858,0.355,Chimalhuacán,Mexico,20.09N,98.96W
1952-06-01,17.442,0.345,Chimalhuacán,Mexico,20.09N,98.96W
1952-07-01,17.381,0.34700000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1952-08-01,17.823999999999995,0.29600000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1952-09-01,16.567,0.457,Chimalhuacán,Mexico,20.09N,98.96W
1952-10-01,13.465,0.397,Chimalhuacán,Mexico,20.09N,98.96W
1952-11-01,14.796,0.307,Chimalhuacán,Mexico,20.09N,98.96W
1952-12-01,12.499,0.475,Chimalhuacán,Mexico,20.09N,98.96W
1953-01-01,12.171,0.489,Chimalhuacán,Mexico,20.09N,98.96W
1953-02-01,14.812999999999999,0.61,Chimalhuacán,Mexico,20.09N,98.96W
1953-03-01,17.16,0.32899999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1953-04-01,18.771,0.24600000000000002,Chimalhuacán,Mexico,20.09N,98.96W
1953-05-01,20.04,0.467,Chimalhuacán,Mexico,20.09N,98.96W
1953-06-01,19.247,0.43,Chimalhuacán,Mexico,20.09N,98.96W
1953-07-01,18.129,0.33399999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1953-08-01,18.43,0.6779999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1953-09-01,16.375999999999998,0.408,Chimalhuacán,Mexico,20.09N,98.96W
1953-10-01,15.789000000000001,0.316,Chimalhuacán,Mexico,20.09N,98.96W
1953-11-01,13.133,0.47200000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1953-12-01,12.413,0.28,Chimalhuacán,Mexico,20.09N,98.96W
1954-01-01,13.243,0.547,Chimalhuacán,Mexico,20.09N,98.96W
1954-02-01,14.138,0.45299999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1954-03-01,16.963,0.32,Chimalhuacán,Mexico,20.09N,98.96W
1954-04-01,17.397000000000002,0.514,Chimalhuacán,Mexico,20.09N,98.96W
1954-05-01,18.374000000000002,0.237,Chimalhuacán,Mexico,20.09N,98.96W
1954-06-01,18.449,0.316,Chimalhuacán,Mexico,20.09N,98.96W
1954-07-01,17.092000000000002,0.26,Chimalhuacán,Mexico,20.09N,98.96W
1954-08-01,17.65,0.163,Chimalhuacán,Mexico,20.09N,98.96W
1954-09-01,16.912,0.489,Chimalhuacán,Mexico,20.09N,98.96W
1954-10-01,15.157,0.312,Chimalhuacán,Mexico,20.09N,98.96W
1954-11-01,13.486,0.42,Chimalhuacán,Mexico,20.09N,98.96W
1954-12-01,11.821,0.315,Chimalhuacán,Mexico,20.09N,98.96W
1955-01-01,12.164000000000001,0.385,Chimalhuacán,Mexico,20.09N,98.96W
1955-02-01,12.925999999999998,0.29600000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1955-03-01,16.410999999999998,0.336,Chimalhuacán,Mexico,20.09N,98.96W
1955-04-01,18.89,0.38799999999999996,Chimalhuacán,Mexico,20.09N,98.96W
1955-05-01,19.259,0.36700000000000005,Chimalhuacán,Mexico,20.09N,98.96W
1955-06-01,18.945,0.445,Chimalhuacán,Mexico,20.09N,98.96W
1955-07-01,16.665000000000006,0.28600000000000003,Chimalhuacán,Mexico,20.09N,98.96W
1955-08-01,17.273,0.299,Chimalhuacán,Mexico,20.09N,98.96W
1955-09-01,16.345,0.264,Chimalhuacán,Mexico,20.09N,98.96W
1955-10-01,14.277000000000001,0.379,Chimalhuacán,Mexico,20.09N,98.96W
1955-11-01,14.258,0.243,Chimalhuacán,Mexico,20.09N,98.96W
1955-12-01,11.864,0.43,Chimalhuacán,Mexico,20.09N,98.96W
1956-01-01,10.972000000000001,0.35,Chimalhuacán,Mexico,20.09N,98.96W
1956-02-01,14.421,0.196,Chimalhuacán,Mexico,20.09N,98.96W
1956-03-01,16.416,0.201,Chimalhuacán,Mexico,20.09N,98.96W
1956-04-01,18.533,0.294,Chimalhuacán,Mexico,20.09N,98.96W
1956-05-01,17.613,0.309,Chimalhuacán,Mexico,20.09N,98.96W
1956-06-01,16.845,0.22,Chimalhuacán,Mexico,20.09N,98.96W
1956-07-01,16.558,0.182,Chimalhuacán,Mexico,20.09N,98.96W
1956-08-01,17.361,0.24600000000000002,Chimalhuacán,Mexico,20.09N,98.96W
1956-09-01,15.919,0.35700000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1956-10-01,15.19,0.442,Chimalhuacán,Mexico,20.09N,98.96W
1956-11-01,13.272,0.184,Chimalhuacán,Mexico,20.09N,98.96W
1956-12-01,12.76,0.442,Chimalhuacán,Mexico,20.09N,98.96W
1957-01-01,13.255999999999998,0.38299999999999995,Chimalhuacán,Mexico,20.09N,98.96W
1957-02-01,14.814,0.53,Chimalhuacán,Mexico,20.09N,98.96W
1957-03-01,15.943,0.43,Chimalhuacán,Mexico,20.09N,98.96W
1957-04-01,18.121,0.563,Chimalhuacán,Mexico,20.09N,98.96W
1957-05-01,19.018,0.28,Chimalhuacán,Mexico,20.09N,98.96W
1957-06-01,19.333,0.57,Chimalhuacán,Mexico,20.09N,98.96W
1957-07-01,18.048,0.353,Chimalhuacán,Mexico,20.09N,98.96W
1957-08-01,18.018,0.624,Chimalhuacán,Mexico,20.09N,98.96W
1957-09-01,17.456,0.455,Chimalhuacán,Mexico,20.09N,98.96W
1957-10-01,15.477,0.5429999999999999,Chimalhuacán,Mexico,20.09N,98.96W
1957-11-01,15.033,0.568,Chimalhuacán,Mexico,20.09N,98.96W
1957-12-01,12.244000000000002,0.361,Chimalhuacán,Mexico,20.09N,98.96W
1958-01-01,10.684000000000001,0.358,Chimalhuacán,Mexico,20.09N,98.96W
1958-02-01,13.050999999999998,0.434,Chimalhuacán,Mexico,20.09N,98.96W
1958-03-01,16.517,0.628,Chimalhuacán,Mexico,20.09N,98.96W
1958-04-01,18.924,0.659,Chimalhuacán,Mexico,20.09N,98.96W
1958-05-01,17.913999999999994,0.484,Chimalhuacán,Mexico,20.09N,98.96W
1958-06-01,18.594,0.36200000000000004,Chimalhuacán,Mexico,20.09N,98.96W
1958-07-01,17.452,0.514,Chimalhuacán,Mexico,20.09N,98.96W
