000000000002,0.405,Chimalhuacán,Mexico,20.09N,98.96W
1852-09-01,26.743000000000002,1.3090000000000002,Chinandega,Nicaragua,12.05N,87.12W
1852-10-01,25.456999999999997,1.369,Chinandega,Nicaragua,12.05N,87.12W
1852-11-01,26.066999999999997,1.719,Chinandega,Nicaragua,12.05N,87.12W
1852-12-01,27.074,1.561,Chinandega,Nicaragua,12.05N,87.12W
1853-01-01,25.305999999999997,1.4469999999999998,Chinandega,Nicaragua,12.05N,87.12W
1853-02-01,24.917,1.504,Chinandega,Nicaragua,12.05N,87.12W
1853-03-01,26.41,1.5519999999999998,Chinandega,Nicaragua,12.05N,87.12W
1853-04-01,26.933000000000003,1.235,Chinandega,Nicaragua,12.05N,87.12W
1853-05-01,27.746,1.159,Chinandega,Nicaragua,12.05N,87.12W
1853-06-01,27.542,1.536,Chinandega,Nicaragua,12.05N,87.12W
1853-07-01,28.317,1.061,Chinandega,Nicaragua,12.05N,87.12W
1853-08-01,27.822,1.192,Chinandega,Nicaragua,12.05N,87.12W
1853-09-01,26.763,1.13,Chinandega,Nicaragua,12.05N,87.12W
1853-10-01,26.281,1.2209999999999999,Chinandega,Nicaragua,12.05N,87.12W
1853-11-01,25.675,1.81,Chinandega,Nicaragua,12.05N,87.12W
1853-12-01,25.924,1.395,Chinandega,Nicaragua,12.05N,87.12W
1854-01-01,25.315,1.7009999999999998,Chinandega,Nicaragua,12.05N,87.12W
1854-02-01,25.04,1.5290000000000001,Chinandega,Nicaragua,12.05N,87.12W
1854-03-01,27.003,1.435,Chinandega,Nicaragua,12.05N,87.12W
1854-04-01,26.87,1.202,Chinandega,Nicaragua,12.05N,87.12W
1854-05-01,27.9,1.202,Chinandega,Nicaragua,12.05N,87.12W
1854-06-01,27.519000000000002,1.294,Chinandega,Nicaragua,12.05N,87.12W
1854-07-01,27.676,1.359,Chinandega,Nicaragua,12.05N,87.12W
1854-08-01,27.334,1.569,Chinandega,Nicaragua,12.05N,87.12W
1854-09-01,26.119,1.2570000000000001,Chinandega,Nicaragua,12.05N,87.12W
1854-10-01,26.250999999999998,1.528,Chinandega,Nicaragua,12.05N,87.12W
1854-11-01,25.848000000000003,1.422,Chinandega,Nicaragua,12.05N,87.12W
1854-12-01,26.03,2.3480000000000003,Chinandega,Nicaragua,12.05N,87.12W
1855-01-01,26.075,1.871,Chinandega,Nicaragua,12.05N,87.12W
1855-02-01,25.636999999999997,1.611,Chinandega,Nicaragua,12.05N,87.12W
1855-03-01,26.642,1.43,Chinandega,Nicaragua,12.05N,87.12W
1855-04-01,27.537,1.521,Chinandega,Nicaragua,12.05N,87.12W
1855-05-01,28.17,1.483,Chinandega,Nicaragua,12.05N,87.12W
1855-06-01,27.904,1.26,Chinandega,Nicaragua,12.05N,87.12W
1855-07-01,27.222,1.273,Chinandega,Nicaragua,12.05N,87.12W
1855-08-01,27.708,1.442,Chinandega,Nicaragua,12.05N,87.12W
1855-09-01,26.199,1.274,Chinandega,Nicaragua,12.05N,87.12W
1855-10-01,25.543000000000006,1.46,Chinandega,Nicaragua,12.05N,87.12W
1855-11-01,25.948,1.294,Chinandega,Nicaragua,12.05N,87.12W
1855-12-01,25.846999999999998,1.768,Chinandega,Nicaragua,12.05N,87.12W
1856-01-01,26.221999999999998,1.5390000000000001,Chinandega,Nicaragua,12.05N,87.12W
1856-02-01,25.862,1.679,Chinandega,Nicaragua,12.05N,87.12W
1856-03-01,27.363000000000003,1.556,Chinandega,Nicaragua,12.05N,87.12W
1856-04-01,26.998,1.345,Chinandega,Nicaragua,12.05N,87.12W
1856-05-01,27.765,1.5930000000000002,Chinandega,Nicaragua,12.05N,87.12W
1856-06-01,28.229,1.869,Chinandega,Nicaragua,12.05N,87.12W
1856-07-01,27.797,1.178,Chinandega,Nicaragua,12.05N,87.12W
1856-08-01,27.82,1.361,Chinandega,Nicaragua,12.05N,87.12W
1856-09-01,26.402,1.3519999999999999,Chinandega,Nicaragua,12.05N,87.12W
1856-10-01,25.234,1.341,Chinandega,Nicaragua,12.05N,87.12W
1856-11-01,26.155,1.5090000000000001,Chinandega,Nicaragua,12.05N,87.12W
1856-12-01,26.656,1.44,Chinandega,Nicaragua,12.05N,87.12W
1857-01-01,25.951,1.475,Chinandega,Nicaragua,12.05N,87.12W
1857-02-01,24.656,2.605,Chinandega,Nicaragua,12.05N,87.12W
1857-03-01,25.627,1.96,Chinandega,Nicaragua,12.05N,87.12W
1857-04-01,27.65,2.608,Chinandega,Nicaragua,12.05N,87.12W
1857-05-01,27.49,1.767,Chinandega,Nicaragua,12.05N,87.12W
1857-06-01,27.919,1.693,Chinandega,Nicaragua,12.05N,87.12W
1857-07-01,28.244,1.3230000000000002,Chinandega,Nicaragua,12.05N,87.12W
1857-08-01,27.682,1.194,Chinandega,Nicaragua,12.05N,87.12W
1857-09-01,26.477,1.014,Chinandega,Nicaragua,12.05N,87.12W
1857-10-01,26.695,2.377,Chinandega,Nicaragua,12.05N,87.12W
1857-11-01,26.07,1.03,Chinandega,Nicaragua,12.05N,87.12W
1857-12-01,25.724,2.148,Chinandega,Nicaragua,12.05N,87.12W
1858-01-01,27.72,2.918,Chinandega,Nicaragua,12.05N,87.12W
1858-02-01,26.168000000000003,0.917,Chinandega,Nicaragua,12.05N,87.12W
1858-03-01,25.497,2.228,Chinandega,Nicaragua,12.05N,87.12W
1858-04-01,27.015,1.6909999999999998,Chinandega,Nicaragua,12.05N,87.12W
1858-05-01,28.358,1.317,Chinandega,Nicaragua,12.05N,87.12W
1858-06-01,28.394000000000002,2.364,Chinandega,Nicaragua,12.05N,87.12W
1858-07-01,27.313000000000002,1.475,Chinandega,Nicaragua,12.05N,87.12W
1858-08-01,27.324,1.0,Chinandega,Nicaragua,12.05N,87.12W
1858-09-01,27.786,3.0860000000000003,Chinandega,Nicaragua,12.05N,87.12W
1858-10-01,26.168000000000006,1.5019999999999998,Chinandega,Nicaragua,12.05N,87.12W
1858-11-01,26.528000000000002,1.8119999999999998,Chinandega,Nicaragua,12.05N,87.12W
1858-12-01,25.618,1.07,Chinandega,Nicaragua,12.05N,87.12W
1859-01-01,25.695,1.171,Chinandega,Nicaragua,12.05N,87.12W
1859-02-01,25.865,1.6130000000000002,Chinandega,Nicaragua,12.05N,87.12W
1859-03-01,27.075,1.929,Chinandega,Nicaragua,12.05N,87.12W
1859-04-01,27.543000000000003,2.164,Chinandega,Nicaragua,12.05N,87.12W
1859-05-01,27.815,1.057,Chinandega,Nicaragua,12.05N,87.12W
1859-06-01,27.298000000000002,1.554,Chinandega,Nicaragua,12.05N,87.12W
1859-07-01,28.049,0.899,Chinandega,Nicaragua,12.05N,87.12W
1859-08-01,27.898000000000003,0.73,Chinandega,Nicaragua,12.05N,87.12W
1859-09-01,26.466,0.862,Chinandega,Nicaragua,12.05N,87.12W
1859-10-01,26.344,1.063,Chinandega,Nicaragua,12.05N,87.12W
1859-11-01,25.211,1.7380000000000002,Chinandega,Nicaragua,12.05N,87.12W
1859-12-01,25.629,1.504,Chinandega,Nicaragua,12.05N,87.12W
1860-01-01,25.498,1.327,Chinandega,Nicaragua,12.05N,87.12W
1860-02-01,25.396,1.2109999999999999,Chinandega,Nicaragua,12.05N,87.12W
1860-03-01,25.166999999999998,1.956,Chinandega,Nicaragua,12.05N,87.12W
1860-04-01,27.108,1.104,Chinandega,Nicaragua,12.05N,87.12W
1860-05-01,26.569000000000003,1.379,Chinandega,Nicaragua,12.05N,87.12W
1860-06-01,27.989,1.339,Chinandega,Nicaragua,12.05N,87.12W
1860-07-01,27.574,1.324,Chinandega,Nicaragua,12.05N,87.12W
1860-08-01,27.671,1.2309999999999999,Chinandega,Nicaragua,12.05N,87.12W
1860-09-01,26.956,0.88,Chinandega,Nicaragua,12.05N,87.12W
1860-10-01,25.671000000000006,0.9490000000000001,Chinandega,Nicaragua,12.05N,87.12W
1860-11-01,26.373,1.564,Chinandega,Nicaragua,12.05N,87.12W
1860-12-01,25.842,1.371,Chinandega,Nicaragua,12.05N,87.12W
1861-01-01,25.32,1.6119999999999999,Chinandega,Nicaragua,12.05N,87.12W
1861-02-01,25.632,1.3359999999999999,Chinandega,Nicaragua,12.05N,87.12W
1861-03-01,26.529,1.27,Chinandega,Nicaragua,12.05N,87.12W
1861-04-01,27.564,1.26,Chinandega,Nicaragua,12.05N,87.12W
1861-05-01,27.65,1.383,Chinandega,Nicaragua,12.05N,87.12W
1861-06-01,27.916,1.5,Chinandega,Nicaragua,12.05N,87.12W
1861-07-01,28.204,1.297,Chinandega,Nicaragua,12.05N,87.12W
1861-08-01,27.776,1.43,Chinandega,Nicaragua,12.05N,87.12W
1861-09-01,26.714000000000002,1.5,Chinandega,Nicaragua,12.05N,87.12W
1861-10-01,25.924000000000003,1.4169999999999998,Chinandega,Nicaragua,12.05N,87.12W
1861-11-01,26.625999999999998,1.663,Chinandega,Nicaragua,12.05N,87.12W
1861-12-01,26.441000000000006,1.7930000000000001,Chinandega,Nicaragua,12.05N,87.12W
1862-01-01,25.589,1.633,Chinandega,Nicaragua,12.05N,87.12W
1862-02-01,25.865,2.061,Chinandega,Nicaragua,12.05N,87.12W
1862-03-01,26.803,1.351,Chinandega,Nicaragua,12.05N,87.12W
1862-04-01,27.795,1.426,Chinandega,Nicaragua,12.05N,87.12W
1862-05-01,27.776999999999997,1.546,Chinandega,Nicaragua,12.05N,87.12W
1862-06-01,27.724,1.242,Chinandega,Nicaragua,12.05N,87.12W
1862-07-01,28.143,1.204,Chinandega,Nicaragua,12.05N,87.12W
1862-08-01,27.919,1.4780000000000002,Chinandega,Nicaragua,12.05N,87.12W
1862-09-01,26.662,1.4780000000000002,Chinandega,Nicaragua,12.05N,87.12W
1862-10-01,25.535,1.643,Chinandega,Nicaragua,12.05N,87.12W
1862-11-01,25.383000000000003,1.396,Chinandega,Nicaragua,12.05N,87.12W
1862-12-01,24.903,1.515,Chinandega,Nicaragua,12.05N,87.12W
1863-01-01,25.998,1.97,Chinandega,Nicaragua,12.05N,87.12W
1863-02-01,26.855,2.734,Chinandega,Nicaragua,12.05N,87.12W
1863-03-01,27.335,1.04,Chinandega,Nicaragua,12.05N,87.12W
1863-04-01,27.351,2.114,Chinandega,Nicaragua,12.05N,87.12W
1863-05-01,27.804,1.474,Chinandega,Nicaragua,12.05N,87.12W
1863-06-01,28.193,1.382,Chinandega,Nicaragua,12.05N,87.12W
1863-07-01,28.038,1.158,Chinandega,Nicaragua,12.05N,87.12W
1863-08-01,27.704,1.092,Chinandega,Nicaragua,12.05N,87.12W
1863-09-01,26.501,1.1909999999999998,Chinandega,Nicaragua,12.05N,87.12W
1863-10-01,25.996,0.9329999999999999,Chinandega,Nicaragua,12.05N,87.12W
1863-11-01,25.941,1.173,Chinandega,Nicaragua,12.05N,87.12W
1863-12-01,25.480999999999998,1.253,Chinandega,Nicaragua,12.05N,87.12W
1864-01-01,26.243,1.8119999999999998,Chinandega,Nicaragua,12.05N,87.12W
1864-02-01,26.24,1.925,Chinandega,Nicaragua,12.05N,87.12W
1864-03-01,25.906,1.651,Chinandega,Nicaragua,12.05N,87.12W
1864-04-01,26.88,1.2919999999999998,Chinandega,Nicaragua,12.05N,87.12W
1864-05-01,26.815,1.244,Chinandega,Nicaragua,12.05N,87.12W
1864-06-01,27.771,1.2109999999999999,Chinandega,Nicaragua,12.05N,87.12W
1864-07-01,27.927,1.077,Chinandega,Nicaragua,12.05N,87.12W
1864-08-01,27.398000000000003,1.216,Chinandega,Nicaragua,12.05N,87.12W
1864-09-01,27.059,1.4409999999999998,Chinandega,Nicaragua,12.05N,87.12W
1864-10-01,25.851000000000006,1.1320000000000001,Chinandega,Nicaragua,12.05N,87.12W
1864-11-01,25.893,1.48,Chinandega,Nicaragua,12.05N,87.12W
1864-12-01,26.149,1.7730000000000001,Chinandega,Nicaragua,12.05N,87.12W
1865-01-01,26.776,1.44,Chinandega,Nicaragua,12.05N,87.12W
1865-02-01,25.831999999999997,1.6640000000000001,Chinandega,Nicaragua,12.05N,87.12W
1865-03-01,26.136999999999997,1.35,Chinandega,Nicaragua,12.05N,87.12W
1865-04-01,27.234,1.321,Chinandega,Nicaragua,12.05N,87.12W
1865-05-01,27.9,1.325,Chinandega,Nicaragua,12.05N,87.12W
1865-06-01,28.089000000000002,1.192,Chinandega,Nicaragua,12.05N,87.12W
1865-07-01,28.015,1.324,Chinandega,Nicaragua,12.05N,87.12W
1865-08-01,28.326999999999998,1.23,Chinandega,Nicaragua,12.05N,87.12W
1865-09-01,26.458000000000002,1.304,Chinandega,Nicaragua,12.05N,87.12W
1865-10-01,26.03,1.262,Chinandega,Nicaragua,12.05N,87.12W
1865-11-01,26.356,1.479,Chinandega,Nicaragua,12.05N,87.12W
1865-12-01,26.589,1.714,Chinandega,Nicaragua,12.05N,87.12W
1866-01-01,26.122,1.349,Chinandega,Nicaragua,12.05N,87.12W
1866-02-01,25.4,1.495,Chinandega,Nicaragua,12.05N,87.12W
1866-03-01,26.045,1.198,Chinandega,Nicaragua,12.05N,87.12W
1866-04-01,26.738000000000003,1.242,Chinandega,Nicaragua,12.05N,87.12W
1866-05-01,27.775,1.261,Chinandega,Nicaragua,12.05N,87.12W
1866-06-01,27.411,1.122,Chinandega,Nicaragua,12.05N,87.12W
1866-07-01,27.86,1.109,Chinandega,Nicaragua,12.05N,87.12W
1866-08-01,27.581999999999997,1.046,Chinandega,Nicaragua,12.05N,87.12W
1866-09-01,26.924,0.858,Chinandega,Nicaragua,12.05N,87.12W
1866-10-01,25.523000000000003,0.9109999999999999,Chinandega,Nicaragua,12.05N,87.12W
1866-11-01,25.619,1.222,Chinandega,Nicaragua,12.05N,87.12W
1866-12-01,26.815,1.319,Chinandega,Nicaragua,12.05N,87.12W
1867-01-01,26.723000000000006,1.52,Chinandega,Nicaragua,12.05N,87.12W
1867-02-01,26.271,1.09,Chinandega,Nicaragua,12.05N,87.12W
1867-03-01,28.057,1.27,Chinandega,Nicaragua,12.05N,87.12W
1867-04-01,27.691999999999997,1.129,Chinandega,Nicaragua,12.05N,87.12W
1867-05-01,27.997,0.925,Chinandega,Nicaragua,12.05N,87.12W
1867-06-01,28.255,1.031,Chinandega,Nicaragua,12.05N,87.12W
1867-07-01,28.264,1.131,Chinandega,Nicaragua,12.05N,87.12W
1867-08-01,28.076999999999998,1.083,Chinandega,Nicaragua,12.05N,87.12W
1867-09-01,26.869,1.113,Chinandega,Nicaragua,12.05N,87.12W
1867-10-01,26.016,1.158,Chinandega,Nicaragua,12.05N,87.12W
1867-11-01,25.295,1.726,Chinandega,Nicaragua,12.05N,87.12W
1867-12-01,26.267,1.8219999999999998,Chinandega,Nicaragua,12.05N,87.12W
1868-01-01,26.514,1.364,Chinandega,Nicaragua,12.05N,87.12W
1868-02-01,25.09,1.615,Chinandega,Nicaragua,12.05N,87.12W
1868-03-01,26.858,1.092,Chinandega,Nicaragua,12.05N,87.12W
1868-04-01,27.173,1.2819999999999998,Chinandega,Nicaragua,12.05N,87.12W
1868-05-01,27.522,1.162,Chinandega,Nicaragua,12.05N,87.12W
1868-06-01,27.461,0.899,Chinandega,Nicaragua,12.05N,87.12W
1868-07-01,28.279,0.872,Chinandega,Nicaragua,12.05N,87.12W
1868-08-01,27.999,0.987,Chinandega,Nicaragua,12.05N,87.12W
1868-09-01,26.688000000000002,1.139,Chinandega,Nicaragua,12.05N,87.12W
1868-10-01,26.191000000000006,0.946,Chinandega,Nicaragua,12.05N,87.12W
1868-11-01,25.469,1.383,Chinandega,Nicaragua,12.05N,87.12W
1868-12-01,25.915000000000006,1.4,Chinandega,Nicaragua,12.05N,87.12W
1869-01-01,27.572,1.804,Chinandega,Nicaragua,12.05N,87.12W
1869-02-01,28.428,1.6280000000000001,Chinandega,Nicaragua,12.05N,87.12W
1869-03-01,28.066000000000006,1.347,Chinandega,Nicaragua,12.05N,87.12W
1869-04-01,29.096,1.689,Chinandega,Nicaragua,12.05N,87.12W
1869-05-01,28.766,1.1520000000000001,Chinandega,Nicaragua,12.05N,87.12W
1869-06-01,28.553,1.157,Chinandega,Nicaragua,12.05N,87.12W
1869-07-01,28.791,1.208,Chinandega,Nicaragua,12.05N,87.12W
1869-08-01,28.174,1.157,Chinandega,Nicaragua,12.05N,87.12W
1869-09-01,27.785,1.151,Chinandega,Nicaragua,12.05N,87.12W
1869-10-01,26.590000000000003,1.22,Chinandega,Nicaragua,12.05N,87.12W
1869-11-01,26.589000000000002,1.327,Chinandega,Nicaragua,12.05N,87.12W
1869-12-01,25.513,1.6780000000000002,Chinandega,Nicaragua,12.05N,87.12W
1870-01-01,26.206,1.4,Chinandega,Nicaragua,12.05N,87.12W
1870-02-01,25.719,1.32,Chinandega,Nicaragua,12.05N,87.12W
1870-03-01,27.208,1.2570000000000001,Chinandega,Nicaragua,12.05N,87.12W
1870-04-01,27.463,1.222,Chinandega,Nicaragua,12.05N,87.12W
1870-05-01,27.849,1.3659999999999999,Chinandega,Nicaragua,12.05N,87.12W
1870-06-01,28.731,1.633,Chinandega,Nicaragua,12.05N,87.12W
1870-07-01,28.541,1.3130000000000002,Chinandega,Nicaragua,12.05N,87.12W
1870-08-01,28.035999999999998,1.318,Chinandega,Nicaragua,12.05N,87.12W
1870-09-01,27.808000000000003,1.365,Chinandega,Nicaragua,12.05N,87.12W
1870-10-01,25.819000000000006,1.183,Chinandega,Nicaragua,12.05N,87.12W
1870-11-01,25.767,1.5630000000000002,Chinandega,Nicaragua,12.05N,87.12W
1870-12-01,25.221999999999998,1.435,Chinandega,Nicaragua,12.05N,87.12W
1871-01-01,25.236,1.454,Chinandega,Nicaragua,12.05N,87.12W
1871-02-01,25.761999999999997,1.636,Chinandega,Nicaragua,12.05N,87.12W
1871-03-01,26.598000000000003,1.5659999999999998,Chinandega,Nicaragua,12.05N,87.12W
1871-04-01,27.584,1.228,Chinandega,Nicaragua,12.05N,87.12W
1871-05-01,27.631,1.268,Chinandega,Nicaragua,12.05N,87.12W
1871-06-01,27.48,1.5730000000000002,Chinandega,Nicaragua,12.05N,87.12W
1871-07-01,27.748,1.456,Chinandega,Nicaragua,12.05N,87.12W
1871-08-01,28.081999999999997,1.0590000000000002,Chinandega,Nicaragua,12.05N,87.12W
1871-09-01,27.334,1.104,Chinandega,Nicaragua,12.05N,87.12W
1871-10-01,25.776000000000003,1.1909999999999998,Chinandega,Nicaragua,12.05N,87.12W
1871-11-01,25.913,1.87,Chinandega,Nicaragua,12.05N,87.12W
1871-12-01,26.009,1.474,Chinandega,Nicaragua,12.05N,87.12W
1872-01-01,25.729,1.795,Chinandega,Nicaragua,12.05N,87.12W
1872-02-01,26.541,2.174,Chinandega,Nicaragua,12.05N,87.12W
1872-03-01,27.658,1.528,Chinandega,Nicaragua,12.05N,87.12W
1872-04-01,27.899,2.128,Chinandega,Nicaragua,12.05N,87.12W
1872-05-01,28.079,1.601,Chinandega,Nicaragua,12.05N,87.12W
1872-06-01,28.156,1.5830000000000002,Chinandega,Nicaragua,12.05N,87.12W
1872-07-01,28.156,1.911,Chinandega,Nicaragua,12.05N,87.12W
1872-08-01,28.019,2.285,Chinandega,Nicaragua,12.05N,87.12W
1872-09-01,27.685,1.5919999999999999,Chinandega,Nicaragua,12.05N,87.12W
1872-10-01,26.568,1.094,Chinandega,Nicaragua,12.05N,87.12W
1872-11-01,25.945,1.456,Chinandega,Nicaragua,12.05N,87.12W
1872-12-01,25.596,1.929,Chinandega,Nicaragua,12.05N,87.12W
1873-01-01,25.414,1.3940000000000001,Chinandega,Nicaragua,12.05N,87.12W
1873-02-01,26.971,1.413,Chinandega,Nicaragua,12.05N,87.12W
1873-03-01,26.857,1.263,Chinandega,Nicaragua,12.05N,87.12W
1873-04-01,26.776999999999997,1.47,Chinandega,Nicaragua,12.05N,87.12W
1873-05-01,27.754,1.42,Chinandega,Nicaragua,12.05N,87.12W
1873-06-01,27.978,1.214,Chinandega,Nicaragua,12.05N,87.12W
1873-07-01,28.255,1.3159999999999998,Chinandega,Nicaragua,12.05N,87.12W
1873-08-01,27.807,1.255,Chinandega,Nicaragua,12.05N,87.12W
1873-09-01,26.338,1.217,Chinandega,Nicaragua,12.05N,87.12W
1873-10-01,25.595,1.266,Chinandega,Nicaragua,12.05N,87.12W
1873-11-01,25.715,1.236,Chinandega,Nicaragua,12.05N,87.12W
1873-12-01,26.713,1.3,Chinandega,Nicaragua,12.05N,87.12W
1874-01-01,25.905,1.486,Chinandega,Nicaragua,12.05N,87.12W
1874-02-01,27.03,1.554,Chinandega,Nicaragua,12.05N,87.12W
1874-03-01,27.329,1.4269999999999998,Chinandega,Nicaragua,12.05N,87.12W
1874-04-01,27.671999999999997,1.4080000000000001,Chinandega,Nicaragua,12.05N,87.12W
1874-05-01,27.7,1.183,Chinandega,Nicaragua,12.05N,87.12W
1874-06-01,27.187,1.202,Chinandega,Nicaragua,12.05N,87.12W
1874-07-01,27.696,1.4,Chinandega,Nicaragua,12.05N,87.12W
1874-08-01,28.256,1.123,Chinandega,Nicaragua,12.05N,87.12W
1874-09-01,26.916,1.1909999999999998,Chinandega,Nicaragua,12.05N,87.12W
1874-10-01,25.831000000000003,1.315,Chinandega,Nicaragua,12.05N,87.12W
1874-11-01,26.368000000000002,1.307,Chinandega,Nicaragua,12.05N,87.12W
1874-12-01,26.572000000000006,1.315,Chinandega,Nicaragua,12.05N,87.12W
1875-01-01,25.959,1.52,Chinandega,Nicaragua,12.05N,87.12W
1875-02-01,26.325,1.3619999999999999,Chinandega,Nicaragua,12.05N,87.12W
1875-03-01,26.901,1.3719999999999999,Chinandega,Nicaragua,12.05N,87.12W
1875-04-01,27.239,1.239,Chinandega,Nicaragua,12.05N,87.12W
1875-05-01,28.125,1.1540000000000001,Chinandega,Nicaragua,12.05N,87.12W
1875-06-01,27.802,1.16,Chinandega,Nicaragua,12.05N,87.12W
1875-07-01,28.011,1.062,Chinandega,Nicaragua,12.05N,87.12W
1875-08-01,27.853,1.053,Chinandega,Nicaragua,12.05N,87.12W
1875-09-01,26.853,1.069,Chinandega,Nicaragua,12.05N,87.12W
1875-10-01,26.4,1.114,Chinandega,Nicaragua,12.05N,87.12W
1875-11-01,26.338,1.287,Chinandega,Nicaragua,12.05N,87.12W
1875-12-01,26.496,1.182,Chinandega,Nicaragua,12.05N,87.12W
1876-01-01,26.531,1.4969999999999999,Chinandega,Nicaragua,12.05N,87.12W
1876-02-01,26.748,1.7109999999999999,Chinandega,Nicaragua,12.05N,87.12W
1876-03-01,27.018,1.564,Chinandega,Nicaragua,12.05N,87.12W
1876-04-01,27.595,1.193,Chinandega,Nicaragua,12.05N,87.12W
1876-05-01,27.566999999999997,1.188,Chinandega,Nicaragua,12.05N,87.12W
1876-06-01,27.996,1.13,Chinandega,Nicaragua,12.05N,87.12W
1876-07-01,28.047,1.081,Chinandega,Nicaragua,12.05N,87.12W
1876-08-01,27.814,1.121,Chinandega,Nicaragua,12.05N,87.12W
1876-09-01,27.248,1.327,Chinandega,Nicaragua,12.05N,87.12W
1876-10-01,26.029000000000003,1.1520000000000001,Chinandega,Nicaragua,12.05N,87.12W
1876-11-01,25.969,1.248,Chinandega,Nicaragua,12.05N,87.12W
1876-12-01,25.746,1.3769999999999998,Chinandega,Nicaragua,12.05N,87.12W
1877-01-01,25.961,1.465,Chinandega,Nicaragua,12.05N,87.12W
1877-02-01,25.738000000000003,1.601,Chinandega,Nicaragua,12.05N,87.12W
1877-03-01,26.886,1.28,Chinandega,Nicaragua,12.05N,87.12W
1877-04-01,27.557,1.415,Chinandega,Nicaragua,12.05N,87.12W
1877-05-01,27.761,1.42,Chinandega,Nicaragua,12.05N,87.12W
1877-06-01,27.522,1.847,Chinandega,Nicaragua,12.05N,87.12W
1877-07-01,28.7,1.17,Chinandega,Nicaragua,12.05N,87.12W
1877-08-01,28.880000000000006,1.131,Chinandega,Nicaragua,12.05N,87.12W
1877-09-01,27.978,1.146,Chinandega,Nicaragua,12.05N,87.12W
1877-10-01,26.959000000000003,1.268,Chinandega,Nicaragua,12.05N,87.12W
1877-11-01,26.719,1.4180000000000001,Chinandega,Nicaragua,12.05N,87.12W
1877-12-01,26.094,2.546,Chinandega,Nicaragua,12.05N,87.12W
1878-01-01,26.358,2.209,Chinandega,Nicaragua,12.05N,87.12W
1878-02-01,27.069000000000003,1.5519999999999998,Chinandega,Nicaragua,12.05N,87.12W
1878-03-01,28.362,1.246,Chinandega,Nicaragua,12.05N,87.12W
1878-04-01,28.97,1.0390000000000001,Chinandega,Nicaragua,12.05N,87.12W
1878-05-01,28.855999999999998,1.112,Chinandega,Nicaragua,12.05N,87.12W
1878-06-01,29.303,1.183,Chinandega,Nicaragua,12.05N,87.12W
1878-07-01,28.986,1.1059999999999999,Chinandega,Nicaragua,12.05N,87.12W
1878-08-01,28.281999999999996,0.993,Chinandega,Nicaragua,12.05N,87.12W
1878-09-01,27.476999999999997,1.041,Chinandega,Nicaragua,12.05N,87.12W
1878-10-01,26.649,1.022,Chinandega,Nicaragua,12.05N,87.12W
1878-11-01,26.971,1.168,Chinandega,Nicaragua,12.05N,87.12W
1878-12-01,26.636999999999997,1.335,Chinandega,Nicaragua,12.05N,87.12W
1879-01-01,26.545,1.263,Chinandega,Nicaragua,12.05N,87.12W
1879-02-01,26.272,1.162,Chinandega,Nicaragua,12.05N,87.12W
1879-03-01,26.403,1.0759999999999998,Chinandega,Nicaragua,12.05N,87.12W
1879-04-01,27.791,1.1420000000000001,Chinandega,Nicaragua,12.05N,87.12W
1879-05-01,27.706,1.24,Chinandega,Nicaragua,12.05N,87.12W
1879-06-01,27.485,1.284,Chinandega,Nicaragua,12.05N,87.12W
1879-07-01,28.133000000000003,1.411,Chinandega,Nicaragua,12.05N,87.12W
1879-08-01,28.105,1.249,Chinandega,Nicaragua,12.05N,87.12W
1879-09-01,26.913,1.008,Chinandega,Nicaragua,12.05N,87.12W
1879-10-01,25.944000000000006,1.11,Chinandega,Nicaragua,12.05N,87.12W
1879-11-01,26.016,1.469,Chinandega,Nicaragua,12.05N,87.12W
1879-12-01,26.136000000000006,1.2990000000000002,Chinandega,Nicaragua,12.05N,87.12W
1880-01-01,25.95,1.476,Chinandega,Nicaragua,12.05N,87.12W
1880-02-01,26.212,1.214,Chinandega,Nicaragua,12.05N,87.12W
1880-03-01,27.379,1.3219999999999998,Chinandega,Nicaragua,12.05N,87.12W
1880-04-01,26.98,1.24,Chinandega,Nicaragua,12.05N,87.12W
1880-05-01,27.885,1.097,Chinandega,Nicaragua,12.05N,87.12W
1880-06-01,27.656,1.0959999999999999,Chinandega,Nicaragua,12.05N,87.12W
1880-07-01,28.151,0.992,Chinandega,Nicaragua,12.05N,87.12W
1880-08-01,28.368,1.138,Chinandega,Nicaragua,12.05N,87.12W
1880-09-01,27.206,1.084,Chinandega,Nicaragua,12.05N,87.12W
1880-10-01,26.392000000000003,1.052,Chinandega,Nicaragua,12.05N,87.12W
1880-11-01,27.113000000000003,1.686,Chinandega,Nicaragua,12.05N,87.12W
1880-12-01,26.415000000000006,1.052,Chinandega,Nicaragua,12.05N,87.12W
1881-01-01,26.506,1.204,Chinandega,Nicaragua,12.05N,87.12W
1881-02-01,25.65,1.175,Chinandega,Nicaragua,12.05N,87.12W
1881-03-01,26.361,1.105,Chinandega,Nicaragua,12.05N,87.12W
1881-04-01,27.27,1.169,Chinandega,Nicaragua,12.05N,87.12W
1881-05-01,28.601999999999997,1.345,Chinandega,Nicaragua,12.05N,87.12W
1881-06-01,28.141,1.38,Chinandega,Nicaragua,12.05N,87.12W
1881-07-01,28.593000000000004,0.818,Chinandega,Nicaragua,12.05N,87.12W
1881-08-01,28.406999999999996,0.882,Chinandega,Nicaragua,12.05N,87.12W
1881-09-01,26.66,0.9540000000000001,Chinandega,Nicaragua,12.05N,87.12W
