,,Raigarh,India,21.70N,83.94E
1878-07-01,28.693,1.141,Raigarh,India,21.70N,83.94E
1878-08-01,27.333,0.8490000000000001,Raigarh,India,21.70N,83.94E
1878-09-01,27.886,0.621,Raigarh,India,21.70N,83.94E
1878-10-01,26.905,0.7290000000000001,Raigarh,India,21.70N,83.94E
1878-11-01,22.995,0.9259999999999999,Raigarh,India,21.70N,83.94E
1878-12-01,18.725,1.4980000000000002,Raigarh,India,21.70N,83.94E
1879-01-01,19.603,0.652,Raigarh,India,21.70N,83.94E
1879-02-01,23.464000000000002,1.077,Raigarh,India,21.70N,83.94E
1879-03-01,27.935,0.631,Raigarh,India,21.70N,83.94E
1879-04-01,32.797,1.113,Raigarh,India,21.70N,83.94E
1879-05-01,33.679,0.9179999999999999,Raigarh,India,21.70N,83.94E
1879-06-01,30.622,0.831,Raigarh,India,21.70N,83.94E
1879-07-01,27.23,1.051,Raigarh,India,21.70N,83.94E
1879-08-01,26.462,0.588,Raigarh,India,21.70N,83.94E
1879-09-01,26.924,0.774,Raigarh,India,21.70N,83.94E
1879-10-01,25.173,0.855,Raigarh,India,21.70N,83.94E
1879-11-01,20.721999999999998,0.621,Raigarh,India,21.70N,83.94E
1879-12-01,17.668,0.9490000000000001,Raigarh,India,21.70N,83.94E
1880-01-01,19.479,0.887,Raigarh,India,21.70N,83.94E
1880-02-01,21.95,0.37200000000000005,Raigarh,India,21.70N,83.94E
1880-03-01,27.873,0.629,Raigarh,India,21.70N,83.94E
1880-04-01,32.092,0.529,Raigarh,India,21.70N,83.94E
1880-05-01,32.650999999999996,0.875,Raigarh,India,21.70N,83.94E
1880-06-01,30.374,0.951,Raigarh,India,21.70N,83.94E
1880-07-01,27.052,0.494,Raigarh,India,21.70N,83.94E
1880-08-01,27.095,0.47100000000000003,Raigarh,India,21.70N,83.94E
1880-09-01,26.668000000000003,0.805,Raigarh,India,21.70N,83.94E
1880-10-01,26.11,0.565,Raigarh,India,21.70N,83.94E
1880-11-01,21.605999999999998,1.756,Raigarh,India,21.70N,83.94E
1880-12-01,18.532,0.728,Raigarh,India,21.70N,83.94E
1881-01-01,18.753,0.573,Raigarh,India,21.70N,83.94E
1881-02-01,23.061999999999998,0.855,Raigarh,India,21.70N,83.94E
1881-03-01,26.2,0.602,Raigarh,India,21.70N,83.94E
1881-04-01,31.794,0.359,Raigarh,India,21.70N,83.94E
1881-05-01,32.934000000000005,0.5770000000000001,Raigarh,India,21.70N,83.94E
1881-06-01,29.375999999999998,1.4469999999999998,Raigarh,India,21.70N,83.94E
1881-07-01,26.965999999999998,0.38,Raigarh,India,21.70N,83.94E
1881-08-01,26.838,0.5710000000000001,Raigarh,India,21.70N,83.94E
1881-09-01,27.426,0.324,Raigarh,India,21.70N,83.94E
1881-10-01,25.426,0.47100000000000003,Raigarh,India,21.70N,83.94E
1881-11-01,21.49,0.604,Raigarh,India,21.70N,83.94E
1881-12-01,18.473,1.117,Raigarh,India,21.70N,83.94E
1882-01-01,20.266,0.902,Raigarh,India,21.70N,83.94E
1882-02-01,22.441999999999997,0.5489999999999999,Raigarh,India,21.70N,83.94E
1882-03-01,28.56,0.474,Raigarh,India,21.70N,83.94E
1882-04-01,31.14,0.562,Raigarh,India,21.70N,83.94E
1882-05-01,31.837,0.456,Raigarh,India,21.70N,83.94E
1882-06-01,29.87,0.33299999999999996,Raigarh,India,21.70N,83.94E
1882-07-01,27.041,0.531,Raigarh,India,21.70N,83.94E
1882-08-01,26.835,0.509,Raigarh,India,21.70N,83.94E
1882-09-01,27.3,0.251,Raigarh,India,21.70N,83.94E
1882-10-01,25.381,0.337,Raigarh,India,21.70N,83.94E
1882-11-01,21.418000000000003,0.7859999999999999,Raigarh,India,21.70N,83.94E
1882-12-01,19.323,0.36200000000000004,Raigarh,India,21.70N,83.94E
1883-01-01,19.528,0.507,Raigarh,India,21.70N,83.94E
1883-02-01,21.778000000000002,1.1909999999999998,Raigarh,India,21.70N,83.94E
1883-03-01,26.919,0.6809999999999999,Raigarh,India,21.70N,83.94E
1883-04-01,31.745,0.713,Raigarh,India,21.70N,83.94E
1883-05-01,33.652,1.307,Raigarh,India,21.70N,83.94E
1883-06-01,30.090000000000003,0.768,Raigarh,India,21.70N,83.94E
1883-07-01,27.268,0.589,Raigarh,India,21.70N,83.94E
1883-08-01,27.25,0.41700000000000004,Raigarh,India,21.70N,83.94E
1883-09-01,27.062,0.38,Raigarh,India,21.70N,83.94E
1883-10-01,25.559,0.42700000000000005,Raigarh,India,21.70N,83.94E
1883-11-01,20.666,0.495,Raigarh,India,21.70N,83.94E
1883-12-01,16.873,1.035,Raigarh,India,21.70N,83.94E
1884-01-01,18.745,0.598,Raigarh,India,21.70N,83.94E
1884-02-01,21.495,0.861,Raigarh,India,21.70N,83.94E
1884-03-01,28.182,0.478,Raigarh,India,21.70N,83.94E
1884-04-01,31.022,0.565,Raigarh,India,21.70N,83.94E
1884-05-01,32.986999999999995,0.653,Raigarh,India,21.70N,83.94E
1884-06-01,30.621,0.45,Raigarh,India,21.70N,83.94E
1884-07-01,26.943,0.374,Raigarh,India,21.70N,83.94E
1884-08-01,26.805999999999997,0.377,Raigarh,India,21.70N,83.94E
1884-09-01,26.439,0.35600000000000004,Raigarh,India,21.70N,83.94E
1884-10-01,24.506,0.6809999999999999,Raigarh,India,21.70N,83.94E
1884-11-01,20.352,0.607,Raigarh,India,21.70N,83.94E
1884-12-01,18.177,1.124,Raigarh,India,21.70N,83.94E
1885-01-01,20.494,0.723,Raigarh,India,21.70N,83.94E
1885-02-01,21.135,0.5489999999999999,Raigarh,India,21.70N,83.94E
1885-03-01,27.105,0.28600000000000003,Raigarh,India,21.70N,83.94E
1885-04-01,31.308000000000003,0.504,Raigarh,India,21.70N,83.94E
1885-05-01,31.798,0.973,Raigarh,India,21.70N,83.94E
1885-06-01,30.557,0.738,Raigarh,India,21.70N,83.94E
1885-07-01,27.43,0.251,Raigarh,India,21.70N,83.94E
1885-08-01,26.677,0.66,Raigarh,India,21.70N,83.94E
1885-09-01,27.394000000000002,0.479,Raigarh,India,21.70N,83.94E
1885-10-01,26.058000000000003,0.787,Raigarh,India,21.70N,83.94E
1885-11-01,21.767,0.807,Raigarh,India,21.70N,83.94E
1885-12-01,18.715999999999998,1.157,Raigarh,India,21.70N,83.94E
1886-01-01,19.237000000000002,0.6759999999999999,Raigarh,India,21.70N,83.94E
1886-02-01,21.739,0.9540000000000001,Raigarh,India,21.70N,83.94E
