33.018,1.1079999999999999,Khairpur,Pakistan,28.13N,68.18E
1907-07-01,35.55600000000001,0.8440000000000001,Khairpur,Pakistan,28.13N,68.18E
1907-08-01,32.801,0.753,Khairpur,Pakistan,28.13N,68.18E
1907-09-01,30.927,0.753,Khairpur,Pakistan,28.13N,68.18E
1907-10-01,26.636999999999997,0.318,Khairpur,Pakistan,28.13N,68.18E
1907-11-01,21.771,0.532,Khairpur,Pakistan,28.13N,68.18E
1907-12-01,15.187,0.509,Khairpur,Pakistan,28.13N,68.18E
1908-01-01,15.072000000000001,0.447,Khairpur,Pakistan,28.13N,68.18E
1908-02-01,17.765,0.568,Khairpur,Pakistan,28.13N,68.18E
1908-03-01,22.287,1.321,Khairpur,Pakistan,28.13N,68.18E
1908-04-01,29.406999999999996,0.826,Khairpur,Pakistan,28.13N,68.18E
1908-05-01,33.781,0.95,Khairpur,Pakistan,28.13N,68.18E
1908-06-01,35.988,1.48,Khairpur,Pakistan,28.13N,68.18E
1908-07-01,34.57,0.629,Khairpur,Pakistan,28.13N,68.18E
1908-08-01,32.967,0.9159999999999999,Khairpur,Pakistan,28.13N,68.18E
1908-09-01,30.304000000000002,0.49200000000000005,Khairpur,Pakistan,28.13N,68.18E
1908-10-01,26.348000000000003,0.445,Khairpur,Pakistan,28.13N,68.18E
1908-11-01,20.375,1.207,Khairpur,Pakistan,28.13N,68.18E
1908-12-01,15.2,0.627,Khairpur,Pakistan,28.13N,68.18E
1909-01-01,12.896,0.763,Khairpur,Pakistan,28.13N,68.18E
1909-02-01,16.392,0.8140000000000001,Khairpur,Pakistan,28.13N,68.18E
1909-03-01,23.138,0.524,Khairpur,Pakistan,28.13N,68.18E
1909-04-01,29.048000000000002,0.561,Khairpur,Pakistan,28.13N,68.18E
1909-05-01,32.937,0.792,Khairpur,Pakistan,28.13N,68.18E
1909-06-01,36.497,0.28300000000000003,Khairpur,Pakistan,28.13N,68.18E
1909-07-01,34.439,1.0170000000000001,Khairpur,Pakistan,28.13N,68.18E
1909-08-01,32.883,0.632,Khairpur,Pakistan,28.13N,68.18E
1909-09-01,30.476999999999997,0.902,Khairpur,Pakistan,28.13N,68.18E
1909-10-01,27.214000000000002,0.507,Khairpur,Pakistan,28.13N,68.18E
1909-11-01,22.202,0.321,Khairpur,Pakistan,28.13N,68.18E
1909-12-01,14.648,0.564,Khairpur,Pakistan,28.13N,68.18E
1910-01-01,13.22,0.6629999999999999,Khairpur,Pakistan,28.13N,68.18E
1910-02-01,18.124000000000002,0.7140000000000001,Khairpur,Pakistan,28.13N,68.18E
1910-03-01,22.564,0.478,Khairpur,Pakistan,28.13N,68.18E
1910-04-01,27.568,0.418,Khairpur,Pakistan,28.13N,68.18E
1910-05-01,34.411,0.779,Khairpur,Pakistan,28.13N,68.18E
1910-06-01,36.154,0.313,Khairpur,Pakistan,28.13N,68.18E
1910-07-01,33.376999999999995,0.413,Khairpur,Pakistan,28.13N,68.18E
1910-08-01,33.025999999999996,0.87,Khairpur,Pakistan,28.13N,68.18E
1910-09-01,30.636,0.5329999999999999,Khairpur,Pakistan,28.13N,68.18E
1910-10-01,26.435,0.504,Khairpur,Pakistan,28.13N,68.18E
1910-11-01,20.15,0.289,Khairpur,Pakistan,28.13N,68.18E
1910-12-01,14.32,0.634,Khairpur,Pakistan,28.13N,68.18E
1911-01-01,13.409,0.488,Khairpur,Pakistan,28.13N,68.18E
1911-02-01,18.135,1.0659999999999998,Khairpur,Pakistan,28.13N,68.18E
1911-03-01,21.06,0.568,Khairpur,Pakistan,28.13N,68.18E
