,22.24,0.564,Chandpur,Bangladesh,23.31N,90.00E
2012-07-01,29.217,0.191,Chandpur,Bangladesh,23.31N,90.00E
2012-08-01,29.456,0.381,Chandpur,Bangladesh,23.31N,90.00E
2012-09-01,29.428,0.5920000000000001,Chandpur,Bangladesh,23.31N,90.00E
2012-10-01,27.524,0.639,Chandpur,Bangladesh,23.31N,90.00E
2012-11-01,23.766,0.317,Chandpur,Bangladesh,23.31N,90.00E
2012-12-01,19.438,0.377,Chandpur,Bangladesh,23.31N,90.00E
2013-01-01,17.116,0.6609999999999999,Chandpur,Bangladesh,23.31N,90.00E
2013-02-01,21.84,0.6920000000000001,Chandpur,Bangladesh,23.31N,90.00E
2013-03-01,27.035999999999998,0.527,Chandpur,Bangladesh,23.31N,90.00E
2013-04-01,29.011999999999997,0.366,Chandpur,Bangladesh,23.31N,90.00E
2013-05-01,28.755,0.456,Chandpur,Bangladesh,23.31N,90.00E
2013-06-01,30.133000000000003,0.509,Chandpur,Bangladesh,23.31N,90.00E
2013-07-01,29.65,0.38799999999999996,Chandpur,Bangladesh,23.31N,90.00E
2013-08-01,29.154,0.502,Chandpur,Bangladesh,23.31N,90.00E
2013-09-01,,,Chandpur,Bangladesh,23.31N,90.00E
1796-01-01,21.899,2.291,Chandrapur,India,20.09N,78.48E
1796-02-01,24.229,1.548,Chandrapur,India,20.09N,78.48E
1796-03-01,27.295,2.417,Chandrapur,India,20.09N,78.48E
1796-04-01,32.387,1.83,Chandrapur,India,20.09N,78.48E
1796-05-01,34.907000000000004,1.5390000000000001,Chandrapur,India,20.09N,78.48E
1796-06-01,31.946,3.448,Chandrapur,India,20.09N,78.48E
1796-07-01,27.576,2.394,Chandrapur,India,20.09N,78.48E
1796-08-01,27.055,3.1010000000000004,Chandrapur,India,20.09N,78.48E
1796-09-01,27.631999999999998,3.513,Chandrapur,India,20.09N,78.48E
1796-10-01,26.177,1.591,Chandrapur,India,20.09N,78.48E
1796-11-01,22.791,3.202,Chandrapur,India,20.09N,78.48E
1796-12-01,19.528,4.224,Chandrapur,India,20.09N,78.48E
1797-01-01,,,Chandrapur,India,20.09N,78.48E
1797-02-01,,,Chandrapur,India,20.09N,78.48E
1797-03-01,27.901,2.073,Chandrapur,India,20.09N,78.48E
1797-04-01,31.853,2.97,Chandrapur,India,20.09N,78.48E
1797-05-01,34.478,2.454,Chandrapur,India,20.09N,78.48E
1797-06-01,32.944,2.293,Chandrapur,India,20.09N,78.48E
1797-07-01,27.936999999999998,2.385,Chandrapur,India,20.09N,78.48E
1797-08-01,27.661,2.335,Chandrapur,India,20.09N,78.48E
1797-09-01,27.781,2.946,Chandrapur,India,20.09N,78.48E
1797-10-01,25.885,2.1180000000000003,Chandrapur,India,20.09N,78.48E
1797-11-01,22.246,1.797,Chandrapur,India,20.09N,78.48E
1797-12-01,20.95,2.696,Chandrapur,India,20.09N,78.48E
1798-01-01,22.009,2.19,Chandrapur,India,20.09N,78.48E
1798-02-01,24.708000000000002,1.8869999999999998,Chandrapur,India,20.09N,78.48E
1798-03-01,29.015,1.839,Chandrapur,India,20.09N,78.48E
1798-04-01,,,Chandrapur,India,20.09N,78.48E
1798-05-01,,,Chandrapur,India,20.09N,78.48E
1798-06-01,32.492,2.351,Chandrapur,India,20.09N,78.48E
1798-07-01,28.923,2.276,Chandrapur,India,20.09N,78.48E
1798-08-01,27.63,4.258,Chandrapur,India,20.09N,78.48E
1798-09-01,27.778,2.662,Chandrapur,India,20.09N,78.48E
1798-10-01,26.279,2.189,Chandrapur,India,20.09N,78.48E
1798-11-01,23.290000000000006,2.553,Chandrapur,India,20.09N,78.48E
1798-12-01,20.705,2.184,Chandrapur,India,20.09N,78.48E
1799-01-01,21.541,2.208,Chandrapur,India,20.09N,78.48E
1799-02-01,23.168000000000003,2.508,Chandrapur,India,20.09N,78.48E
1799-03-01,28.063000000000002,2.634,Chandrapur,India,20.09N,78.48E
1799-04-01,33.004000000000005,3.34,Chandrapur,India,20.09N,78.48E
1799-05-01,35.13,1.629,Chandrapur,India,20.09N,78.48E
1799-06-01,32.774,2.658,Chandrapur,India,20.09N,78.48E
1799-07-01,27.863000000000003,2.1109999999999998,Chandrapur,India,20.09N,78.48E
1799-08-01,27.436,1.222,Chandrapur,India,20.09N,78.48E
1799-09-01,27.732000000000006,2.373,Chandrapur,India,20.09N,78.48E
1799-10-01,26.807,1.889,Chandrapur,India,20.09N,78.48E
1799-11-01,22.539,2.037,Chandrapur,India,20.09N,78.48E
1799-12-01,20.866,1.7080000000000002,Chandrapur,India,20.09N,78.48E
1800-01-01,22.025,1.916,Chandrapur,India,20.09N,78.48E
1800-02-01,24.741999999999997,3.699,Chandrapur,India,20.09N,78.48E
1800-03-01,27.93,3.0189999999999997,Chandrapur,India,20.09N,78.48E
1800-04-01,33.588,1.81,Chandrapur,India,20.09N,78.48E
1800-05-01,34.332,1.5230000000000001,Chandrapur,India,20.09N,78.48E
1800-06-01,32.194,1.645,Chandrapur,India,20.09N,78.48E
1800-07-01,27.348000000000006,1.8840000000000001,Chandrapur,India,20.09N,78.48E
1800-08-01,26.851,2.149,Chandrapur,India,20.09N,78.48E
1800-09-01,26.799000000000003,2.122,Chandrapur,India,20.09N,78.48E
1800-10-01,26.524,2.276,Chandrapur,India,20.09N,78.48E
1800-11-01,23.375,2.699,Chandrapur,India,20.09N,78.48E
1800-12-01,21.177,1.8419999999999999,Chandrapur,India,20.09N,78.48E
1801-01-01,22.329,1.7269999999999999,Chandrapur,India,20.09N,78.48E
1801-02-01,23.909000000000002,1.304,Chandrapur,India,20.09N,78.48E
1801-03-01,29.952,1.985,Chandrapur,India,20.09N,78.48E
1801-04-01,,,Chandrapur,India,20.09N,78.48E
1801-05-01,,,Chandrapur,India,20.09N,78.48E
1801-06-01,31.663,2.094,Chandrapur,India,20.09N,78.48E
1801-07-01,28.054,2.81,Chandrapur,India,20.09N,78.48E
1801-08-01,27.104,2.178,Chandrapur,India,20.09N,78.48E
1801-09-01,27.303,1.321,Chandrapur,India,20.09N,78.48E
1801-10-01,26.229,1.614,Chandrapur,India,20.09N,78.48E
1801-11-01,23.115,1.689,Chandrapur,India,20.09N,78.48E
1801-12-01,21.976,3.34,Chandrapur,India,20.09N,78.48E
1802-01-01,22.71,2.158,Chandrapur,India,20.09N,78.48E
1802-02-01,24.82,1.735,Chandrapur,India,20.09N,78.48E
1802-03-01,29.746,2.024,Chandrapur,India,20.09N,78.48E
1802-04-01,33.03,2.065,Chandrapur,India,20.09N,78.48E
1802-05-01,34.181000000000004,2.126,Chandrapur,India,20.09N,78.48E
1802-06-01,33.381,1.8619999999999999,Chandrapur,India,20.09N,78.48E
1802-07-01,28.808000000000003,1.6219999999999999,Chandrapur,India,20.09N,78.48E
1802-08-01,27.341,1.406,Chandrapur,India,20.09N,78.48E
1802-09-01,28.69,1.92,Chandrapur,India,20.09N,78.48E
1802-10-01,26.78,3.136,Chandrapur,India,20.09N,78.48E
1802-11-01,22.964,1.85,Chandrapur,India,20.09N,78.48E
1802-12-01,20.645,1.946,Chandrapur,India,20.09N,78.48E
1803-01-01,20.791,2.03,Chandrapur,India,20.09N,78.48E
1803-02-01,23.483,2.97,Chandrapur,India,20.09N,78.48E
1803-03-01,28.298000000000002,2.142,Chandrapur,India,20.09N,78.48E
1803-04-01,33.279,1.775,Chandrapur,India,20.09N,78.48E
1803-05-01,35.02800000000001,1.795,Chandrapur,India,20.09N,78.48E
1803-06-01,32.638000000000005,1.615,Chandrapur,India,20.09N,78.48E
1803-07-01,28.772,1.3630000000000002,Chandrapur,India,20.09N,78.48E
1803-08-01,28.529,1.7280000000000002,Chandrapur,India,20.09N,78.48E
1803-09-01,28.526000000000003,1.807,Chandrapur,India,20.09N,78.48E
1803-10-01,26.582,2.512,Chandrapur,India,20.09N,78.48E
1803-11-01,23.436999999999998,2.215,Chandrapur,India,20.09N,78.48E
1803-12-01,20.976,2.781,Chandrapur,India,20.09N,78.48E
1804-01-01,22.624000000000002,3.8739999999999997,Chandrapur,India,20.09N,78.48E
1804-02-01,24.449,2.15,Chandrapur,India,20.09N,78.48E
1804-03-01,28.211,3.488,Chandrapur,India,20.09N,78.48E
1804-04-01,34.17,1.8019999999999998,Chandrapur,India,20.09N,78.48E
1804-05-01,35.62900000000001,1.87,Chandrapur,India,20.09N,78.48E
1804-06-01,33.04,1.765,Chandrapur,India,20.09N,78.48E
1804-07-01,29.682,2.231,Chandrapur,India,20.09N,78.48E
1804-08-01,27.528000000000002,1.6440000000000001,Chandrapur,India,20.09N,78.48E
1804-09-01,28.291,3.076,Chandrapur,India,20.09N,78.48E
1804-10-01,26.456,1.817,Chandrapur,India,20.09N,78.48E
1804-11-01,24.298,3.3369999999999997,Chandrapur,India,20.09N,78.48E
1804-12-01,20.607,3.66,Chandrapur,India,20.09N,78.48E
1805-01-01,22.061,1.705,Chandrapur,India,20.09N,78.48E
1805-02-01,24.14,2.314,Chandrapur,India,20.09N,78.48E
1805-03-01,28.76,1.43,Chandrapur,India,20.09N,78.48E
1805-04-01,32.073,2.0,Chandrapur,India,20.09N,78.48E
1805-05-01,35.113,1.4869999999999999,Chandrapur,India,20.09N,78.48E
1805-06-01,32.988,2.627,Chandrapur,India,20.09N,78.48E
1805-07-01,27.87,1.686,Chandrapur,India,20.09N,78.48E
1805-08-01,27.814,1.087,Chandrapur,India,20.09N,78.48E
1805-09-01,27.614,1.955,Chandrapur,India,20.09N,78.48E
1805-10-01,25.206,2.207,Chandrapur,India,20.09N,78.48E
1805-11-01,22.886999999999997,3.1210000000000004,Chandrapur,India,20.09N,78.48E
1805-12-01,21.916999999999998,1.4569999999999999,Chandrapur,India,20.09N,78.48E
1806-01-01,21.938000000000002,1.942,Chandrapur,India,20.09N,78.48E
1806-02-01,23.936,2.441,Chandrapur,India,20.09N,78.48E
1806-03-01,27.837,1.889,Chandrapur,India,20.09N,78.48E
1806-04-01,32.431000000000004,2.9130000000000003,Chandrapur,India,20.09N,78.48E
1806-05-01,34.77800000000001,1.9369999999999998,Chandrapur,India,20.09N,78.48E
1806-06-01,30.95,1.97,Chandrapur,India,20.09N,78.48E
1806-07-01,28.002,1.55,Chandrapur,India,20.09N,78.48E
1806-08-01,27.57,1.6909999999999998,Chandrapur,India,20.09N,78.48E
1806-09-01,28.682,1.9509999999999998,Chandrapur,India,20.09N,78.48E
1806-10-01,26.144000000000002,1.4880000000000002,Chandrapur,India,20.09N,78.48E
1806-11-01,23.35,2.094,Chandrapur,India,20.09N,78.48E
1806-12-01,21.441,2.147,Chandrapur,India,20.09N,78.48E
1807-01-01,21.092,2.537,Chandrapur,India,20.09N,78.48E
1807-02-01,23.49,3.2880000000000003,Chandrapur,India,20.09N,78.48E
1807-03-01,,,Chandrapur,India,20.09N,78.48E
1807-04-01,,,Chandrapur,India,20.09N,78.48E
1807-05-01,32.757000000000005,1.8459999999999999,Chandrapur,India,20.09N,78.48E
1807-06-01,32.65,1.86,Chandrapur,India,20.09N,78.48E
1807-07-01,28.804,2.213,Chandrapur,India,20.09N,78.48E
1807-08-01,27.214000000000002,1.8659999999999999,Chandrapur,India,20.09N,78.48E
1807-09-01,28.1,1.7409999999999999,Chandrapur,India,20.09N,78.48E
1807-10-01,25.74,1.3259999999999998,Chandrapur,India,20.09N,78.48E
1807-11-01,23.020000000000003,2.224,Chandrapur,India,20.09N,78.48E
1807-12-01,22.113000000000003,1.751,Chandrapur,India,20.09N,78.48E
1808-01-01,,,Chandrapur,India,20.09N,78.48E
1808-02-01,,,Chandrapur,India,20.09N,78.48E
1808-03-01,,,Chandrapur,India,20.09N,78.48E
1808-04-01,,,Chandrapur,India,20.09N,78.48E
1808-05-01,,,Chandrapur,India,20.09N,78.48E
1808-06-01,,,Chandrapur,India,20.09N,78.48E
1808-07-01,,,Chandrapur,India,20.09N,78.48E
1808-08-01,,,Chandrapur,India,20.09N,78.48E
1808-09-01,,,Chandrapur,India,20.09N,78.48E
1808-10-01,,,Chandrapur,India,20.09N,78.48E
1808-11-01,,,Chandrapur,India,20.09N,78.48E
1808-12-01,,,Chandrapur,India,20.09N,78.48E
1809-01-01,,,Chandrapur,India,20.09N,78.48E
1809-02-01,,,Chandrapur,India,20.09N,78.48E
1809-03-01,,,Chandrapur,India,20.09N,78.48E
1809-04-01,,,Chandrapur,India,20.09N,78.48E
1809-05-01,,,Chandrapur,India,20.09N,78.48E
1809-06-01,,,Chandrapur,India,20.09N,78.48E
1809-07-01,,,Chandrapur,India,20.09N,78.48E
1809-08-01,,,Chandrapur,India,20.09N,78.48E
1809-09-01,,,Chandrapur,India,20.09N,78.48E
1809-10-01,,,Chandrapur,India,20.09N,78.48E
1809-11-01,,,Chandrapur,India,20.09N,78.48E
1809-12-01,,,Chandrapur,India,20.09N,78.48E
1810-01-01,,,Chandrapur,India,20.09N,78.48E
1810-02-01,,,Chandrapur,India,20.09N,78.48E
1810-03-01,,,Chandrapur,India,20.09N,78.48E
1810-04-01,,,Chandrapur,India,20.09N,78.48E
1810-05-01,,,Chandrapur,India,20.09N,78.48E
1810-06-01,,,Chandrapur,India,20.09N,78.48E
1810-07-01,,,Chandrapur,India,20.09N,78.48E
1810-08-01,,,Chandrapur,India,20.09N,78.48E
1810-09-01,,,Chandrapur,India,20.09N,78.48E
1810-10-01,,,Chandrapur,India,20.09N,78.48E
1810-11-01,,,Chandrapur,India,20.09N,78.48E
1810-12-01,,,Chandrapur,India,20.09N,78.48E
1811-01-01,,,Chandrapur,India,20.09N,78.48E
1811-02-01,,,Chandrapur,India,20.09N,78.48E
1811-03-01,,,Chandrapur,India,20.09N,78.48E
1811-04-01,,,Chandrapur,India,20.09N,78.48E
1811-05-01,,,Chandrapur,India,20.09N,78.48E
1811-06-01,,,Chandrapur,India,20.09N,78.48E
1811-07-01,,,Chandrapur,India,20.09N,78.48E
1811-08-01,,,Chandrapur,India,20.09N,78.48E
1811-09-01,,,Chandrapur,India,20.09N,78.48E
1811-10-01,,,Chandrapur,India,20.09N,78.48E
1811-11-01,,,Chandrapur,India,20.09N,78.48E
1811-12-01,,,Chandrapur,India,20.09N,78.48E
1812-01-01,,,Chandrapur,India,20.09N,78.48E
1812-02-01,,,Chandrapur,India,20.09N,78.48E
1812-03-01,,,Chandrapur,India,20.09N,78.48E
1812-04-01,,,Chandrapur,India,20.09N,78.48E
1812-05-01,,,Chandrapur,India,20.09N,78.48E
1812-06-01,,,Chandrapur,India,20.09N,78.48E
1812-07-01,,,Chandrapur,India,20.09N,78.48E
1812-08-01,,,Chandrapur,India,20.09N,78.48E
1812-09-01,,,Chandrapur,India,20.09N,78.48E
1812-10-01,,,Chandrapur,India,20.09N,78.48E
1812-11-01,,,Chandrapur,India,20.09N,78.48E
1812-12-01,,,Chandrapur,India,20.09N,78.48E
1813-01-01,19.897000000000002,3.3989999999999996,Chandrapur,India,20.09N,78.48E
1813-02-01,23.726,1.482,Chandrapur,India,20.09N,78.48E
1813-03-01,26.651,5.862,Chandrapur,India,20.09N,78.48E
1813-04-01,33.066,1.575,Chandrapur,India,20.09N,78.48E
1813-05-01,35.39100000000001,5.132000000000001,Chandrapur,India,20.09N,78.48E
1813-06-01,31.139,2.622,Chandrapur,India,20.09N,78.48E
1813-07-01,27.686999999999998,1.847,Chandrapur,India,20.09N,78.48E
1813-08-01,25.974,1.228,Chandrapur,India,20.09N,78.48E
1813-09-01,27.261000000000006,1.986,Chandrapur,India,20.09N,78.48E
1813-10-01,25.445,1.361,Chandrapur,India,20.09N,78.48E
1813-11-01,23.428,1.996,Chandrapur,India,20.09N,78.48E
1813-12-01,19.594,1.874,Chandrapur,India,20.09N,78.48E
1814-01-01,20.443,3.217,Chandrapur,India,20.09N,78.48E
1814-02-01,23.576,1.273,Chandrapur,India,20.09N,78.48E
1814-03-01,27.135,1.932,Chandrapur,India,20.09N,78.48E
1814-04-01,31.745,1.641,Chandrapur,India,20.09N,78.48E
1814-05-01,,,Chandrapur,India,20.09N,78.48E
1814-06-01,31.963,2.024,Chandrapur,India,20.09N,78.48E
1814-07-01,26.796,3.14,Chandrapur,India,20.09N,78.48E
1814-08-01,26.123,1.556,Chandrapur,India,20.09N,78.48E
1814-09-01,26.276000000000003,1.314,Chandrapur,India,20.09N,78.48E
1814-10-01,24.841,3.4189999999999996,Chandrapur,India,20.09N,78.48E
1814-11-01,23.428,4.836,Chandrapur,India,20.09N,78.48E
1814-12-01,21.999000000000002,5.3839999999999995,Chandrapur,India,20.09N,78.48E
1815-01-01,20.671,2.716,Chandrapur,India,20.09N,78.48E
1815-02-01,24.2,4.915,Chandrapur,India,20.09N,78.48E
1815-03-01,27.111,3.236,Chandrapur,India,20.09N,78.48E
1815-04-01,32.85,3.45,Chandrapur,India,20.09N,78.48E
1815-05-01,34.429,3.688,Chandrapur,India,20.09N,78.48E
1815-06-01,29.406999999999996,1.85,Chandrapur,India,20.09N,78.48E
1815-07-01,26.889,3.1189999999999998,Chandrapur,India,20.09N,78.48E
1815-08-01,26.309,1.6540000000000001,Chandrapur,India,20.09N,78.48E
1815-09-01,26.871,1.357,Chandrapur,India,20.09N,78.48E
1815-10-01,24.274,2.843,Chandrapur,India,20.09N,78.48E
1815-11-01,21.520000000000003,2.263,Chandrapur,India,20.09N,78.48E
1815-12-01,19.271,2.182,Chandrapur,India,20.09N,78.48E
1816-01-01,21.007,4.823,Chandrapur,India,20.09N,78.48E
1816-02-01,21.351999999999997,2.142,Chandrapur,India,20.09N,78.48E
1816-03-01,27.12,1.7,Chandrapur,India,20.09N,78.48E
1816-04-01,31.296999999999997,3.8480000000000003,Chandrapur,India,20.09N,78.48E
1816-05-01,34.422000000000004,2.16,Chandrapur,India,20.09N,78.48E
1816-06-01,31.229,2.444,Chandrapur,India,20.09N,78.48E
1816-07-01,26.024,1.631,Chandrapur,India,20.09N,78.48E
1816-08-01,25.488000000000003,1.0979999999999999,Chandrapur,India,20.09N,78.48E
1816-09-01,25.648000000000003,1.015,Chandrapur,India,20.09N,78.48E
1816-10-01,23.946,5.644,Chandrapur,India,20.09N,78.48E
1816-11-01,21.885,6.608,Chandrapur,India,20.09N,78.48E
1816-12-01,19.707,1.71,Chandrapur,India,20.09N,78.48E
1817-01-01,20.767,4.633,Chandrapur,India,20.09N,78.48E
1817-02-01,23.581999999999997,2.8710000000000004,Chandrapur,India,20.09N,78.48E
1817-03-01,27.319000000000003,1.7180000000000002,Chandrapur,India,20.09N,78.48E
1817-04-01,31.995,2.051,Chandrapur,India,20.09N,78.48E
1817-05-01,33.33600000000001,2.23,Chandrapur,India,20.09N,78.48E
1817-06-01,30.2,1.8630000000000002,Chandrapur,India,20.09N,78.48E
1817-07-01,26.734,1.905,Chandrapur,India,20.09N,78.48E
1817-08-01,26.371,1.6480000000000001,Chandrapur,India,20.09N,78.48E
1817-09-01,25.18,2.62,Chandrapur,India,20.09N,78.48E
1817-10-01,24.258000000000003,2.59,Chandrapur,India,20.09N,78.48E
1817-11-01,21.854000000000006,2.378,Chandrapur,India,20.09N,78.48E
1817-12-01,19.819000000000003,3.307,Chandrapur,India,20.09N,78.48E
1818-01-01,21.082,3.363,Chandrapur,India,20.09N,78.48E
1818-02-01,23.327,2.114,Chandrapur,India,20.09N,78.48E
1818-03-01,27.686,1.929,Chandrapur,India,20.09N,78.48E
1818-04-01,32.608000000000004,5.436,Chandrapur,India,20.09N,78.48E
1818-05-01,34.961999999999996,3.17,Chandrapur,India,20.09N,78.48E
1818-06-01,31.739,4.078,Chandrapur,India,20.09N,78.48E
1818-07-01,25.938,3.3819999999999997,Chandrapur,India,20.09N,78.48E
1818-08-01,25.039,2.331,Chandrapur,India,20.09N,78.48E
1818-09-01,25.813,1.609,Chandrapur,India,20.09N,78.48E
