999997,0.956,Majalaya,Indonesia,7.23S,107.84E
1875-10-01,24.803,0.924,Majalaya,Indonesia,7.23S,107.84E
1875-11-01,24.393,0.545,Majalaya,Indonesia,7.23S,107.84E
1875-12-01,23.769000000000002,0.9790000000000001,Majalaya,Indonesia,7.23S,107.84E
1876-01-01,23.632,1.056,Majalaya,Indonesia,7.23S,107.84E
1876-02-01,23.947,0.821,Majalaya,Indonesia,7.23S,107.84E
1876-03-01,24.344,1.3230000000000002,Majalaya,Indonesia,7.23S,107.84E
1876-04-01,24.557,1.278,Majalaya,Indonesia,7.23S,107.84E
1876-05-01,24.534000000000002,0.74,Majalaya,Indonesia,7.23S,107.84E
1876-06-01,24.164,1.274,Majalaya,Indonesia,7.23S,107.84E
1876-07-01,23.682,0.993,Majalaya,Indonesia,7.23S,107.84E
1876-08-01,24.05,0.831,Majalaya,Indonesia,7.23S,107.84E
1876-09-01,24.611,1.163,Majalaya,Indonesia,7.23S,107.84E
1876-10-01,24.592,0.6779999999999999,Majalaya,Indonesia,7.23S,107.84E
1876-11-01,24.548,1.271,Majalaya,Indonesia,7.23S,107.84E
1876-12-01,23.906999999999996,1.3030000000000002,Majalaya,Indonesia,7.23S,107.84E
1877-01-01,23.691,1.2590000000000001,Majalaya,Indonesia,7.23S,107.84E
1877-02-01,23.746,1.371,Majalaya,Indonesia,7.23S,107.84E
1877-03-01,24.33,0.743,Majalaya,Indonesia,7.23S,107.84E
1877-04-01,24.491999999999997,1.1909999999999998,Majalaya,Indonesia,7.23S,107.84E
1877-05-01,24.832,0.643,Majalaya,Indonesia,7.23S,107.84E
1877-06-01,24.308000000000003,1.422,Majalaya,Indonesia,7.23S,107.84E
1877-07-01,23.916,0.875,Majalaya,Indonesia,7.23S,107.84E
1877-08-01,23.685,1.246,Majalaya,Indonesia,7.23S,107.84E
1877-09-01,24.72,0.7070000000000001,Majalaya,Indonesia,7.23S,107.84E
1877-10-01,25.224,1.0590000000000002,Majalaya,Indonesia,7.23S,107.84E
1877-11-01,26.025,1.595,Majalaya,Indonesia,7.23S,107.84E
1877-12-01,24.598000000000003,1.733,Majalaya,Indonesia,7.23S,107.84E
1878-01-01,24.819000000000003,1.39,Majalaya,Indonesia,7.23S,107.84E
1878-02-01,25.262,1.075,Majalaya,Indonesia,7.23S,107.84E
1878-03-01,25.430999999999997,0.743,Majalaya,Indonesia,7.23S,107.84E
1878-04-01,25.096,1.02,Majalaya,Indonesia,7.23S,107.84E
1878-05-01,25.034000000000002,0.62,Majalaya,Indonesia,7.23S,107.84E
1878-06-01,24.813000000000002,2.035,Majalaya,Indonesia,7.23S,107.84E
1878-07-01,24.139,1.031,Majalaya,Indonesia,7.23S,107.84E
1878-08-01,24.362,0.8109999999999999,Majalaya,Indonesia,7.23S,107.84E
1878-09-01,25.493000000000002,0.8809999999999999,Majalaya,Indonesia,7.23S,107.84E
1878-10-01,25.884,0.6940000000000001,Majalaya,Indonesia,7.23S,107.84E
1878-11-01,25.15,1.216,Majalaya,Indonesia,7.23S,107.84E
1878-12-01,24.226,1.379,Majalaya,Indonesia,7.23S,107.84E
1879-01-01,23.892,0.77,Majalaya,Indonesia,7.23S,107.84E
1879-02-01,24.152,0.9079999999999999,Majalaya,Indonesia,7.23S,107.84E
1879-03-01,24.179000000000002,0.629,Majalaya,Indonesia,7.23S,107.84E
1879-04-01,24.235,0.795,Majalaya,Indonesia,7.23S,107.84E
1879-05-01,24.103,0.637,Majalaya,Indonesia,7.23S,107.84E
1879-06-01,23.983,0.919,Majalaya,Indonesia,7.23S,107.84E
1879-07-01,23.826,0.9329999999999999,Majalaya,Indonesia,7.23S,107.84E
1879-08-01,23.889000000000006,1.875,Majalaya,Indonesia,7.23S,107.84E
1879-09-01,24.798000000000002,1.2790000000000001,Majalaya,Indonesia,7.23S,107.84E
1879-10-01,24.449,0.867,Majalaya,Indonesia,7.23S,107.84E
1879-11-01,24.414,0.612,Majalaya,Indonesia,7.23S,107.84E
1879-12-01,23.996,0.9790000000000001,Majalaya,Indonesia,7.23S,107.84E
1880-01-01,23.346,0.7040000000000001,Majalaya,Indonesia,7.23S,107.84E
1880-02-01,24.036,0.677,Majalaya,Indonesia,7.23S,107.84E
1880-03-01,24.254,0.591,Majalaya,Indonesia,7.23S,107.84E
1880-04-01,24.021,0.557,Majalaya,Indonesia,7.23S,107.84E
1880-05-01,24.443,0.875,Majalaya,Indonesia,7.23S,107.84E
1880-06-01,23.388,0.9209999999999999,Majalaya,Indonesia,7.23S,107.84E
1880-07-01,23.296,0.816,Majalaya,Indonesia,7.23S,107.84E
1880-08-01,23.929,0.83,Majalaya,Indonesia,7.23S,107.84E
1880-09-01,24.502,1.125,Majalaya,Indonesia,7.23S,107.84E
1880-10-01,24.463,0.75,Majalaya,Indonesia,7.23S,107.84E
1880-11-01,24.308000000000003,1.94,Majalaya,Indonesia,7.23S,107.84E
1880-12-01,23.514,0.851,Majalaya,Indonesia,7.23S,107.84E
1881-01-01,23.739,1.0859999999999999,Majalaya,Indonesia,7.23S,107.84E
1881-02-01,23.946,0.982,Majalaya,Indonesia,7.23S,107.84E
1881-03-01,24.906999999999996,1.8319999999999999,Majalaya,Indonesia,7.23S,107.84E
1881-04-01,24.603,0.752,Majalaya,Indonesia,7.23S,107.84E
1881-05-01,24.947,0.5720000000000001,Majalaya,Indonesia,7.23S,107.84E
1881-06-01,24.243000000000002,0.846,Majalaya,Indonesia,7.23S,107.84E
1881-07-01,24.167,1.015,Majalaya,Indonesia,7.23S,107.84E
1881-08-01,24.398000000000003,1.124,Majalaya,Indonesia,7.23S,107.84E
1881-09-01,24.662,0.6,Majalaya,Indonesia,7.23S,107.84E
1881-10-01,25.006,0.718,Majalaya,Indonesia,7.23S,107.84E
1881-11-01,24.566999999999997,0.639,Majalaya,Indonesia,7.23S,107.84E
1881-12-01,24.539,0.8290000000000001,Majalaya,Indonesia,7.23S,107.84E
1882-01-01,24.206,1.028,Majalaya,Indonesia,7.23S,107.84E
1882-02-01,24.421,0.735,Majalaya,Indonesia,7.23S,107.84E
1882-03-01,23.906,0.956,Majalaya,Indonesia,7.23S,107.84E
1882-04-01,24.168000000000003,0.5760000000000001,Majalaya,Indonesia,7.23S,107.84E
1882-05-01,24.124000000000002,0.649,Majalaya,Indonesia,7.23S,107.84E
1882-06-01,23.806,0.833,Majalaya,Indonesia,7.23S,107.84E
1882-07-01,23.525,0.58,Majalaya,Indonesia,7.23S,107.84E
1882-08-01,23.896,0.705,Majalaya,Indonesia,7.23S,107.84E
1882-09-01,24.554000000000002,0.498,Majalaya,Indonesia,7.23S,107.84E
1882-10-01,24.276999999999997,0.43200000000000005,Majalaya,Indonesia,7.23S,107.84E
1882-11-01,24.324,0.887,Majalaya,Indonesia,7.23S,107.84E
1882-12-01,24.176,0.6890000000000001,Majalaya,Indonesia,7.23S,107.84E
1883-01-01,24.316999999999997,0.838,Majalaya,Indonesia,7.23S,107.84E
1883-02-01,23.637,1.186,Majalaya,Indonesia,7.23S,107.84E
1883-03-01,24.759,0.887,Majalaya,Indonesia,7.23S,107.84E
1883-04-01,24.101999999999997,0.5660000000000001,Majalaya,Indonesia,7.23S,107.84E
1883-05-01,24.367,0.606,Majalaya,Indonesia,7.23S,107.84E
1883-06-01,24.747,0.465,Majalaya,Indonesia,7.23S,107.84E
1883-07-01,24.241999999999997,0.636,Majalaya,Indonesia,7.23S,107.84E
1883-08-01,23.982000000000006,0.521,Majalaya,Indonesia,7.23S,107.84E
1883-09-01,24.781999999999996,0.55,Majalaya,Indonesia,7.23S,107.84E
1883-10-01,24.575,0.682,Majalaya,Indonesia,7.23S,107.84E
1883-11-01,24.322,0.654,Majalaya,Indonesia,7.23S,107.84E
1883-12-01,23.666,0.737,Majalaya,Indonesia,7.23S,107.84E
1884-01-01,23.702,0.589,Majalaya,Indonesia,7.23S,107.84E
1884-02-01,23.944000000000003,0.674,Majalaya,Indonesia,7.23S,107.84E
1884-03-01,23.884,0.884,Majalaya,Indonesia,7.23S,107.84E
1884-04-01,23.934,0.8340000000000001,Majalaya,Indonesia,7.23S,107.84E
1884-05-01,24.093000000000004,0.527,Majalaya,Indonesia,7.23S,107.84E
1884-06-01,24.086,0.625,Majalaya,Indonesia,7.23S,107.84E
1884-07-01,23.144000000000002,0.6459999999999999,Majalaya,Indonesia,7.23S,107.84E
1884-08-01,23.994,1.113,Majalaya,Indonesia,7.23S,107.84E
1884-09-01,24.604,0.511,Majalaya,Indonesia,7.23S,107.84E
1884-10-01,24.893,0.649,Majalaya,Indonesia,7.23S,107.84E
1884-11-01,24.44,0.787,Majalaya,Indonesia,7.23S,107.84E
1884-12-01,23.68,0.882,Majalaya,Indonesia,7.23S,107.84E
1885-01-01,23.268,0.9259999999999999,Majalaya,Indonesia,7.23S,107.84E
1885-02-01,23.55,0.742,Majalaya,Indonesia,7.23S,107.84E
1885-03-01,23.991999999999997,0.8079999999999999,Majalaya,Indonesia,7.23S,107.84E
1885-04-01,24.424,0.626,Majalaya,Indonesia,7.23S,107.84E
1885-05-01,24.377,0.621,Majalaya,Indonesia,7.23S,107.84E
1885-06-01,24.13,0.496,Majalaya,Indonesia,7.23S,107.84E
1885-07-01,23.878,0.73,Majalaya,Indonesia,7.23S,107.84E
1885-08-01,24.230999999999998,0.6940000000000001,Majalaya,Indonesia,7.23S,107.84E
1885-09-01,24.599,0.8340000000000001,Majalaya,Indonesia,7.23S,107.84E
1885-10-01,25.831999999999997,0.9129999999999999,Majalaya,Indonesia,7.23S,107.84E
1885-11-01,24.651,0.823,Majalaya,Indonesia,7.23S,107.84E
1885-12-01,24.054000000000002,1.099,Majalaya,Indonesia,7.23S,107.84E
1886-01-01,24.211,0.7290000000000001,Majalaya,Indonesia,7.23S,107.84E
1886-02-01,23.826,0.897,Majalaya,Indonesia,7.23S,107.84E
1886-03-01,24.229,0.51,Majalaya,Indonesia,7.23S,107.84E
1886-04-01,24.276999999999997,0.547,Majalaya,Indonesia,7.23S,107.84E
1886-05-01,24.748,0.7070000000000001,Majalaya,Indonesia,7.23S,107.84E
1886-06-01,24.305,0.635,Majalaya,Indonesia,7.23S,107.84E
1886-07-01,24.005,0.588,Majalaya,Indonesia,7.23S,107.84E
1886-08-01,24.270000000000003,0.525,Majalaya,Indonesia,7.23S,107.84E
