4,4.599,Baranagar,India,23.31N,88.25E
1827-08-01,28.562,1.304,Baranagar,India,23.31N,88.25E
1827-09-01,27.499000000000002,1.157,Baranagar,India,23.31N,88.25E
1827-10-01,26.117,1.3980000000000001,Baranagar,India,23.31N,88.25E
1827-11-01,23.734,1.494,Baranagar,India,23.31N,88.25E
1827-12-01,18.906,2.9560000000000004,Baranagar,India,23.31N,88.25E
1828-01-01,17.51,2.665,Baranagar,India,23.31N,88.25E
1828-02-01,20.947,2.2569999999999997,Baranagar,India,23.31N,88.25E
1828-03-01,26.73,2.263,Baranagar,India,23.31N,88.25E
1828-04-01,29.573,2.217,Baranagar,India,23.31N,88.25E
1828-05-01,30.54,2.332,Baranagar,India,23.31N,88.25E
1828-06-01,30.616999999999997,2.16,Baranagar,India,23.31N,88.25E
1828-07-01,29.24,1.4069999999999998,Baranagar,India,23.31N,88.25E
1828-08-01,28.524,1.5830000000000002,Baranagar,India,23.31N,88.25E
1828-09-01,26.704,1.156,Baranagar,India,23.31N,88.25E
1828-10-01,26.279,1.5730000000000002,Baranagar,India,23.31N,88.25E
1828-11-01,23.529,1.7,Baranagar,India,23.31N,88.25E
1828-12-01,19.355,2.191,Baranagar,India,23.31N,88.25E
1829-01-01,18.412000000000006,1.8459999999999999,Baranagar,India,23.31N,88.25E
1829-02-01,20.481,2.5839999999999996,Baranagar,India,23.31N,88.25E
1829-03-01,26.313,1.867,Baranagar,India,23.31N,88.25E
1829-04-01,29.226999999999997,1.78,Baranagar,India,23.31N,88.25E
1829-05-01,30.748,2.911,Baranagar,India,23.31N,88.25E
1829-06-01,29.63,2.115,Baranagar,India,23.31N,88.25E
1829-07-01,28.856,1.4469999999999998,Baranagar,India,23.31N,88.25E
1829-08-01,28.376,1.413,Baranagar,India,23.31N,88.25E
1829-09-01,27.375,1.496,Baranagar,India,23.31N,88.25E
1829-10-01,26.572,1.8459999999999999,Baranagar,India,23.31N,88.25E
1829-11-01,22.504,2.467,Baranagar,India,23.31N,88.25E
1829-12-01,18.817,3.4610000000000003,Baranagar,India,23.31N,88.25E
1830-01-01,18.707,2.508,Baranagar,India,23.31N,88.25E
1830-02-01,22.204,1.829,Baranagar,India,23.31N,88.25E
1830-03-01,25.965000000000003,1.797,Baranagar,India,23.31N,88.25E
1830-04-01,29.822,1.8730000000000002,Baranagar,India,23.31N,88.25E
1830-05-01,29.02,1.929,Baranagar,India,23.31N,88.25E
1830-06-01,29.513,2.36,Baranagar,India,23.31N,88.25E
1830-07-01,29.469,1.661,Baranagar,India,23.31N,88.25E
1830-08-01,28.256,1.669,Baranagar,India,23.31N,88.25E
1830-09-01,27.292,1.821,Baranagar,India,23.31N,88.25E
1830-10-01,25.975,2.455,Baranagar,India,23.31N,88.25E
1830-11-01,24.453000000000003,1.896,Baranagar,India,23.31N,88.25E
1830-12-01,20.176,1.969,Baranagar,India,23.31N,88.25E
1831-01-01,18.201,2.292,Baranagar,India,23.31N,88.25E
1831-02-01,21.346,3.728,Baranagar,India,23.31N,88.25E
1831-03-01,26.405,2.9810000000000003,Baranagar,India,23.31N,88.25E
1831-04-01,28.929000000000002,1.709,Baranagar,India,23.31N,88.25E
1831-05-01,30.733,2.496,Baranagar,India,23.31N,88.25E
1831-06-01,30.049,2.115,Baranagar,India,23.31N,88.25E
1831-07-01,28.294,1.474,Baranagar,India,23.31N,88.25E
1831-08-01,27.641,1.446,Baranagar,India,23.31N,88.25E
1831-09-01,26.803,1.367,Baranagar,India,23.31N,88.25E
1831-10-01,25.626,1.6019999999999999,Baranagar,India,23.31N,88.25E
1831-11-01,21.963,3.845,Baranagar,India,23.31N,88.25E
1831-12-01,18.427,3.0639999999999996,Baranagar,India,23.31N,88.25E
1832-01-01,17.773000000000003,1.989,Baranagar,India,23.31N,88.25E
1832-02-01,20.529,2.195,Baranagar,India,23.31N,88.25E
1832-03-01,26.44,2.052,Baranagar,India,23.31N,88.25E
1832-04-01,29.761999999999997,2.944,Baranagar,India,23.31N,88.25E
1832-05-01,30.693,2.283,Baranagar,India,23.31N,88.25E
1832-06-01,,,Baranagar,India,23.31N,88.25E
1832-07-01,29.01,2.019,Baranagar,India,23.31N,88.25E
1832-08-01,27.925,1.952,Baranagar,India,23.31N,88.25E
1832-09-01,27.008000000000003,1.8719999999999999,Baranagar,India,23.31N,88.25E
1832-10-01,25.987,2.0340000000000003,Baranagar,India,23.31N,88.25E
1832-11-01,22.143,1.485,Baranagar,India,23.31N,88.25E
1832-12-01,,,Baranagar,India,23.31N,88.25E
1833-01-01,18.799000000000003,2.694,Baranagar,India,23.31N,88.25E
1833-02-01,21.794,1.538,Baranagar,India,23.31N,88.25E
1833-03-01,26.779,3.281,Baranagar,India,23.31N,88.25E
1833-04-01,28.903000000000002,1.531,Baranagar,India,23.31N,88.25E
1833-05-01,29.226999999999997,1.7480000000000002,Baranagar,India,23.31N,88.25E
1833-06-01,30.691,2.895,Baranagar,India,23.31N,88.25E
1833-07-01,28.845,1.2770000000000001,Baranagar,India,23.31N,88.25E
1833-08-01,28.025,1.909,Baranagar,India,23.31N,88.25E
1833-09-01,27.962,1.4480000000000002,Baranagar,India,23.31N,88.25E
1833-10-01,26.046,1.8030000000000002,Baranagar,India,23.31N,88.25E
1833-11-01,23.173,1.493,Baranagar,India,23.31N,88.25E
1833-12-01,19.192,2.591,Baranagar,India,23.31N,88.25E
1834-01-01,17.519000000000002,1.962,Baranagar,India,23.31N,88.25E
1834-02-01,21.595,2.133,Baranagar,India,23.31N,88.25E
1834-03-01,26.361,2.394,Baranagar,India,23.31N,88.25E
1834-04-01,28.968000000000004,2.184,Baranagar,India,23.31N,88.25E
1834-05-01,31.075,1.255,Baranagar,India,23.31N,88.25E
1834-06-01,28.933000000000003,2.3209999999999997,Baranagar,India,23.31N,88.25E
1834-07-01,28.866,1.598,Baranagar,India,23.31N,88.25E
1834-08-01,28.097,1.0070000000000001,Baranagar,India,23.31N,88.25E
1834-09-01,27.666,1.939,Baranagar,India,23.31N,88.25E
1834-10-01,25.206,1.964,Baranagar,India,23.31N,88.25E
1834-11-01,22.588,2.4130000000000003,Baranagar,India,23.31N,88.25E
1834-12-01,19.684,1.232,Baranagar,India,23.31N,88.25E
1835-01-01,18.108,2.8569999999999998,Baranagar,India,23.31N,88.25E
1835-02-01,21.397,2.27,Baranagar,India,23.31N,88.25E
1835-03-01,24.846999999999998,1.139,Baranagar,India,23.31N,88.25E
1835-04-01,28.044,2.376,Baranagar,India,23.31N,88.25E
