03,0.321,Brunswick,Germany,52.24N,10.51E
1941-02-01,-0.39899999999999997,0.22899999999999998,Brunswick,Germany,52.24N,10.51E
1941-03-01,3.1060000000000003,0.301,Brunswick,Germany,52.24N,10.51E
1941-04-01,5.362,0.29,Brunswick,Germany,52.24N,10.51E
1941-05-01,9.512,0.282,Brunswick,Germany,52.24N,10.51E
1941-06-01,16.452,0.37200000000000005,Brunswick,Germany,52.24N,10.51E
1941-07-01,18.915,0.218,Brunswick,Germany,52.24N,10.51E
1941-08-01,15.25,0.28800000000000003,Brunswick,Germany,52.24N,10.51E
1941-09-01,12.761,0.258,Brunswick,Germany,52.24N,10.51E
1941-10-01,8.252,0.278,Brunswick,Germany,52.24N,10.51E
1941-11-01,2.3880000000000003,0.23600000000000002,Brunswick,Germany,52.24N,10.51E
1941-12-01,2.339,0.22399999999999998,Brunswick,Germany,52.24N,10.51E
1942-01-01,-7.837999999999999,0.371,Brunswick,Germany,52.24N,10.51E
1942-02-01,-5.5939999999999985,0.185,Brunswick,Germany,52.24N,10.51E
1942-03-01,0.3740000000000001,0.289,Brunswick,Germany,52.24N,10.51E
1942-04-01,7.276999999999999,0.406,Brunswick,Germany,52.24N,10.51E
1942-05-01,12.044,0.28300000000000003,Brunswick,Germany,52.24N,10.51E
1942-06-01,13.793,0.245,Brunswick,Germany,52.24N,10.51E
1942-07-01,15.887,0.307,Brunswick,Germany,52.24N,10.51E
1942-08-01,18.464000000000002,0.36200000000000004,Brunswick,Germany,52.24N,10.51E
1942-09-01,15.415999999999999,0.289,Brunswick,Germany,52.24N,10.51E
1942-10-01,11.105,0.204,Brunswick,Germany,52.24N,10.51E
1942-11-01,4.269,0.271,Brunswick,Germany,52.24N,10.51E
1942-12-01,3.0639999999999996,0.26899999999999996,Brunswick,Germany,52.24N,10.51E
1943-01-01,0.085,0.409,Brunswick,Germany,52.24N,10.51E
1943-02-01,3.622,0.46799999999999997,Brunswick,Germany,52.24N,10.51E
1943-03-01,5.82,0.341,Brunswick,Germany,52.24N,10.51E
1943-04-01,9.512,0.28300000000000003,Brunswick,Germany,52.24N,10.51E
1943-05-01,12.536,0.355,Brunswick,Germany,52.24N,10.51E
1943-06-01,14.748,0.272,Brunswick,Germany,52.24N,10.51E
1943-07-01,17.919,0.379,Brunswick,Germany,52.24N,10.51E
1943-08-01,18.483,0.462,Brunswick,Germany,52.24N,10.51E
1943-09-01,14.128,0.49700000000000005,Brunswick,Germany,52.24N,10.51E
1943-10-01,9.958,0.409,Brunswick,Germany,52.24N,10.51E
1943-11-01,3.2030000000000003,0.249,Brunswick,Germany,52.24N,10.51E
1943-12-01,0.6099999999999999,0.196,Brunswick,Germany,52.24N,10.51E
1944-01-01,3.824,0.29,Brunswick,Germany,52.24N,10.51E
1944-02-01,-0.07499999999999996,0.185,Brunswick,Germany,52.24N,10.51E
1944-03-01,1.6119999999999999,0.248,Brunswick,Germany,52.24N,10.51E
1944-04-01,8.564,0.22699999999999998,Brunswick,Germany,52.24N,10.51E
1944-05-01,11.563,0.261,Brunswick,Germany,52.24N,10.51E
1944-06-01,14.384,0.18,Brunswick,Germany,52.24N,10.51E
1944-07-01,17.903,0.223,Brunswick,Germany,52.24N,10.51E
1944-08-01,20.136,0.42700000000000005,Brunswick,Germany,52.24N,10.51E
1944-09-01,13.564,0.415,Brunswick,Germany,52.24N,10.51E
1944-10-01,9.041,0.218,Brunswick,Germany,52.24N,10.51E
1944-11-01,4.926,0.251,Brunswick,Germany,52.24N,10.51E
1944-12-01,0.31499999999999995,0.247,Brunswick,Germany,52.24N,10.51E
1945-01-01,-3.2889999999999997,0.426,Brunswick,Germany,52.24N,10.51E
1945-02-01,4.238,0.299,Brunswick,Germany,52.24N,10.51E
1945-03-01,6.4350000000000005,0.166,Brunswick,Germany,52.24N,10.51E
1945-04-01,8.67,0.183,Brunswick,Germany,52.24N,10.51E
1945-05-01,13.602,0.35200000000000004,Brunswick,Germany,52.24N,10.51E
1945-06-01,16.317999999999998,0.259,Brunswick,Germany,52.24N,10.51E
1945-07-01,17.919,0.281,Brunswick,Germany,52.24N,10.51E
1945-08-01,16.631999999999998,0.267,Brunswick,Germany,52.24N,10.51E
1945-09-01,14.065,0.22399999999999998,Brunswick,Germany,52.24N,10.51E
1945-10-01,10.184,0.153,Brunswick,Germany,52.24N,10.51E
1945-11-01,4.215,0.128,Brunswick,Germany,52.24N,10.51E
1945-12-01,1.909,0.299,Brunswick,Germany,52.24N,10.51E
1946-01-01,-1.159,0.28,Brunswick,Germany,52.24N,10.51E
1946-02-01,2.728,0.261,Brunswick,Germany,52.24N,10.51E
1946-03-01,3.4139999999999997,0.174,Brunswick,Germany,52.24N,10.51E
1946-04-01,9.977,0.16699999999999998,Brunswick,Germany,52.24N,10.51E
1946-05-01,14.014000000000001,0.289,Brunswick,Germany,52.24N,10.51E
1946-06-01,14.927999999999999,0.182,Brunswick,Germany,52.24N,10.51E
1946-07-01,18.679000000000002,0.271,Brunswick,Germany,52.24N,10.51E
1946-08-01,16.64,0.305,Brunswick,Germany,52.24N,10.51E
