9999999999998,0.318,Ulyanovsk,Russia,53.84N,47.73E
2013-03-01,-6.7620000000000005,0.816,Ulyanovsk,Russia,53.84N,47.73E
2013-04-01,6.598000000000001,0.708,Ulyanovsk,Russia,53.84N,47.73E
2013-05-01,16.221,0.449,Ulyanovsk,Russia,53.84N,47.73E
2013-06-01,19.498,0.682,Ulyanovsk,Russia,53.84N,47.73E
2013-07-01,19.887,0.309,Ulyanovsk,Russia,53.84N,47.73E
2013-08-01,19.014000000000006,0.415,Ulyanovsk,Russia,53.84N,47.73E
2013-09-01,,,Ulyanovsk,Russia,53.84N,47.73E
1859-01-01,22.286,2.1180000000000003,Umm Durman,Sudan,15.27N,32.50E
1859-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1859-03-01,,,Umm Durman,Sudan,15.27N,32.50E
1859-04-01,31.375,1.6840000000000002,Umm Durman,Sudan,15.27N,32.50E
1859-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1859-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1859-07-01,30.534,1.6480000000000001,Umm Durman,Sudan,15.27N,32.50E
1859-08-01,29.383000000000003,1.62,Umm Durman,Sudan,15.27N,32.50E
1859-09-01,30.183000000000003,1.454,Umm Durman,Sudan,15.27N,32.50E
1859-10-01,30.622,1.4480000000000002,Umm Durman,Sudan,15.27N,32.50E
1859-11-01,27.430999999999997,1.775,Umm Durman,Sudan,15.27N,32.50E
1859-12-01,23.39,2.07,Umm Durman,Sudan,15.27N,32.50E
1860-01-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-02-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-03-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-04-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-05-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-06-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-07-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-08-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-09-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-10-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-11-01,,,Umm Durman,Sudan,15.27N,32.50E
1860-12-01,,,Umm Durman,Sudan,15.27N,32.50E
1861-01-01,20.76,2.189,Umm Durman,Sudan,15.27N,32.50E
1861-02-01,23.188,2.128,Umm Durman,Sudan,15.27N,32.50E
1861-03-01,26.599,1.865,Umm Durman,Sudan,15.27N,32.50E
1861-04-01,30.432,1.806,Umm Durman,Sudan,15.27N,32.50E
