1,0.515,Jind,India,29.74N,75.69E
1987-11-01,20.178,0.185,Jind,India,29.74N,75.69E
1987-12-01,14.821,0.514,Jind,India,29.74N,75.69E
1988-01-01,14.665,0.293,Jind,India,29.74N,75.69E
1988-02-01,17.783,0.299,Jind,India,29.74N,75.69E
1988-03-01,22.011,0.5489999999999999,Jind,India,29.74N,75.69E
1988-04-01,29.733,0.52,Jind,India,29.74N,75.69E
1988-05-01,35.43499999999999,0.5429999999999999,Jind,India,29.74N,75.69E
1988-06-01,34.669000000000004,0.583,Jind,India,29.74N,75.69E
1988-07-01,31.331999999999997,0.385,Jind,India,29.74N,75.69E
1988-08-01,30.465,0.23,Jind,India,29.74N,75.69E
1988-09-01,30.013,0.34,Jind,India,29.74N,75.69E
1988-10-01,25.588,0.308,Jind,India,29.74N,75.69E
1988-11-01,19.98,0.442,Jind,India,29.74N,75.69E
1988-12-01,15.146,0.294,Jind,India,29.74N,75.69E
1989-01-01,12.42,0.228,Jind,India,29.74N,75.69E
1989-02-01,15.669000000000002,0.337,Jind,India,29.74N,75.69E
1989-03-01,21.405,0.316,Jind,India,29.74N,75.69E
1989-04-01,26.969,0.44,Jind,India,29.74N,75.69E
1989-05-01,33.393,0.753,Jind,India,29.74N,75.69E
1989-06-01,33.59200000000001,0.606,Jind,India,29.74N,75.69E
1989-07-01,32.239000000000004,0.345,Jind,India,29.74N,75.69E
1989-08-01,30.401,0.419,Jind,India,29.74N,75.69E
1989-09-01,29.788,0.35700000000000004,Jind,India,29.74N,75.69E
1989-10-01,25.825,0.431,Jind,India,29.74N,75.69E
1989-11-01,19.937,0.368,Jind,India,29.74N,75.69E
1989-12-01,14.159,0.49,Jind,India,29.74N,75.69E
1990-01-01,15.011,0.503,Jind,India,29.74N,75.69E
1990-02-01,16.221,0.20600000000000002,Jind,India,29.74N,75.69E
1990-03-01,20.138,0.45799999999999996,Jind,India,29.74N,75.69E
1990-04-01,27.929,0.299,Jind,India,29.74N,75.69E
1990-05-01,33.455,0.638,Jind,India,29.74N,75.69E
1990-06-01,34.95800000000001,0.203,Jind,India,29.74N,75.69E
1990-07-01,31.035999999999998,0.336,Jind,India,29.74N,75.69E
1990-08-01,30.642000000000003,0.298,Jind,India,29.74N,75.69E
1990-09-01,29.561,0.429,Jind,India,29.74N,75.69E
1990-10-01,24.787,0.509,Jind,India,29.74N,75.69E
1990-11-01,20.095,0.47700000000000004,Jind,India,29.74N,75.69E
1990-12-01,14.666,0.28800000000000003,Jind,India,29.74N,75.69E
1991-01-01,13.01,0.24,Jind,India,29.74N,75.69E
1991-02-01,16.283,0.615,Jind,India,29.74N,75.69E
1991-03-01,21.423000000000002,0.835,Jind,India,29.74N,75.69E
1991-04-01,26.601,0.222,Jind,India,29.74N,75.69E
1991-05-01,32.84,0.57,Jind,India,29.74N,75.69E
