,23.428,1.442,Udupi,India,13.66N,75.14E
1862-08-01,,,Udupi,India,13.66N,75.14E
1862-09-01,,,Udupi,India,13.66N,75.14E
1862-10-01,,,Udupi,India,13.66N,75.14E
1862-11-01,,,Udupi,India,13.66N,75.14E
1862-12-01,,,Udupi,India,13.66N,75.14E
1863-01-01,,,Udupi,India,13.66N,75.14E
1863-02-01,,,Udupi,India,13.66N,75.14E
1863-03-01,,,Udupi,India,13.66N,75.14E
1863-04-01,,,Udupi,India,13.66N,75.14E
1863-05-01,,,Udupi,India,13.66N,75.14E
1863-06-01,,,Udupi,India,13.66N,75.14E
1863-07-01,,,Udupi,India,13.66N,75.14E
1863-08-01,,,Udupi,India,13.66N,75.14E
1863-09-01,,,Udupi,India,13.66N,75.14E
1863-10-01,,,Udupi,India,13.66N,75.14E
1863-11-01,,,Udupi,India,13.66N,75.14E
1863-12-01,,,Udupi,India,13.66N,75.14E
1864-01-01,,,Udupi,India,13.66N,75.14E
1864-02-01,,,Udupi,India,13.66N,75.14E
1864-03-01,,,Udupi,India,13.66N,75.14E
1864-04-01,,,Udupi,India,13.66N,75.14E
1864-05-01,,,Udupi,India,13.66N,75.14E
1864-06-01,,,Udupi,India,13.66N,75.14E
1864-07-01,,,Udupi,India,13.66N,75.14E
1864-08-01,,,Udupi,India,13.66N,75.14E
1864-09-01,,,Udupi,India,13.66N,75.14E
1864-10-01,,,Udupi,India,13.66N,75.14E
1864-11-01,,,Udupi,India,13.66N,75.14E
1864-12-01,,,Udupi,India,13.66N,75.14E
1865-01-01,25.002,1.234,Udupi,India,13.66N,75.14E
1865-02-01,25.989,2.989,Udupi,India,13.66N,75.14E
1865-03-01,27.173,1.485,Udupi,India,13.66N,75.14E
1865-04-01,28.269000000000002,1.66,Udupi,India,13.66N,75.14E
1865-05-01,27.176,2.0340000000000003,Udupi,India,13.66N,75.14E
1865-06-01,25.751,1.1840000000000002,Udupi,India,13.66N,75.14E
1865-07-01,23.695,1.123,Udupi,India,13.66N,75.14E
1865-08-01,23.857,1.239,Udupi,India,13.66N,75.14E
1865-09-01,24.788,0.981,Udupi,India,13.66N,75.14E
1865-10-01,24.54,1.093,Udupi,India,13.66N,75.14E
1865-11-01,24.959,1.212,Udupi,India,13.66N,75.14E
1865-12-01,24.098000000000006,1.41,Udupi,India,13.66N,75.14E
1866-01-01,24.509,1.47,Udupi,India,13.66N,75.14E
1866-02-01,25.249,1.524,Udupi,India,13.66N,75.14E
1866-03-01,27.623,1.199,Udupi,India,13.66N,75.14E
1866-04-01,28.945,1.347,Udupi,India,13.66N,75.14E
1866-05-01,28.215,1.374,Udupi,India,13.66N,75.14E
1866-06-01,25.259,1.1079999999999999,Udupi,India,13.66N,75.14E
1866-07-01,23.656,1.518,Udupi,India,13.66N,75.14E
1866-08-01,23.41,1.308,Udupi,India,13.66N,75.14E
1866-09-01,24.261,1.413,Udupi,India,13.66N,75.14E
1866-10-01,24.268,1.0659999999999998,Udupi,India,13.66N,75.14E
1866-11-01,24.439,1.192,Udupi,India,13.66N,75.14E
1866-12-01,24.941999999999997,1.5219999999999998,Udupi,India,13.66N,75.14E
1867-01-01,24.74,1.321,Udupi,India,13.66N,75.14E
1867-02-01,25.384,1.129,Udupi,India,13.66N,75.14E
1867-03-01,27.648000000000003,1.435,Udupi,India,13.66N,75.14E
1867-04-01,28.664,1.304,Udupi,India,13.66N,75.14E
1867-05-01,27.42,1.415,Udupi,India,13.66N,75.14E
1867-06-01,25.323,1.14,Udupi,India,13.66N,75.14E
1867-07-01,23.51,1.112,Udupi,India,13.66N,75.14E
1867-08-01,23.607,1.286,Udupi,India,13.66N,75.14E
1867-09-01,24.164,1.028,Udupi,India,13.66N,75.14E
1867-10-01,24.538,0.968,Udupi,India,13.66N,75.14E
1867-11-01,25.024,1.7409999999999999,Udupi,India,13.66N,75.14E
1867-12-01,24.9,1.339,Udupi,India,13.66N,75.14E
1868-01-01,24.449,1.874,Udupi,India,13.66N,75.14E
1868-02-01,25.587,1.696,Udupi,India,13.66N,75.14E
1868-03-01,27.905,1.805,Udupi,India,13.66N,75.14E
1868-04-01,28.873,1.6640000000000001,Udupi,India,13.66N,75.14E
1868-05-01,28.179,1.4509999999999998,Udupi,India,13.66N,75.14E
1868-06-01,25.175,1.112,Udupi,India,13.66N,75.14E
1868-07-01,23.457,1.1740000000000002,Udupi,India,13.66N,75.14E
1868-08-01,23.917,1.125,Udupi,India,13.66N,75.14E
1868-09-01,24.386,1.062,Udupi,India,13.66N,75.14E
1868-10-01,25.024,1.033,Udupi,India,13.66N,75.14E
1868-11-01,24.575,1.615,Udupi,India,13.66N,75.14E
1868-12-01,24.244000000000003,1.185,Udupi,India,13.66N,75.14E
1869-01-01,24.204,1.4769999999999999,Udupi,India,13.66N,75.14E
1869-02-01,26.294,1.255,Udupi,India,13.66N,75.14E
1869-03-01,28.017,1.3230000000000002,Udupi,India,13.66N,75.14E
1869-04-01,29.315,1.6440000000000001,Udupi,India,13.66N,75.14E
1869-05-01,27.612,1.558,Udupi,India,13.66N,75.14E
1869-06-01,25.33,1.315,Udupi,India,13.66N,75.14E
1869-07-01,23.706,1.109,Udupi,India,13.66N,75.14E
1869-08-01,23.578000000000003,1.694,Udupi,India,13.66N,75.14E
1869-09-01,24.338,1.122,Udupi,India,13.66N,75.14E
1869-10-01,24.417,1.102,Udupi,India,13.66N,75.14E
1869-11-01,24.268,1.038,Udupi,India,13.66N,75.14E
1869-12-01,23.701,1.5430000000000001,Udupi,India,13.66N,75.14E
1870-01-01,24.143,1.227,Udupi,India,13.66N,75.14E
1870-02-01,24.826999999999998,1.319,Udupi,India,13.66N,75.14E
1870-03-01,27.529,1.189,Udupi,India,13.66N,75.14E
1870-04-01,28.661,1.525,Udupi,India,13.66N,75.14E
1870-05-01,27.813,1.237,Udupi,India,13.66N,75.14E
1870-06-01,24.958000000000002,1.178,Udupi,India,13.66N,75.14E
1870-07-01,22.973000000000003,0.998,Udupi,India,13.66N,75.14E
1870-08-01,22.751,1.05,Udupi,India,13.66N,75.14E
1870-09-01,23.686999999999998,0.91,Udupi,India,13.66N,75.14E
1870-10-01,23.988000000000003,1.138,Udupi,India,13.66N,75.14E
1870-11-01,24.172,1.5390000000000001,Udupi,India,13.66N,75.14E
1870-12-01,23.554,1.18,Udupi,India,13.66N,75.14E
1871-01-01,23.579,1.469,Udupi,India,13.66N,75.14E
1871-02-01,24.802,1.659,Udupi,India,13.66N,75.14E
1871-03-01,27.76,1.695,Udupi,India,13.66N,75.14E
1871-04-01,28.665,1.217,Udupi,India,13.66N,75.14E
1871-05-01,26.9,1.196,Udupi,India,13.66N,75.14E
1871-06-01,24.718000000000004,1.02,Udupi,India,13.66N,75.14E
1871-07-01,23.02,0.92,Udupi,India,13.66N,75.14E
1871-08-01,23.508000000000003,0.845,Udupi,India,13.66N,75.14E
1871-09-01,23.916999999999998,0.82,Udupi,India,13.66N,75.14E
1871-10-01,24.471,0.902,Udupi,India,13.66N,75.14E
1871-11-01,24.099,1.112,Udupi,India,13.66N,75.14E
1871-12-01,23.803,1.129,Udupi,India,13.66N,75.14E
1872-01-01,23.855999999999998,1.6969999999999998,Udupi,India,13.66N,75.14E
1872-02-01,25.201,1.3419999999999999,Udupi,India,13.66N,75.14E
1872-03-01,27.893,1.067,Udupi,India,13.66N,75.14E
1872-04-01,28.549,1.474,Udupi,India,13.66N,75.14E
1872-05-01,27.443,1.051,Udupi,India,13.66N,75.14E
1872-06-01,24.658,1.1159999999999999,Udupi,India,13.66N,75.14E
1872-07-01,23.136,1.176,Udupi,India,13.66N,75.14E
1872-08-01,23.0,1.439,Udupi,India,13.66N,75.14E
1872-09-01,23.766,0.836,Udupi,India,13.66N,75.14E
1872-10-01,24.393,0.882,Udupi,India,13.66N,75.14E
1872-11-01,24.057,1.0390000000000001,Udupi,India,13.66N,75.14E
1872-12-01,23.651999999999997,1.794,Udupi,India,13.66N,75.14E
1873-01-01,23.807,1.344,Udupi,India,13.66N,75.14E
1873-02-01,25.392,1.192,Udupi,India,13.66N,75.14E
1873-03-01,27.607000000000006,1.359,Udupi,India,13.66N,75.14E
1873-04-01,28.484,1.3869999999999998,Udupi,India,13.66N,75.14E
1873-05-01,27.384,0.9470000000000001,Udupi,India,13.66N,75.14E
1873-06-01,24.554000000000002,1.083,Udupi,India,13.66N,75.14E
1873-07-01,22.923000000000002,1.2329999999999999,Udupi,India,13.66N,75.14E
1873-08-01,23.367,0.807,Udupi,India,13.66N,75.14E
1873-09-01,23.781999999999996,1.169,Udupi,India,13.66N,75.14E
1873-10-01,24.666,0.977,Udupi,India,13.66N,75.14E
1873-11-01,24.089000000000002,0.919,Udupi,India,13.66N,75.14E
1873-12-01,24.133000000000006,1.148,Udupi,India,13.66N,75.14E
1874-01-01,24.009,1.344,Udupi,India,13.66N,75.14E
1874-02-01,25.5,1.081,Udupi,India,13.66N,75.14E
1874-03-01,27.3,1.354,Udupi,India,13.66N,75.14E
1874-04-01,28.833000000000002,1.052,Udupi,India,13.66N,75.14E
1874-05-01,27.194000000000006,1.024,Udupi,India,13.66N,75.14E
1874-06-01,24.428,1.18,Udupi,India,13.66N,75.14E
1874-07-01,23.023000000000003,0.893,Udupi,India,13.66N,75.14E
1874-08-01,23.444000000000003,0.846,Udupi,India,13.66N,75.14E
1874-09-01,23.564,1.195,Udupi,India,13.66N,75.14E
1874-10-01,24.795,1.133,Udupi,India,13.66N,75.14E
1874-11-01,24.845,1.062,Udupi,India,13.66N,75.14E
1874-12-01,23.884,1.196,Udupi,India,13.66N,75.14E
1875-01-01,23.706999999999997,0.84,Udupi,India,13.66N,75.14E
1875-02-01,25.174,0.9309999999999999,Udupi,India,13.66N,75.14E
1875-03-01,28.243,0.887,Udupi,India,13.66N,75.14E
1875-04-01,28.499000000000002,0.6920000000000001,Udupi,India,13.66N,75.14E
1875-05-01,27.853,0.732,Udupi,India,13.66N,75.14E
1875-06-01,24.633000000000003,1.056,Udupi,India,13.66N,75.14E
1875-07-01,23.201,0.893,Udupi,India,13.66N,75.14E
1875-08-01,23.514,0.551,Udupi,India,13.66N,75.14E
1875-09-01,23.884,0.565,Udupi,India,13.66N,75.14E
1875-10-01,23.99,0.93,Udupi,India,13.66N,75.14E
1875-11-01,24.56,0.988,Udupi,India,13.66N,75.14E
1875-12-01,23.868,0.629,Udupi,India,13.66N,75.14E
1876-01-01,24.261,1.396,Udupi,India,13.66N,75.14E
1876-02-01,25.236,1.129,Udupi,India,13.66N,75.14E
1876-03-01,28.543000000000006,1.557,Udupi,India,13.66N,75.14E
1876-04-01,29.31,1.091,Udupi,India,13.66N,75.14E
1876-05-01,27.746,0.8759999999999999,Udupi,India,13.66N,75.14E
1876-06-01,25.186,1.082,Udupi,India,13.66N,75.14E
1876-07-01,23.309,0.8370000000000001,Udupi,India,13.66N,75.14E
1876-08-01,23.319000000000003,0.631,Udupi,India,13.66N,75.14E
1876-09-01,23.947,1.102,Udupi,India,13.66N,75.14E
1876-10-01,25.348000000000003,1.133,Udupi,India,13.66N,75.14E
1876-11-01,24.612,1.381,Udupi,India,13.66N,75.14E
1876-12-01,23.855,1.3630000000000002,Udupi,India,13.66N,75.14E
1877-01-01,24.392,1.5319999999999998,Udupi,India,13.66N,75.14E
1877-02-01,26.346,1.5930000000000002,Udupi,India,13.66N,75.14E
1877-03-01,27.818,0.5379999999999999,Udupi,India,13.66N,75.14E
1877-04-01,28.399,1.0759999999999998,Udupi,India,13.66N,75.14E
1877-05-01,27.711,1.4080000000000001,Udupi,India,13.66N,75.14E
1877-06-01,25.025,1.5959999999999999,Udupi,India,13.66N,75.14E
1877-07-01,24.87,0.825,Udupi,India,13.66N,75.14E
1877-08-01,24.739,0.773,Udupi,India,13.66N,75.14E
1877-09-01,24.563000000000002,0.701,Udupi,India,13.66N,75.14E
1877-10-01,24.776,0.77,Udupi,India,13.66N,75.14E
1877-11-01,25.311,0.8859999999999999,Udupi,India,13.66N,75.14E
1877-12-01,25.333,2.0669999999999997,Udupi,India,13.66N,75.14E
1878-01-01,24.930999999999997,1.183,Udupi,India,13.66N,75.14E
1878-02-01,26.713,1.052,Udupi,India,13.66N,75.14E
1878-03-01,28.531,0.946,Udupi,India,13.66N,75.14E
1878-04-01,28.74,0.7240000000000001,Udupi,India,13.66N,75.14E
1878-05-01,27.913,0.598,Udupi,India,13.66N,75.14E
1878-06-01,25.524,1.13,Udupi,India,13.66N,75.14E
1878-07-01,23.76,0.688,Udupi,India,13.66N,75.14E
1878-08-01,23.624000000000002,0.84,Udupi,India,13.66N,75.14E
1878-09-01,24.115,0.648,Udupi,India,13.66N,75.14E
1878-10-01,24.759,0.562,Udupi,India,13.66N,75.14E
1878-11-01,24.909000000000002,1.036,Udupi,India,13.66N,75.14E
1878-12-01,24.096,0.9570000000000001,Udupi,India,13.66N,75.14E
1879-01-01,23.997,0.6990000000000001,Udupi,India,13.66N,75.14E
1879-02-01,25.290000000000006,1.261,Udupi,India,13.66N,75.14E
1879-03-01,27.295,0.887,Udupi,India,13.66N,75.14E
1879-04-01,28.738000000000003,1.054,Udupi,India,13.66N,75.14E
1879-05-01,27.116,0.9840000000000001,Udupi,India,13.66N,75.14E
1879-06-01,23.393,0.986,Udupi,India,13.66N,75.14E
1879-07-01,23.461,1.03,Udupi,India,13.66N,75.14E
1879-08-01,22.684,0.539,Udupi,India,13.66N,75.14E
1879-09-01,23.421999999999997,0.619,Udupi,India,13.66N,75.14E
1879-10-01,24.119,1.084,Udupi,India,13.66N,75.14E
1879-11-01,23.914,0.833,Udupi,India,13.66N,75.14E
1879-12-01,23.535,1.466,Udupi,India,13.66N,75.14E
1880-01-01,23.908,1.3030000000000002,Udupi,India,13.66N,75.14E
1880-02-01,25.746,0.996,Udupi,India,13.66N,75.14E
1880-03-01,28.462,1.052,Udupi,India,13.66N,75.14E
1880-04-01,29.081999999999997,0.818,Udupi,India,13.66N,75.14E
1880-05-01,27.656999999999996,0.6409999999999999,Udupi,India,13.66N,75.14E
1880-06-01,24.018,0.5379999999999999,Udupi,India,13.66N,75.14E
1880-07-01,22.519000000000002,0.41,Udupi,India,13.66N,75.14E
1880-08-01,23.251,0.648,Udupi,India,13.66N,75.14E
1880-09-01,23.378,0.64,Udupi,India,13.66N,75.14E
1880-10-01,24.444000000000003,0.8220000000000001,Udupi,India,13.66N,75.14E
1880-11-01,24.571,1.854,Udupi,India,13.66N,75.14E
1880-12-01,23.506999999999998,0.777,Udupi,India,13.66N,75.14E
1881-01-01,23.784000000000002,0.858,Udupi,India,13.66N,75.14E
1881-02-01,25.225,0.688,Udupi,India,13.66N,75.14E
1881-03-01,27.378,0.693,Udupi,India,13.66N,75.14E
1881-04-01,28.839000000000002,0.434,Udupi,India,13.66N,75.14E
1881-05-01,28.206000000000003,0.675,Udupi,India,13.66N,75.14E
1881-06-01,24.587,0.821,Udupi,India,13.66N,75.14E
1881-07-01,24.179000000000002,1.128,Udupi,India,13.66N,75.14E
1881-08-01,23.519000000000002,0.47,Udupi,India,13.66N,75.14E
1881-09-01,24.023000000000003,0.7559999999999999,Udupi,India,13.66N,75.14E
1881-10-01,24.885,0.33899999999999997,Udupi,India,13.66N,75.14E
1881-11-01,24.044,0.49700000000000005,Udupi,India,13.66N,75.14E
1881-12-01,23.89,0.643,Udupi,India,13.66N,75.14E
1882-01-01,24.377,0.89,Udupi,India,13.66N,75.14E
1882-02-01,25.44,0.77,Udupi,India,13.66N,75.14E
1882-03-01,27.999,1.0490000000000002,Udupi,India,13.66N,75.14E
1882-04-01,28.818,0.467,Udupi,India,13.66N,75.14E
1882-05-01,27.147,0.71,Udupi,India,13.66N,75.14E
1882-06-01,23.866,0.629,Udupi,India,13.66N,75.14E
1882-07-01,22.316999999999997,0.609,Udupi,India,13.66N,75.14E
1882-08-01,23.045,0.841,Udupi,India,13.66N,75.14E
1882-09-01,23.525,0.882,Udupi,India,13.66N,75.14E
1882-10-01,23.968000000000004,0.43799999999999994,Udupi,India,13.66N,75.14E
1882-11-01,24.116,0.9440000000000001,Udupi,India,13.66N,75.14E
1882-12-01,23.285999999999998,0.8590000000000001,Udupi,India,13.66N,75.14E
1883-01-01,23.6,0.958,Udupi,India,13.66N,75.14E
1883-02-01,25.539,0.8220000000000001,Udupi,India,13.66N,75.14E
1883-03-01,27.504,0.6920000000000001,Udupi,India,13.66N,75.14E
1883-04-01,28.258000000000003,0.39799999999999996,Udupi,India,13.66N,75.14E
1883-05-01,27.566999999999997,0.633,Udupi,India,13.66N,75.14E
1883-06-01,24.185,0.575,Udupi,India,13.66N,75.14E
1883-07-01,22.935,0.557,Udupi,India,13.66N,75.14E
1883-08-01,23.546,0.495,Udupi,India,13.66N,75.14E
1883-09-01,23.796,0.319,Udupi,India,13.66N,75.14E
1883-10-01,23.868000000000002,0.48100000000000004,Udupi,India,13.66N,75.14E
1883-11-01,23.584,0.507,Udupi,India,13.66N,75.14E
1883-12-01,22.224,0.7929999999999999,Udupi,India,13.66N,75.14E
1884-01-01,22.493,0.6970000000000001,Udupi,India,13.66N,75.14E
1884-02-01,24.511999999999997,0.6759999999999999,Udupi,India,13.66N,75.14E
1884-03-01,27.318,0.55,Udupi,India,13.66N,75.14E
1884-04-01,28.249000000000002,0.562,Udupi,India,13.66N,75.14E
1884-05-01,27.934,0.555,Udupi,India,13.66N,75.14E
1884-06-01,25.251,0.583,Udupi,India,13.66N,75.14E
1884-07-01,23.701,0.586,Udupi,India,13.66N,75.14E
1884-08-01,23.525,0.562,Udupi,India,13.66N,75.14E
1884-09-01,23.743000000000002,0.8059999999999999,Udupi,India,13.66N,75.14E
1884-10-01,23.924,0.485,Udupi,India,13.66N,75.14E
1884-11-01,23.555,0.56,Udupi,India,13.66N,75.14E
1884-12-01,23.718000000000004,0.998,Udupi,India,13.66N,75.14E
1885-01-01,23.935,0.973,Udupi,India,13.66N,75.14E
1885-02-01,24.930999999999997,0.752,Udupi,India,13.66N,75.14E
1885-03-01,27.191999999999997,0.8909999999999999,Udupi,India,13.66N,75.14E
1885-04-01,28.275,0.8059999999999999,Udupi,India,13.66N,75.14E
1885-05-01,27.608,1.08,Udupi,India,13.66N,75.14E
1885-06-01,24.492,0.38799999999999996,Udupi,India,13.66N,75.14E
1885-07-01,23.275,0.46299999999999997,Udupi,India,13.66N,75.14E
1885-08-01,24.112,0.71,Udupi,India,13.66N,75.14E
1885-09-01,24.439,0.629,Udupi,India,13.66N,75.14E
1885-10-01,24.372,0.745,Udupi,India,13.66N,75.14E
