113,0.8390000000000001,Kuytun,China,44.20N,84.97E
1947-09-01,13.462,0.428,Kuytun,China,44.20N,84.97E
1947-10-01,4.981,0.857,Kuytun,China,44.20N,84.97E
1947-11-01,-2.543,1.564,Kuytun,China,44.20N,84.97E
1947-12-01,-18.528,2.43,Kuytun,China,44.20N,84.97E
1948-01-01,-17.994,0.86,Kuytun,China,44.20N,84.97E
1948-02-01,-17.317999999999998,0.882,Kuytun,China,44.20N,84.97E
1948-03-01,-1.6390000000000002,1.485,Kuytun,China,44.20N,84.97E
1948-04-01,7.614,0.9420000000000001,Kuytun,China,44.20N,84.97E
1948-05-01,13.474,0.483,Kuytun,China,44.20N,84.97E
1948-06-01,17.679000000000006,0.385,Kuytun,China,44.20N,84.97E
1948-07-01,22.616,1.39,Kuytun,China,44.20N,84.97E
1948-08-01,19.347,0.436,Kuytun,China,44.20N,84.97E
1948-09-01,13.008,0.509,Kuytun,China,44.20N,84.97E
1948-10-01,5.712999999999999,1.237,Kuytun,China,44.20N,84.97E
1948-11-01,-6.966,1.334,Kuytun,China,44.20N,84.97E
1948-12-01,-15.255,1.454,Kuytun,China,44.20N,84.97E
1949-01-01,-18.293000000000006,1.318,Kuytun,China,44.20N,84.97E
1949-02-01,-12.648,1.196,Kuytun,China,44.20N,84.97E
1949-03-01,-5.121,1.605,Kuytun,China,44.20N,84.97E
1949-04-01,9.032,1.311,Kuytun,China,44.20N,84.97E
1949-05-01,13.978,0.442,Kuytun,China,44.20N,84.97E
1949-06-01,18.459000000000003,0.418,Kuytun,China,44.20N,84.97E
1949-07-01,19.174,0.33399999999999996,Kuytun,China,44.20N,84.97E
1949-08-01,20.472,1.452,Kuytun,China,44.20N,84.97E
1949-09-01,10.702,0.38799999999999996,Kuytun,China,44.20N,84.97E
1949-10-01,4.775,0.8320000000000001,Kuytun,China,44.20N,84.97E
1949-11-01,-8.199,0.507,Kuytun,China,44.20N,84.97E
1949-12-01,-20.508000000000003,1.177,Kuytun,China,44.20N,84.97E
1950-01-01,-17.151000000000003,2.14,Kuytun,China,44.20N,84.97E
1950-02-01,-17.878999999999994,1.403,Kuytun,China,44.20N,84.97E
1950-03-01,-3.98,0.99,Kuytun,China,44.20N,84.97E
1950-04-01,4.9110000000000005,0.88,Kuytun,China,44.20N,84.97E
1950-05-01,16.198999999999998,1.0190000000000001,Kuytun,China,44.20N,84.97E
1950-06-01,19.059,0.675,Kuytun,China,44.20N,84.97E
1950-07-01,21.656,1.355,Kuytun,China,44.20N,84.97E
1950-08-01,19.662,1.585,Kuytun,China,44.20N,84.97E
1950-09-01,13.431,0.35600000000000004,Kuytun,China,44.20N,84.97E
1950-10-01,3.2060000000000004,0.479,Kuytun,China,44.20N,84.97E
1950-11-01,-11.633,1.266,Kuytun,China,44.20N,84.97E
1950-12-01,-20.557,0.5920000000000001,Kuytun,China,44.20N,84.97E
1951-01-01,-22.421000000000006,0.7090000000000001,Kuytun,China,44.20N,84.97E
1951-02-01,-20.753,2.545,Kuytun,China,44.20N,84.97E
1951-03-01,-8.587,1.015,Kuytun,China,44.20N,84.97E
1951-04-01,7.346,1.604,Kuytun,China,44.20N,84.97E
1951-05-01,16.759,0.7390000000000001,Kuytun,China,44.20N,84.97E
1951-06-01,19.227999999999998,0.721,Kuytun,China,44.20N,84.97E
1951-07-01,21.478,0.611,Kuytun,China,44.20N,84.97E
1951-08-01,18.660999999999998,0.469,Kuytun,China,44.20N,84.97E
1951-09-01,14.602,0.46399999999999997,Kuytun,China,44.20N,84.97E
1951-10-01,6.27,0.504,Kuytun,China,44.20N,84.97E
1951-11-01,-6.657,0.7290000000000001,Kuytun,China,44.20N,84.97E
1951-12-01,-11.591,0.85,Kuytun,China,44.20N,84.97E
1952-01-01,-18.077,2.024,Kuytun,China,44.20N,84.97E
1952-02-01,-17.043,2.222,Kuytun,China,44.20N,84.97E
1952-03-01,-5.297000000000001,1.726,Kuytun,China,44.20N,84.97E
1952-04-01,6.831,0.8029999999999999,Kuytun,China,44.20N,84.97E
1952-05-01,13.828,0.741,Kuytun,China,44.20N,84.97E
1952-06-01,17.455000000000002,0.478,Kuytun,China,44.20N,84.97E
1952-07-01,20.921,0.289,Kuytun,China,44.20N,84.97E
1952-08-01,20.737,0.424,Kuytun,China,44.20N,84.97E
1952-09-01,13.630999999999998,0.391,Kuytun,China,44.20N,84.97E
1952-10-01,2.548,0.998,Kuytun,China,44.20N,84.97E
1952-11-01,-11.921,2.094,Kuytun,China,44.20N,84.97E
1952-12-01,-20.402,1.4369999999999998,Kuytun,China,44.20N,84.97E
1953-01-01,-19.891,1.187,Kuytun,China,44.20N,84.97E
1953-02-01,-13.396999999999998,0.775,Kuytun,China,44.20N,84.97E
1953-03-01,-3.175,0.6559999999999999,Kuytun,China,44.20N,84.97E
1953-04-01,6.295,1.778,Kuytun,China,44.20N,84.97E
1953-05-01,15.968,0.363,Kuytun,China,44.20N,84.97E
1953-06-01,19.430999999999997,0.485,Kuytun,China,44.20N,84.97E
1953-07-01,22.009,0.295,Kuytun,China,44.20N,84.97E
1953-08-01,18.23,0.777,Kuytun,China,44.20N,84.97E
1953-09-01,16.054000000000002,0.624,Kuytun,China,44.20N,84.97E
1953-10-01,3.551,0.636,Kuytun,China,44.20N,84.97E
1953-11-01,-8.642000000000001,1.3969999999999998,Kuytun,China,44.20N,84.97E
1953-12-01,-16.711,1.053,Kuytun,China,44.20N,84.97E
1954-01-01,-21.276999999999997,1.7409999999999999,Kuytun,China,44.20N,84.97E
1954-02-01,-17.839000000000002,1.2,Kuytun,China,44.20N,84.97E
1954-03-01,-7.787999999999999,1.405,Kuytun,China,44.20N,84.97E
1954-04-01,7.129,0.456,Kuytun,China,44.20N,84.97E
1954-05-01,10.845,0.602,Kuytun,China,44.20N,84.97E
1954-06-01,16.535999999999998,0.505,Kuytun,China,44.20N,84.97E
1954-07-01,18.941000000000006,0.31,Kuytun,China,44.20N,84.97E
1954-08-01,20.139,0.5539999999999999,Kuytun,China,44.20N,84.97E
1954-09-01,13.74,0.716,Kuytun,China,44.20N,84.97E
1954-10-01,4.979,0.5589999999999999,Kuytun,China,44.20N,84.97E
1954-11-01,-7.361000000000001,1.004,Kuytun,China,44.20N,84.97E
1954-12-01,-22.373,0.665,Kuytun,China,44.20N,84.97E
1955-01-01,-24.085,2.105,Kuytun,China,44.20N,84.97E
1955-02-01,-17.188,1.536,Kuytun,China,44.20N,84.97E
1955-03-01,-7.034000000000002,1.9340000000000002,Kuytun,China,44.20N,84.97E
1955-04-01,4.177,0.435,Kuytun,China,44.20N,84.97E
1955-05-01,14.603,0.345,Kuytun,China,44.20N,84.97E
1955-06-01,20.422,0.635,Kuytun,China,44.20N,84.97E
1955-07-01,20.496,0.615,Kuytun,China,44.20N,84.97E
1955-08-01,20.590999999999998,0.602,Kuytun,China,44.20N,84.97E
1955-09-01,12.927,0.247,Kuytun,China,44.20N,84.97E
1955-10-01,4.171,0.396,Kuytun,China,44.20N,84.97E
1955-11-01,-4.3389999999999995,0.633,Kuytun,China,44.20N,84.97E
1955-12-01,-12.559,0.382,Kuytun,China,44.20N,84.97E
1956-01-01,-24.555,1.538,Kuytun,China,44.20N,84.97E
1956-02-01,-17.259,1.335,Kuytun,China,44.20N,84.97E
1956-03-01,-6.053999999999999,1.21,Kuytun,China,44.20N,84.97E
1956-04-01,8.31,0.418,Kuytun,China,44.20N,84.97E
1956-05-01,14.04,0.387,Kuytun,China,44.20N,84.97E
1956-06-01,16.410000000000004,0.311,Kuytun,China,44.20N,84.97E
1956-07-01,22.642,0.938,Kuytun,China,44.20N,84.97E
1956-08-01,18.953,0.97,Kuytun,China,44.20N,84.97E
1956-09-01,13.635,0.573,Kuytun,China,44.20N,84.97E
1956-10-01,4.829,0.659,Kuytun,China,44.20N,84.97E
1956-11-01,-3.91,0.594,Kuytun,China,44.20N,84.97E
1956-12-01,-15.933,0.637,Kuytun,China,44.20N,84.97E
1957-01-01,-21.427000000000003,0.826,Kuytun,China,44.20N,84.97E
1957-02-01,-18.184,1.493,Kuytun,China,44.20N,84.97E
1957-03-01,-3.248,0.6859999999999999,Kuytun,China,44.20N,84.97E
1957-04-01,4.831,0.444,Kuytun,China,44.20N,84.97E
1957-05-01,12.192,0.455,Kuytun,China,44.20N,84.97E
1957-06-01,20.683000000000003,0.418,Kuytun,China,44.20N,84.97E
1957-07-01,20.147,0.552,Kuytun,China,44.20N,84.97E
1957-08-01,18.942,0.94,Kuytun,China,44.20N,84.97E
1957-09-01,14.492,1.058,Kuytun,China,44.20N,84.97E
1957-10-01,5.071000000000001,0.545,Kuytun,China,44.20N,84.97E
