36,0.5920000000000001,Junagadh,India,21.70N,70.10E
1933-07-01,28.697000000000006,0.319,Junagadh,India,21.70N,70.10E
1933-08-01,27.05,0.307,Junagadh,India,21.70N,70.10E
1933-09-01,27.32,0.327,Junagadh,India,21.70N,70.10E
1933-10-01,27.316999999999997,0.748,Junagadh,India,21.70N,70.10E
1933-11-01,24.711,0.525,Junagadh,India,21.70N,70.10E
1933-12-01,21.241,0.45799999999999996,Junagadh,India,21.70N,70.10E
1934-01-01,18.207,0.529,Junagadh,India,21.70N,70.10E
1934-02-01,22.764,0.914,Junagadh,India,21.70N,70.10E
1934-03-01,25.65,0.7659999999999999,Junagadh,India,21.70N,70.10E
1934-04-01,29.076,0.344,Junagadh,India,21.70N,70.10E
1934-05-01,30.281,0.327,Junagadh,India,21.70N,70.10E
1934-06-01,30.168000000000006,0.301,Junagadh,India,21.70N,70.10E
1934-07-01,28.363000000000003,0.49200000000000005,Junagadh,India,21.70N,70.10E
1934-08-01,27.47,0.54,Junagadh,India,21.70N,70.10E
1934-09-01,27.298,0.47700000000000004,Junagadh,India,21.70N,70.10E
1934-10-01,26.787000000000006,0.46399999999999997,Junagadh,India,21.70N,70.10E
1934-11-01,24.044,1.288,Junagadh,India,21.70N,70.10E
1934-12-01,21.656999999999996,0.718,Junagadh,India,21.70N,70.10E
1935-01-01,18.449,0.627,Junagadh,India,21.70N,70.10E
1935-02-01,22.134,0.521,Junagadh,India,21.70N,70.10E
1935-03-01,26.284000000000002,0.7040000000000001,Junagadh,India,21.70N,70.10E
1935-04-01,27.803,0.45399999999999996,Junagadh,India,21.70N,70.10E
1935-05-01,30.1,0.301,Junagadh,India,21.70N,70.10E
1935-06-01,30.857000000000006,0.213,Junagadh,India,21.70N,70.10E
1935-07-01,28.349,0.293,Junagadh,India,21.70N,70.10E
1935-08-01,26.897,0.23,Junagadh,India,21.70N,70.10E
1935-09-01,26.718000000000004,0.45399999999999996,Junagadh,India,21.70N,70.10E
1935-10-01,26.78,0.84,Junagadh,India,21.70N,70.10E
1935-11-01,24.645,0.32,Junagadh,India,21.70N,70.10E
1935-12-01,21.316999999999997,0.506,Junagadh,India,21.70N,70.10E
1936-01-01,19.351,0.42200000000000004,Junagadh,India,21.70N,70.10E
1936-02-01,22.63,0.32,Junagadh,India,21.70N,70.10E
1936-03-01,25.697,0.8,Junagadh,India,21.70N,70.10E
1936-04-01,28.221999999999998,0.376,Junagadh,India,21.70N,70.10E
1936-05-01,30.665,0.253,Junagadh,India,21.70N,70.10E
1936-06-01,29.993,0.248,Junagadh,India,21.70N,70.10E
1936-07-01,28.37,0.319,Junagadh,India,21.70N,70.10E
1936-08-01,27.747,0.23800000000000002,Junagadh,India,21.70N,70.10E
1936-09-01,27.491999999999997,0.293,Junagadh,India,21.70N,70.10E
1936-10-01,27.171000000000006,0.568,Junagadh,India,21.70N,70.10E
1936-11-01,25.139000000000006,0.515,Junagadh,India,21.70N,70.10E
1936-12-01,21.232,0.306,Junagadh,India,21.70N,70.10E
1937-01-01,19.794,0.778,Junagadh,India,21.70N,70.10E
1937-02-01,22.553,0.382,Junagadh,India,21.70N,70.10E
1937-03-01,25.229,0.551,Junagadh,India,21.70N,70.10E
1937-04-01,28.044,0.462,Junagadh,India,21.70N,70.10E
1937-05-01,30.118000000000002,0.457,Junagadh,India,21.70N,70.10E
1937-06-01,30.464,0.326,Junagadh,India,21.70N,70.10E
1937-07-01,28.054,0.228,Junagadh,India,21.70N,70.10E
1937-08-01,27.391,0.32799999999999996,Junagadh,India,21.70N,70.10E
1937-09-01,27.145,0.155,Junagadh,India,21.70N,70.10E
1937-10-01,26.961,0.42200000000000004,Junagadh,India,21.70N,70.10E
1937-11-01,24.999,0.39799999999999996,Junagadh,India,21.70N,70.10E
1937-12-01,19.411,0.42200000000000004,Junagadh,India,21.70N,70.10E
1938-01-01,19.4,0.67,Junagadh,India,21.70N,70.10E
1938-02-01,21.452,0.727,Junagadh,India,21.70N,70.10E
1938-03-01,26.533,0.387,Junagadh,India,21.70N,70.10E
1938-04-01,28.833000000000002,0.768,Junagadh,India,21.70N,70.10E
1938-05-01,30.613000000000003,0.353,Junagadh,India,21.70N,70.10E
1938-06-01,29.976999999999997,0.7,Junagadh,India,21.70N,70.10E
1938-07-01,28.326999999999998,0.223,Junagadh,India,21.70N,70.10E
1938-08-01,27.45,0.235,Junagadh,India,21.70N,70.10E
1938-09-01,27.143,0.461,Junagadh,India,21.70N,70.10E
1938-10-01,26.493,0.9059999999999999,Junagadh,India,21.70N,70.10E
1938-11-01,23.107000000000006,1.17,Junagadh,India,21.70N,70.10E
1938-12-01,21.369,0.555,Junagadh,India,21.70N,70.10E
1939-01-01,20.679,0.529,Junagadh,India,21.70N,70.10E
1939-02-01,22.491,0.627,Junagadh,India,21.70N,70.10E
1939-03-01,24.881,0.504,Junagadh,India,21.70N,70.10E
1939-04-01,27.416,0.35700000000000004,Junagadh,India,21.70N,70.10E
1939-05-01,29.636999999999997,0.308,Junagadh,India,21.70N,70.10E
