1.937,0.584,Ilhéus,Brazil,15.27S,39.17W
1933-01-01,25.494,0.631,Ilhéus,Brazil,15.27S,39.17W
1933-02-01,25.932,0.47700000000000004,Ilhéus,Brazil,15.27S,39.17W
1933-03-01,25.123,0.532,Ilhéus,Brazil,15.27S,39.17W
1933-04-01,23.616,0.43700000000000006,Ilhéus,Brazil,15.27S,39.17W
1933-05-01,22.263,0.431,Ilhéus,Brazil,15.27S,39.17W
1933-06-01,21.776999999999997,1.29,Ilhéus,Brazil,15.27S,39.17W
1933-07-01,20.971,0.5720000000000001,Ilhéus,Brazil,15.27S,39.17W
1933-08-01,21.34,0.519,Ilhéus,Brazil,15.27S,39.17W
1933-09-01,22.923000000000002,0.39399999999999996,Ilhéus,Brazil,15.27S,39.17W
1933-10-01,23.938000000000002,0.44799999999999995,Ilhéus,Brazil,15.27S,39.17W
1933-11-01,23.713,0.379,Ilhéus,Brazil,15.27S,39.17W
1933-12-01,24.738000000000003,0.544,Ilhéus,Brazil,15.27S,39.17W
1934-01-01,25.421,0.597,Ilhéus,Brazil,15.27S,39.17W
1934-02-01,26.185,0.711,Ilhéus,Brazil,15.27S,39.17W
1934-03-01,25.5,0.591,Ilhéus,Brazil,15.27S,39.17W
1934-04-01,25.17,0.684,Ilhéus,Brazil,15.27S,39.17W
1934-05-01,23.357,0.401,Ilhéus,Brazil,15.27S,39.17W
1934-06-01,21.919,0.564,Ilhéus,Brazil,15.27S,39.17W
1934-07-01,20.425,0.483,Ilhéus,Brazil,15.27S,39.17W
1934-08-01,21.304000000000002,0.608,Ilhéus,Brazil,15.27S,39.17W
1934-09-01,22.939,0.698,Ilhéus,Brazil,15.27S,39.17W
1934-10-01,23.29,0.899,Ilhéus,Brazil,15.27S,39.17W
1934-11-01,24.638,1.204,Ilhéus,Brazil,15.27S,39.17W
1934-12-01,25.739,1.746,Ilhéus,Brazil,15.27S,39.17W
1935-01-01,25.687,1.074,Ilhéus,Brazil,15.27S,39.17W
1935-02-01,25.818,0.718,Ilhéus,Brazil,15.27S,39.17W
1935-03-01,25.805999999999997,0.784,Ilhéus,Brazil,15.27S,39.17W
1935-04-01,24.588,1.876,Ilhéus,Brazil,15.27S,39.17W
1935-05-01,22.589000000000002,1.594,Ilhéus,Brazil,15.27S,39.17W
1935-06-01,22.59,0.624,Ilhéus,Brazil,15.27S,39.17W
1935-07-01,22.166999999999998,1.182,Ilhéus,Brazil,15.27S,39.17W
1935-08-01,21.832,0.9670000000000001,Ilhéus,Brazil,15.27S,39.17W
1935-09-01,23.013,0.728,Ilhéus,Brazil,15.27S,39.17W
1935-10-01,24.881,1.3769999999999998,Ilhéus,Brazil,15.27S,39.17W
1935-11-01,24.92,0.8740000000000001,Ilhéus,Brazil,15.27S,39.17W
1935-12-01,25.504,0.5539999999999999,Ilhéus,Brazil,15.27S,39.17W
1936-01-01,25.507,1.117,Ilhéus,Brazil,15.27S,39.17W
1936-02-01,25.37,0.474,Ilhéus,Brazil,15.27S,39.17W
1936-03-01,25.180999999999997,0.514,Ilhéus,Brazil,15.27S,39.17W
1936-04-01,24.648000000000003,0.8320000000000001,Ilhéus,Brazil,15.27S,39.17W
1936-05-01,23.706999999999997,1.551,Ilhéus,Brazil,15.27S,39.17W
1936-06-01,22.383000000000003,0.7490000000000001,Ilhéus,Brazil,15.27S,39.17W
1936-07-01,21.315,0.541,Ilhéus,Brazil,15.27S,39.17W
1936-08-01,21.846,1.281,Ilhéus,Brazil,15.27S,39.17W
1936-09-01,22.699,0.685,Ilhéus,Brazil,15.27S,39.17W
1936-10-01,23.886,0.5820000000000001,Ilhéus,Brazil,15.27S,39.17W
1936-11-01,24.963,0.46399999999999997,Ilhéus,Brazil,15.27S,39.17W
1936-12-01,25.005,0.684,Ilhéus,Brazil,15.27S,39.17W
1937-01-01,25.549,0.48700000000000004,Ilhéus,Brazil,15.27S,39.17W
1937-02-01,26.105999999999998,0.862,Ilhéus,Brazil,15.27S,39.17W
1937-03-01,25.781999999999996,0.544,Ilhéus,Brazil,15.27S,39.17W
1937-04-01,24.575,0.841,Ilhéus,Brazil,15.27S,39.17W
1937-05-01,23.160999999999998,0.754,Ilhéus,Brazil,15.27S,39.17W
1937-06-01,22.447,0.966,Ilhéus,Brazil,15.27S,39.17W
1937-07-01,21.675,0.552,Ilhéus,Brazil,15.27S,39.17W
1937-08-01,22.277,0.43700000000000006,Ilhéus,Brazil,15.27S,39.17W
1937-09-01,22.76,0.995,Ilhéus,Brazil,15.27S,39.17W
