.9830000000000005,0.507,Puerto Montt,Chile,40.99S,72.43W
1962-11-01,11.809000000000001,0.321,Puerto Montt,Chile,40.99S,72.43W
1962-12-01,13.552,0.877,Puerto Montt,Chile,40.99S,72.43W
1963-01-01,13.363,0.17,Puerto Montt,Chile,40.99S,72.43W
1963-02-01,14.746,1.044,Puerto Montt,Chile,40.99S,72.43W
1963-03-01,11.068,0.239,Puerto Montt,Chile,40.99S,72.43W
1963-04-01,9.037,0.593,Puerto Montt,Chile,40.99S,72.43W
1963-05-01,6.1,0.38,Puerto Montt,Chile,40.99S,72.43W
1963-06-01,3.891000000000001,0.22899999999999998,Puerto Montt,Chile,40.99S,72.43W
1963-07-01,4.714,0.528,Puerto Montt,Chile,40.99S,72.43W
1963-08-01,5.114000000000001,0.456,Puerto Montt,Chile,40.99S,72.43W
1963-09-01,5.849,1.063,Puerto Montt,Chile,40.99S,72.43W
1963-10-01,8.696,0.563,Puerto Montt,Chile,40.99S,72.43W
1963-11-01,8.887,0.306,Puerto Montt,Chile,40.99S,72.43W
1963-12-01,11.794,0.316,Puerto Montt,Chile,40.99S,72.43W
1964-01-01,14.186,0.517,Puerto Montt,Chile,40.99S,72.43W
1964-02-01,11.828,0.337,Puerto Montt,Chile,40.99S,72.43W
1964-03-01,10.454,0.4,Puerto Montt,Chile,40.99S,72.43W
1964-04-01,8.345,0.5,Puerto Montt,Chile,40.99S,72.43W
1964-05-01,6.489,0.295,Puerto Montt,Chile,40.99S,72.43W
1964-06-01,3.361,0.889,Puerto Montt,Chile,40.99S,72.43W
1964-07-01,3.825,0.428,Puerto Montt,Chile,40.99S,72.43W
1964-08-01,4.763999999999999,0.973,Puerto Montt,Chile,40.99S,72.43W
1964-09-01,5.6560000000000015,0.207,Puerto Montt,Chile,40.99S,72.43W
1964-10-01,9.154,0.593,Puerto Montt,Chile,40.99S,72.43W
1964-11-01,10.762,0.32,Puerto Montt,Chile,40.99S,72.43W
1964-12-01,12.048,1.0190000000000001,Puerto Montt,Chile,40.99S,72.43W
1965-01-01,13.962,0.19899999999999998,Puerto Montt,Chile,40.99S,72.43W
1965-02-01,13.223,0.536,Puerto Montt,Chile,40.99S,72.43W
1965-03-01,12.242,0.371,Puerto Montt,Chile,40.99S,72.43W
1965-04-01,7.816000000000002,0.253,Puerto Montt,Chile,40.99S,72.43W
1965-05-01,5.043,0.376,Puerto Montt,Chile,40.99S,72.43W
