1992-01-01,26.901,0.721,Teresina,Brazil,5.63S,43.59W
1992-02-01,25.9,0.491,Teresina,Brazil,5.63S,43.59W
1992-03-01,26.14,0.272,Teresina,Brazil,5.63S,43.59W
1992-04-01,26.629,0.473,Teresina,Brazil,5.63S,43.59W
1992-05-01,26.953000000000007,0.35700000000000004,Teresina,Brazil,5.63S,43.59W
1992-06-01,26.6,0.28300000000000003,Teresina,Brazil,5.63S,43.59W
1992-07-01,26.517,0.371,Teresina,Brazil,5.63S,43.59W
1992-08-01,27.863000000000003,0.455,Teresina,Brazil,5.63S,43.59W
1992-09-01,28.857,0.447,Teresina,Brazil,5.63S,43.59W
1992-10-01,28.971,0.391,Teresina,Brazil,5.63S,43.59W
1992-11-01,28.275,0.499,Teresina,Brazil,5.63S,43.59W
1992-12-01,27.635,0.493,Teresina,Brazil,5.63S,43.59W
1993-01-01,26.776,0.259,Teresina,Brazil,5.63S,43.59W
1993-02-01,26.241999999999997,0.45899999999999996,Teresina,Brazil,5.63S,43.59W
1993-03-01,26.145,0.33899999999999997,Teresina,Brazil,5.63S,43.59W
1993-04-01,26.568,0.382,Teresina,Brazil,5.63S,43.59W
1993-05-01,26.971999999999998,0.257,Teresina,Brazil,5.63S,43.59W
1993-06-01,27.057,0.295,Teresina,Brazil,5.63S,43.59W
1993-07-01,27.53,0.674,Teresina,Brazil,5.63S,43.59W
1993-08-01,28.754,0.6829999999999999,Teresina,Brazil,5.63S,43.59W
1993-09-01,29.383000000000003,0.5379999999999999,Teresina,Brazil,5.63S,43.59W
1993-10-01,29.267,0.239,Teresina,Brazil,5.63S,43.59W
1993-11-01,28.695,0.183,Teresina,Brazil,5.63S,43.59W
1993-12-01,27.776,0.162,Teresina,Brazil,5.63S,43.59W
1994-01-01,25.934,0.29,Teresina,Brazil,5.63S,43.59W
1994-02-01,25.837,0.311,Teresina,Brazil,5.63S,43.59W
1994-03-01,26.183000000000003,0.9440000000000001,Teresina,Brazil,5.63S,43.59W
1994-04-01,25.968000000000004,0.7879999999999999,Teresina,Brazil,5.63S,43.59W
1994-05-01,26.717,0.166,Teresina,Brazil,5.63S,43.59W
1994-06-01,26.54,0.326,Teresina,Brazil,5.63S,43.59W
1994-07-01,26.523000000000003,0.7120000000000001,Teresina,Brazil,5.63S,43.59W
1994-08-01,27.641,0.503,Teresina,Brazil,5.63S,43.59W
1994-09-01,28.885,0.396,Teresina,Brazil,5.63S,43.59W
1994-10-01,28.99,0.502,Teresina,Brazil,5.63S,43.59W
1994-11-01,28.770000000000003,0.324,Teresina,Brazil,5.63S,43.59W
1994-12-01,28.173,0.586,Teresina,Brazil,5.63S,43.59W
1995-01-01,26.250999999999998,0.392,Teresina,Brazil,5.63S,43.59W
1995-02-01,25.916,0.688,Teresina,Brazil,5.63S,43.59W
1995-03-01,26.679000000000002,0.556,Teresina,Brazil,5.63S,43.59W
1995-04-01,25.926,0.348,Teresina,Brazil,5.63S,43.59W
1995-05-01,26.399,0.28800000000000003,Teresina,Brazil,5.63S,43.59W
1995-06-01,26.555,0.289,Teresina,Brazil,5.63S,43.59W
1995-07-01,26.397,0.359,Teresina,Brazil,5.63S,43.59W
1995-08-01,27.734,0.369,Teresina,Brazil,5.63S,43.59W
1995-09-01,29.221,0.301,Teresina,Brazil,5.63S,43.59W
1995-10-01,29.426,0.436,Teresina,Brazil,5.63S,43.59W
1995-11-01,28.110000000000007,0.29600000000000004,Teresina,Brazil,5.63S,43.59W
1995-12-01,27.423,0.311,Teresina,Brazil,5.63S,43.59W
1996-01-01,26.218000000000004,0.251,Teresina,Brazil,5.63S,43.59W
1996-02-01,26.348000000000006,0.29600000000000004,Teresina,Brazil,5.63S,43.59W
1996-03-01,25.948,0.3,Teresina,Brazil,5.63S,43.59W
1996-04-01,25.931,0.395,Teresina,Brazil,5.63S,43.59W
1996-05-01,26.566000000000006,0.457,Teresina,Brazil,5.63S,43.59W
1996-06-01,26.366999999999997,0.44,Teresina,Brazil,5.63S,43.59W
1996-07-01,26.484,0.6779999999999999,Teresina,Brazil,5.63S,43.59W
1996-08-01,28.158,0.251,Teresina,Brazil,5.63S,43.59W
1996-09-01,29.186,0.642,Teresina,Brazil,5.63S,43.59W
1996-10-01,28.882,0.297,Teresina,Brazil,5.63S,43.59W
1996-11-01,28.125,0.22699999999999998,Teresina,Brazil,5.63S,43.59W
1996-12-01,28.125,0.348,Teresina,Brazil,5.63S,43.59W
1997-01-01,26.052,0.527,Teresina,Brazil,5.63S,43.59W
1997-02-01,26.522,0.187,Teresina,Brazil,5.63S,43.59W
1997-03-01,25.86,0.3,Teresina,Brazil,5.63S,43.59W
1997-04-01,26.09,0.38799999999999996,Teresina,Brazil,5.63S,43.59W
1997-05-01,26.156,0.33299999999999996,Teresina,Brazil,5.63S,43.59W
1997-06-01,26.365,0.465,Teresina,Brazil,5.63S,43.59W
1997-07-01,26.769,0.447,Teresina,Brazil,5.63S,43.59W
1997-08-01,28.052,0.439,Teresina,Brazil,5.63S,43.59W
1997-09-01,29.453000000000003,0.256,Teresina,Brazil,5.63S,43.59W
1997-10-01,29.693,0.254,Teresina,Brazil,5.63S,43.59W
