075000000000006,1.085,Pontianak,Indonesia,0.80S,110.09E
1892-03-01,25.986,0.8220000000000001,Pontianak,Indonesia,0.80S,110.09E
1892-04-01,25.28,0.55,Pontianak,Indonesia,0.80S,110.09E
1892-05-01,25.738000000000003,0.539,Pontianak,Indonesia,0.80S,110.09E
1892-06-01,26.337,0.632,Pontianak,Indonesia,0.80S,110.09E
1892-07-01,26.386000000000006,0.7829999999999999,Pontianak,Indonesia,0.80S,110.09E
1892-08-01,25.705,0.532,Pontianak,Indonesia,0.80S,110.09E
1892-09-01,25.975,0.405,Pontianak,Indonesia,0.80S,110.09E
1892-10-01,25.79,0.457,Pontianak,Indonesia,0.80S,110.09E
1892-11-01,25.273000000000003,0.642,Pontianak,Indonesia,0.80S,110.09E
1892-12-01,25.318,0.8240000000000001,Pontianak,Indonesia,0.80S,110.09E
1893-01-01,24.959,0.992,Pontianak,Indonesia,0.80S,110.09E
1893-02-01,25.209,0.56,Pontianak,Indonesia,0.80S,110.09E
1893-03-01,25.466,0.584,Pontianak,Indonesia,0.80S,110.09E
1893-04-01,25.645,0.521,Pontianak,Indonesia,0.80S,110.09E
1893-05-01,26.094,0.6609999999999999,Pontianak,Indonesia,0.80S,110.09E
1893-06-01,25.889,0.626,Pontianak,Indonesia,0.80S,110.09E
1893-07-01,25.85,0.604,Pontianak,Indonesia,0.80S,110.09E
1893-08-01,25.889,0.53,Pontianak,Indonesia,0.80S,110.09E
1893-09-01,26.006999999999998,0.493,Pontianak,Indonesia,0.80S,110.09E
1893-10-01,25.375,0.455,Pontianak,Indonesia,0.80S,110.09E
1893-11-01,25.351,0.545,Pontianak,Indonesia,0.80S,110.09E
1893-12-01,25.046,0.6579999999999999,Pontianak,Indonesia,0.80S,110.09E
1894-01-01,24.988000000000003,0.633,Pontianak,Indonesia,0.80S,110.09E
1894-02-01,25.456,0.752,Pontianak,Indonesia,0.80S,110.09E
1894-03-01,25.617,0.799,Pontianak,Indonesia,0.80S,110.09E
1894-04-01,25.774,0.578,Pontianak,Indonesia,0.80S,110.09E
1894-05-01,25.815,0.607,Pontianak,Indonesia,0.80S,110.09E
1894-06-01,25.87,0.447,Pontianak,Indonesia,0.80S,110.09E
1894-07-01,25.945,0.445,Pontianak,Indonesia,0.80S,110.09E
1894-08-01,26.199,0.665,Pontianak,Indonesia,0.80S,110.09E
1894-09-01,26.294,0.491,Pontianak,Indonesia,0.80S,110.09E
1894-10-01,25.855,0.37,Pontianak,Indonesia,0.80S,110.09E
1894-11-01,25.276999999999997,0.634,Pontianak,Indonesia,0.80S,110.09E
1894-12-01,25.288,0.419,Pontianak,Indonesia,0.80S,110.09E
1895-01-01,25.765,0.511,Pontianak,Indonesia,0.80S,110.09E
1895-02-01,25.634,0.557,Pontianak,Indonesia,0.80S,110.09E
1895-03-01,25.707,0.389,Pontianak,Indonesia,0.80S,110.09E
1895-04-01,25.741999999999997,0.54,Pontianak,Indonesia,0.80S,110.09E
1895-05-01,26.395,0.521,Pontianak,Indonesia,0.80S,110.09E
1895-06-01,26.388,0.42200000000000004,Pontianak,Indonesia,0.80S,110.09E
1895-07-01,25.734,0.36200000000000004,Pontianak,Indonesia,0.80S,110.09E
1895-08-01,25.86,0.332,Pontianak,Indonesia,0.80S,110.09E
1895-09-01,26.612,0.304,Pontianak,Indonesia,0.80S,110.09E
1895-10-01,26.017,0.37200000000000005,Pontianak,Indonesia,0.80S,110.09E
1895-11-01,25.733,0.503,Pontianak,Indonesia,0.80S,110.09E
1895-12-01,25.454,0.573,Pontianak,Indonesia,0.80S,110.09E
1896-01-01,25.684,0.804,Pontianak,Indonesia,0.80S,110.09E
1896-02-01,26.019000000000002,0.759,Pontianak,Indonesia,0.80S,110.09E
1896-03-01,26.142,0.5379999999999999,Pontianak,Indonesia,0.80S,110.09E
1896-04-01,25.947,0.615,Pontianak,Indonesia,0.80S,110.09E
1896-05-01,26.563,0.557,Pontianak,Indonesia,0.80S,110.09E
1896-06-01,26.269000000000002,0.48700000000000004,Pontianak,Indonesia,0.80S,110.09E
1896-07-01,26.256999999999998,0.503,Pontianak,Indonesia,0.80S,110.09E
1896-08-01,26.435,0.858,Pontianak,Indonesia,0.80S,110.09E
1896-09-01,26.465000000000003,0.519,Pontianak,Indonesia,0.80S,110.09E
1896-10-01,26.197,0.8909999999999999,Pontianak,Indonesia,0.80S,110.09E
1896-11-01,26.276999999999997,1.245,Pontianak,Indonesia,0.80S,110.09E
1896-12-01,25.877,0.8640000000000001,Pontianak,Indonesia,0.80S,110.09E
