9999999999998,0.426,Amol,Iran,36.17N,51.71E
1918-11-01,8.050999999999998,0.898,Amol,Iran,36.17N,51.71E
1918-12-01,2.17,0.875,Amol,Iran,36.17N,51.71E
1919-01-01,1.851,1.609,Amol,Iran,36.17N,51.71E
1919-02-01,3.924,0.451,Amol,Iran,36.17N,51.71E
1919-03-01,7.105,1.391,Amol,Iran,36.17N,51.71E
1919-04-01,13.282,1.214,Amol,Iran,36.17N,51.71E
1919-05-01,16.519000000000002,1.443,Amol,Iran,36.17N,51.71E
1919-06-01,21.610000000000007,2.367,Amol,Iran,36.17N,51.71E
1919-07-01,24.592,0.721,Amol,Iran,36.17N,51.71E
1919-08-01,24.42,0.706,Amol,Iran,36.17N,51.71E
1919-09-01,20.579,0.59,Amol,Iran,36.17N,51.71E
1919-10-01,16.145,0.722,Amol,Iran,36.17N,51.71E
1919-11-01,10.907,0.568,Amol,Iran,36.17N,51.71E
1919-12-01,3.949,0.987,Amol,Iran,36.17N,51.71E
1920-01-01,2.279,1.001,Amol,Iran,36.17N,51.71E
1920-02-01,-1.861,1.229,Amol,Iran,36.17N,51.71E
1920-03-01,6.9609999999999985,1.463,Amol,Iran,36.17N,51.71E
1920-04-01,10.309000000000001,1.411,Amol,Iran,36.17N,51.71E
1920-05-01,16.517,0.701,Amol,Iran,36.17N,51.71E
1920-06-01,21.745,0.588,Amol,Iran,36.17N,51.71E
1920-07-01,23.886999999999997,1.006,Amol,Iran,36.17N,51.71E
1920-08-01,23.546,1.4669999999999999,Amol,Iran,36.17N,51.71E
1920-09-01,21.003,0.948,Amol,Iran,36.17N,51.71E
1920-10-01,14.673,1.058,Amol,Iran,36.17N,51.71E
1920-11-01,5.495999999999999,0.821,Amol,Iran,36.17N,51.71E
1920-12-01,-3.365,0.784,Amol,Iran,36.17N,51.71E
1921-01-01,0.965,1.275,Amol,Iran,36.17N,51.71E
1921-02-01,0.7970000000000002,0.7559999999999999,Amol,Iran,36.17N,51.71E
1921-03-01,4.5360000000000005,0.674,Amol,Iran,36.17N,51.71E
1921-04-01,12.008,1.579,Amol,Iran,36.17N,51.71E
1921-05-01,17.316,2.022,Amol,Iran,36.17N,51.71E
1921-06-01,22.854000000000006,1.5130000000000001,Amol,Iran,36.17N,51.71E
1921-07-01,26.266,0.758,Amol,Iran,36.17N,51.71E
1921-08-01,23.524,0.42700000000000005,Amol,Iran,36.17N,51.71E
1921-09-01,19.817,0.9670000000000001,Amol,Iran,36.17N,51.71E
1921-10-01,14.087,0.5579999999999999,Amol,Iran,36.17N,51.71E
1921-11-01,8.747,0.6829999999999999,Amol,Iran,36.17N,51.71E
1921-12-01,3.737,0.49700000000000005,Amol,Iran,36.17N,51.71E
1922-01-01,3.22,0.531,Amol,Iran,36.17N,51.71E
1922-02-01,2.76,0.882,Amol,Iran,36.17N,51.71E
1922-03-01,7.0139999999999985,0.6829999999999999,Amol,Iran,36.17N,51.71E
1922-04-01,11.799000000000001,0.499,Amol,Iran,36.17N,51.71E
1922-05-01,17.662,0.691,Amol,Iran,36.17N,51.71E
1922-06-01,22.465,0.369,Amol,Iran,36.17N,51.71E
1922-07-01,25.575,0.637,Amol,Iran,36.17N,51.71E
1922-08-01,24.842,0.632,Amol,Iran,36.17N,51.71E
1922-09-01,19.677,0.5489999999999999,Amol,Iran,36.17N,51.71E
1922-10-01,16.105,0.574,Amol,Iran,36.17N,51.71E
1922-11-01,10.978,0.616,Amol,Iran,36.17N,51.71E
1922-12-01,4.6309999999999985,0.669,Amol,Iran,36.17N,51.71E
1923-01-01,0.6449999999999998,2.43,Amol,Iran,36.17N,51.71E
1923-02-01,2.7319999999999998,1.5019999999999998,Amol,Iran,36.17N,51.71E
1923-03-01,7.292999999999998,0.759,Amol,Iran,36.17N,51.71E
1923-04-01,9.186,0.35100000000000003,Amol,Iran,36.17N,51.71E
1923-05-01,17.725,0.529,Amol,Iran,36.17N,51.71E
1923-06-01,21.608,2.199,Amol,Iran,36.17N,51.71E
1923-07-01,25.075,1.125,Amol,Iran,36.17N,51.71E
1923-08-01,23.469,0.419,Amol,Iran,36.17N,51.71E
1923-09-01,19.211,1.3,Amol,Iran,36.17N,51.71E
1923-10-01,15.36,0.327,Amol,Iran,36.17N,51.71E
1923-11-01,8.479,0.539,Amol,Iran,36.17N,51.71E
1923-12-01,3.787,0.948,Amol,Iran,36.17N,51.71E
1924-01-01,3.247,1.854,Amol,Iran,36.17N,51.71E
1924-02-01,1.9580000000000002,1.975,Amol,Iran,36.17N,51.71E
1924-03-01,7.68,0.804,Amol,Iran,36.17N,51.71E
1924-04-01,10.934000000000001,1.31,Amol,Iran,36.17N,51.71E
1924-05-01,16.424,0.92,Amol,Iran,36.17N,51.71E
1924-06-01,22.538,1.022,Amol,Iran,36.17N,51.71E
1924-07-01,24.32,0.6809999999999999,Amol,Iran,36.17N,51.71E
1924-08-01,25.068,0.573,Amol,Iran,36.17N,51.71E
1924-09-01,20.949,0.879,Amol,Iran,36.17N,51.71E
1924-10-01,15.275,0.83,Amol,Iran,36.17N,51.71E
1924-11-01,9.306000000000001,0.396,Amol,Iran,36.17N,51.71E
1924-12-01,1.6609999999999996,0.873,Amol,Iran,36.17N,51.71E
1925-01-01,-1.9510000000000003,1.806,Amol,Iran,36.17N,51.71E
1925-02-01,0.5379999999999998,0.797,Amol,Iran,36.17N,51.71E
1925-03-01,10.205,1.35,Amol,Iran,36.17N,51.71E
1925-04-01,11.779000000000002,0.8340000000000001,Amol,Iran,36.17N,51.71E
1925-05-01,18.489,0.47,Amol,Iran,36.17N,51.71E
