942999999999998,1.422,Tilburg,Netherlands,52.24N,5.26E
1867-07-01,14.921,0.7609999999999999,Tilburg,Netherlands,52.24N,5.26E
1867-08-01,17.464000000000002,0.875,Tilburg,Netherlands,52.24N,5.26E
1867-09-01,14.652000000000001,0.698,Tilburg,Netherlands,52.24N,5.26E
1867-10-01,9.072000000000001,0.675,Tilburg,Netherlands,52.24N,5.26E
1867-11-01,5.117,2.128,Tilburg,Netherlands,52.24N,5.26E
1867-12-01,0.585,1.95,Tilburg,Netherlands,52.24N,5.26E
1868-01-01,0.417,0.777,Tilburg,Netherlands,52.24N,5.26E
1868-02-01,5.023,1.508,Tilburg,Netherlands,52.24N,5.26E
1868-03-01,5.619,0.5379999999999999,Tilburg,Netherlands,52.24N,5.26E
1868-04-01,8.123000000000001,1.1340000000000001,Tilburg,Netherlands,52.24N,5.26E
1868-05-01,15.812,1.103,Tilburg,Netherlands,52.24N,5.26E
1868-06-01,16.787,0.586,Tilburg,Netherlands,52.24N,5.26E
1868-07-01,19.556,0.44799999999999995,Tilburg,Netherlands,52.24N,5.26E
1868-08-01,18.493,0.608,Tilburg,Netherlands,52.24N,5.26E
1868-09-01,15.342,0.648,Tilburg,Netherlands,52.24N,5.26E
1868-10-01,9.001999999999997,0.8340000000000001,Tilburg,Netherlands,52.24N,5.26E
1868-11-01,4.372999999999998,1.031,Tilburg,Netherlands,52.24N,5.26E
1868-12-01,6.195,1.207,Tilburg,Netherlands,52.24N,5.26E
1869-01-01,1.71,1.4040000000000001,Tilburg,Netherlands,52.24N,5.26E
1869-02-01,6.151999999999999,1.3430000000000002,Tilburg,Netherlands,52.24N,5.26E
1869-03-01,2.399,1.067,Tilburg,Netherlands,52.24N,5.26E
1869-04-01,10.49,1.47,Tilburg,Netherlands,52.24N,5.26E
1869-05-01,11.334,0.9279999999999999,Tilburg,Netherlands,52.24N,5.26E
1869-06-01,12.823,0.773,Tilburg,Netherlands,52.24N,5.26E
